"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"ARI202007300",0,0,"ray-r002",1,43
"ARI202007300",0,0,"crics001",1,49
"ARI202007300",1,0,"strir001",1,55
"ARI202007300",1,6,"perad001",7,55
"ARI202007300",1,8,"lambj001",10,57
"ARI202007300",0,1,"martk001",4,58
"ARI202007300",0,3,"marts002",8,58
"ARI202007300",0,6,"vargi001",11,58
"ARI202007300",0,0,"youna002",1,61
"ARI202007300",1,0,"kolaa001",1,62
"ARI202007300",1,0,"kellj001",1,68
"ARI202007300",0,0,"guerj003",1,71
"ARI202007300",1,0,"gratb002",1,74
"ARI202007300",1,8,"locat001",10,76
"ARI202007310",1,0,"gonst001",1,37
"ARI202007310",1,0,"gonzv001",1,47
"ARI202007310",0,0,"gallz001",1,50
"ARI202007310",0,8,"riose001",3,50
"ARI202007310",0,0,"youna002",1,53
"ARI202007310",1,0,"flord002",1,54
"ARI202007310",1,8,"polla001",11,54
"ARI202007310",1,7,"pedej001",7,54
"ARI202007310",1,3,"bellc002",8,54
"ARI202007310",1,2,"bettm001",9,54
"ARI202007310",1,7,"vogts001",2,55
"ARI202007310",1,8,"lambj001",3,56
"ARI202007310",0,1,"martk001",6,57
"ARI202007310",0,7,"kellc002",11,57
"ARI202007310",0,8,"ahmen001",11,57
"ARI202007310",0,9,"vargi001",4,57
"ARI202007310",0,0,"ginkk001",1,61
"ARI202007310",1,0,"fergc001",1,62
"ARI202007310",1,0,"treib001",1,68
"ARI202007310",0,0,"rondh001",1,73
"ARI202007310",0,9,"barna001",2,74
"ARI202008010",0,0,"weavl001",1,39
"ARI202008010",0,0,"lopey001",1,48
"ARI202008010",1,3,"seagc001",6,51
"ARI202008010",1,2,"bettm001",9,57
"ARI202008010",1,0,"uriaj001",1,57
"ARI202008010",1,0,"gratb002",1,66
"ARI202008010",1,1,"martk001",4,67
"ARI202008010",0,1,"jay-j001",11,69
"ARI202008010",0,3,"marts002",8,69
"ARI202008010",0,6,"perad001",7,69
