"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"ATL202007290","20200729",0,710,"T","N","TBA","ATL","ATL03","fairc901","torrc901","addir901",0,"",0,1,82,4,3,0,1,2,202,"odayd001","drako001","melam001"
"ATL202007300","20200730",0,710,"T","N","TBA","ATL","ATL03","torrc901","addir901","nauep901",0,"",0,1,87,4,4,0,1,2,160,"friem001","yarbr001","melam001"
"ATL202007310","20200731",0,710,"T","N","NYN","ATL","ATL03","wegnm901","fostm901","porta901",0,"",0,1,89,1,5,0,1,2,215,"daytg001","lugos001","martc007"
"ATL202008010","20200801",0,710,"T","N","NYN","ATL","ATL03","fostm901","porta901","barbs901",0,"",0,1,87,3,10,0,1,2,201,"tomlj001","wachm001",""
"ATL202008020","20200802",0,110,"T","D","NYN","ATL","ATL03","porta901","barbs901","wegnm901",0,"",0,1,86,0,4,0,1,2,186,"matzt001","peted003",""
"ATL202008030","20200803",0,710,"T","N","NYN","ATL","ATL03","barbs901","wegnm901","fostm901",0,"",0,1,80,2,5,0,1,2,196,"degrj001","sorom001",""
"ATL202008040","20200804",0,710,"T","N","TOR","ATL","ATL03","wegnm901","fostm901","porta901",0,"",0,1,86,2,4,0,1,2,186,"friem001","shoem001",""
"ATL202008050","20200805",0,710,"T","N","TOR","ATL","ATL03","fostm901","porta901","barbs901",0,"",0,1,84,3,4,0,1,2,180,"ryu-h001","newcs001","bassa001"
"ATL202008060","20200806",0,710,"T","N","TOR","ATL","ATL03","porta901","barbs901","wegnm901",0,"",0,1,84,8,6,0,1,2,157,"melam001","fontw001",""
"ATL202008170","20200817",0,710,"T","N","WAS","ATL","ATL03","whitc901","ortir901","estam901",0,"",0,1,85,1,4,0,1,2,215,"smitw002","hudsd001",""
"ATL202008180","20200818",0,710,"T","N","WAS","ATL","ATL03","ortir901","estam901","carlm901",0,"",0,1,86,0,4,0,1,2,224,"suerw002","matzt001","hudsd001"
"ATL202008210","20200821",0,710,"T","N","PHI","ATL","ATL03","estam901","whitc901","ortir901",0,"",0,1,70,2,6,0,1,2,198,"friem001","nolaa001",""
"ATL202008220","20200822",0,710,"T","N","PHI","ATL","ATL03","whitc901","ortir901","hoyej901",0,"",0,1,81,7,7,0,1,2,198,"melam001","workb001",""
"ATL202008230","20200823",0,708,"T","N","PHI","ATL","ATL03","ortir901","hoyej901","estam901",0,"",0,1,82,6,7,0,1,2,197,"efliz001","tomlj001","workb001"
"ATL202008261","20200826",1,410,"T","D","NYA","ATL","ATL03","hoyej901","valej901","whitc901",0,"",0,1,86,5,5,0,1,2,125,"andei001","coleg001",""
"ATL202008262","20200826",2,710,"T","N","NYA","ATL","ATL03","estam901","whitc901","carlm901",0,"",0,1,84,5,5,0,1,2,118,"friem001","greec003","melam001"
"ATL202009041","20200904",1,410,"T","D","WAS","ATL","ATL03","westj901","valej901","sches901",0,"",0,1,89,5,10,0,1,2,150,"odayd001","votha001",""
"ATL202009042","20200904",2,724,"T","N","WAS","ATL","ATL03","carav901","sches901","wendh902",0,"",0,1,87,6,5,0,1,1,192,"suerw002","smitw002","hudsd001"
"ATL202009050","20200905",0,710,"T","N","WAS","ATL","ATL03","sches901","wendh902","carav901",0,"",0,1,83,6,2,0,1,2,211,"mcgok002","matzt001",""
"ATL202009060","20200906",0,110,"T","D","WAS","ATL","ATL03","wendh902","westj901","carav901",0,"",0,1,81,7,2,0,1,2,206,"tomlj001","corbp001",""
"ATL202009070","20200907",0,110,"T","D","MIA","ATL","ATL03","valej901","carav901","sches901",0,"",0,1,80,1,9,0,1,1,232,"kintb001","minta001","vincn001"
"ATL202009080","20200908",0,710,"T","N","MIA","ATL","ATL03","carav901","sches901","wendh902",0,"",0,1,83,6,6,0,1,1,192,"sancs001","wrigk001",""
"ATL202009090","20200909",0,710,"T","N","MIA","ATL","ATL03","sches901","wendh902","valej901",0,"",0,1,83,7,2,0,1,2,254,"daytg001","lopep002","wilsb003"
"ATL202009210","20200921",0,710,"T","N","MIA","ATL","ATL03","wegnm901","barbs901","fostm901",0,"",0,1,66,8,10,0,1,2,210,"matzt001","roget003","melam001"
"ATL202009220","20200922",0,710,"T","N","MIA","ATL","ATL03","barbs901","fostm901","porta901",0,"",0,1,67,5,2,0,1,2,170,"wilsb003","urenj001",""
"ATL202009230","20200923",0,710,"T","N","MIA","ATL","ATL03","becka901","porta901","wegnm901",0,"",0,1,72,3,3,0,1,2,181,"jackl001","smitj004",""
"ATL202009240","20200924",0,710,"T","N","MIA","ATL","ATL03","porta901","wegnm901","barbs901",0,"",0,1,64,7,5,0,4,3,215,"lopep002","andei001","kintb001"
"ATL202009250","20200925",0,710,"T","N","BOS","ATL","ATL03","wegnm901","barbs901","fostm901",0,"",0,1,73,0,1,0,1,2,239,"grees005","sprij001",""
"ATL202009260","20200926",0,710,"T","N","BOS","ATL","ATL03","becka901","fostm901","porta901",0,"",0,1,75,4,4,0,1,1,202,"houct001","davit005",""
"ATL202009270","20200927",0,310,"T","D","BOS","ATL","ATL03","fostm901","becka901","wegnm901",0,"",0,1,82,6,6,0,1,2,203,"piven001","smitw002",""
