"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"ATL202007290",1,0,0,2,"CSX","loweb001","7/F7L",1
"ATL202007290",1,0,1,1,"BFX","wendj002","S8/L8D+",2
"ATL202007290",1,0,3,1,"BFBBB","diazy001","W.1-2",3
"ATL202007290",1,0,1,0,"BX","tsuty001","6(1)3/GDP/G6M",4
"ATL202007290",1,1,2,1,"BFBH","acunr001","HP",5
"ATL202007290",1,1,2,2,"CF1F*B1F1BS","albio001","K",6
"ATL202007290",1,1,0,1,"SX","freef001","D8/L89XD.1XH(842)",7
"ATL202007290",1,1,1,0,"BX","ozunm001","63/G4MS",8
"ATL202007290",2,0,0,1,"CX","margm001","53/G56",9
"ATL202007290",2,0,1,0,"BX","kierk001","3/G34",10
"ATL202007290",2,0,0,2,"CCC","renfh001","K",11
"ATL202007290",2,1,2,1,"BSBX","adamm002","E5/P4MS.B-1",12
"ATL202007290",2,1,1,2,"BFFFFC","darnt001","K",13
"ATL202007290",2,1,1,2,"CFFBX","swand001","S9/G34+.1-2",14
"ATL202007290",2,1,1,2,"CSBT","rilea001","K",15
"ATL202007290",2,1,1,2,"BSSS","incie001","K",16
"ATL202007290",3,0,2,2,"CSBBX","adamw002","43/G4MD",17
"ATL202007290",3,0,1,0,"BX","zunim001","53/G5F",18
"ATL202007290",3,0,2,2,"SSFBBS","loweb001","K",19
"ATL202007290",3,1,1,1,"CBX","acunr001","S9/L9",20
"ATL202007290",3,1,3,2,"BBC1B>F>F>X","albio001","3/G3.1-2",21
"ATL202007290",3,1,0,0,"X","freef001","HR/F9D.2-H",22
"ATL202007290",3,1,1,0,"BX","ozunm001","S7/L7+",23
"ATL202007290",3,1,0,1,"SX","adamm002","8/L89D+",24
"ATL202007290",3,1,2,2,"CBBSC","darnt001","K",25
"ATL202007290",4,0,1,2,"CFBX","wendj002","31/G34",26
"ATL202007290",4,0,0,2,"CFC","diazy001","K",27
"ATL202007290",4,0,2,0,"BBX","tsuty001","S9/L89",28
"ATL202007290",4,0,3,2,"CBFBB>F>F>X","margm001","8/F8",29
"ATL202007290",4,1,1,2,"BCCT","swand001","K",30
"ATL202007290",4,1,1,0,"BX","rilea001","53/G5F/FL",31
"ATL202007290",4,1,0,1,"CX","incie001","63/G6",32
"ATL202007290",5,0,0,2,"CFX","kierk001","43/G4",33
"ATL202007290",5,0,1,1,"SBX","renfh001","53/G5+",34
"ATL202007290",5,0,2,1,"FBBX","adamw002","S9/L9L",35
"ATL202007290",5,0,3,2,"C*BTB*B>B","zunim001","W.1-2",36
"ATL202007290",5,0,1,2,"CBSB","loweb001","WP.2-H(E2/TH)(NR)(UR);1-2",37
"ATL202007290",5,0,2,2,"CBSB.S","loweb001","K",38
"ATL202007290",5,1,0,1,"CX","acunr001","9/F89D",39
"ATL202007290",5,1,0,2,"FF*S","albio001","K",40
"ATL202007290",5,1,0,0,"X","freef001","S5/G15",41
"ATL202007290",5,1,3,0,"BB*BB","ozunm001","W.1-2",42
"ATL202007290",5,1,0,2,"CSFX","adamm002","7/L7D",43
"ATL202007290",6,0,0,0,"X","wendj002","S8/L89XD",44
"ATL202007290",6,0,3,0,"BBBB","diazy001","W.1-2",45
"ATL202007290",6,0,2,2,".*BCFBS","tsuty001","K",46
"ATL202007290",6,0,2,1,"..CBBX","margm001","7/F7LD",47
"ATL202007290",6,0,0,2,"CCX","kierk001","S8/L8D.2-H;1-3;B-2",48
"ATL202007290",6,0,2,1,"CBBX","renfh001","S7/L7+.3-H;2-H",49
"ATL202007290",6,0,3,2,"BSBBS>B","adamw002","W.1-2",50
"ATL202007290",6,0,3,2,"CBBFB>F>S","zunim001","K",51
"ATL202007290",6,1,1,1,".CBX","darnt001","D7/L7LD+",52
"ATL202007290",6,1,1,2,"CBFFX","swand001","DGR/L7D+.2-H",53
"ATL202007290",6,1,0,1,"FX","rilea001","53/G5S-.2-3",54
"ATL202007290",6,1,3,2,"..SSBBBB","incie001","W",55
"ATL202007290",6,1,1,2,"CBCC","acunr001","K",56
"ATL202007290",6,1,1,1,"BSX","albio001","S6/G4.3-H;1-2",57
"ATL202007290",6,1,1,2,".CBFFX","freef001","S8/L8.2-H;1X3(85)",58
"ATL202007290",7,0,2,2,".BSFBFS","loweb001","K",59
"ATL202007290",7,0,0,2,".SFS","martj008","K",60
"ATL202007290",7,0,1,2,"BSFX","diazy001","13/G1S-",61
"ATL202007290",7,1,1,2,"...FBCX","ozunm001","D7/L7L",62
"ATL202007290",7,1,2,1,"..BF*BX","camaj001","D7/L8XD+.2-3",63
"ATL202007290",7,1,3,2,"BCBBCFFX","darnt001","9/SF/L9D.3-H",64
"ATL202007290",7,1,1,1,"BFB","swand001","WP.2-3",65
"ATL202007290",7,1,2,1,"BFB.X","swand001","E6/TH/G6.3-H(NR)(UR);B-1",66
"ATL202007290",7,1,2,1,"CBB11X","rilea001","9/F9D",67
"ATL202007290",7,1,0,2,"SF>B","incie001","SB2",68
"ATL202007290",7,1,3,2,"SF>B.BFBFB","incie001","W",69
"ATL202007290",7,1,3,2,"..BFCFBB>B","acunr001","W.2-3;1-2",70
"ATL202007290",7,1,1,2,"CSBT","albio001","K",71
"ATL202007290",8,0,2,2,"...CCBBS","tsuty001","K",72
"ATL202007290",8,0,1,2,"CFFBX","margm001","53/G56+",73
"ATL202007290",8,0,1,1,"CBX","kierk001","E1/G4S.B-1",74
"ATL202007290",8,0,2,2,"SFFBBX","renfh001","43/G6D+",75
"ATL202007290",8,1,1,2,"FFFBFX","freef001","13/G23F-/FL",76
"ATL202007290",8,1,0,2,"CCC","duvaa001","K",77
"ATL202007290",8,1,3,1,"BBCBX","camaj001","7/F7LDF/FL",78
"ATL202007290",9,0,1,0,".BX","adamw002","53/G56",79
"ATL202007290",9,0,1,2,"CCBX","zunim001","4/P4",80
"ATL202007290",9,0,1,1,"BFX","loweb001","53/G78S",81
"ATL202007300",1,0,1,2,"CFBC","diazy001","K",1
"ATL202007300",1,0,3,2,"BCBFBFS","martj008","K",2
"ATL202007300",1,0,0,2,"SSS","loweb001","K",3
"ATL202007300",1,1,3,2,"BBFBFFX","acunr001","9/F9D",4
"ATL202007300",1,1,1,1,"SBX","albio001","63/G56",5
"ATL202007300",1,1,0,0,"X","freef001","8/L78D",6
"ATL202007300",2,0,2,1,"BCBX","renfh001","53/G5",7
