"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"ATL202007290",0,0,"sorom001",1,46
"ATL202007290",1,0,"mortc002",1,51
"ATL202007290",1,0,"kitta001",1,54
"ATL202007290",0,0,"odayd001",1,58
"ATL202007290",0,2,"wendj002",5,59
"ATL202007290",1,2,"martj008",11,61
"ATL202007290",1,3,"diazy001",3,61
"ATL202007290",1,0,"drako001",1,61
"ATL202007290",1,5,"adamm002",10,62
"ATL202007290",1,0,"alvaj004",1,69
"ATL202007290",0,4,"ozunm001",7,71
"ATL202007290",0,0,"minta001",1,71
"ATL202007290",0,0,"martc007",1,78
"ATL202007300",0,0,"friem001",1,48
"ATL202007300",0,6,"brosm001",3,48
"ATL202007300",1,6,"choij001",11,50
"ATL202007300",1,0,"yarbr001",1,52
"ATL202007300",0,1,"acunr001",8,55
"ATL202007300",0,5,"duvaa001",9,55
"ATL202007300",0,8,"rilea001",7,55
"ATL202007300",0,9,"zunim001",2,56
"ATL202007300",0,0,"jackl001",1,57
"ATL202007300",1,9,"tsuty001",11,58
"ATL202007300",0,0,"grees005",1,63
"ATL202007300",0,3,"loweb001",7,65
"ATL202007310",0,0,"newcs001",1,40
"ATL202007310",1,0,"porcr001",1,48
"ATL202007310",0,0,"chacj001",1,59
"ATL202007310",1,0,"sewap001",1,60
"ATL202007310",1,5,"adamm002",10,68
"ATL202007310",0,0,"matzt001",1,71
"ATL202007310",1,2,"nimmb001",8,75
"ATL202007310",1,4,"davij006",7,75
"ATL202007310",1,0,"shrec001",1,75
"ATL202007310",1,0,"betad001",1,81
"ATL202007310",1,7,"rilea001",5,84
"ATL202007310",0,4,"ozunm001",7,85
"ATL202007310",0,7,"albio001",11,85
"ATL202007310",0,8,"hecha001",4,85
"ATL202007310",0,0,"daytg001",1,85
"ATL202007310",0,4,"cordr001",8,85
"ATL202008010",0,0,"toust001",1,40
"ATL202008010",0,0,"jackl001",1,45
"ATL202008010",1,0,"wachm001",1,46
"ATL202008010",0,4,"ozunm001",7,65
"ATL202008010",0,0,"tomlj001",1,65
"ATL202008010",0,0,"minta001",1,72
"ATL202008020",0,0,"wrigk001",1,31
"ATL202008020",0,0,"matzt001",1,47
"ATL202008020",0,0,"minta001",1,53
"ATL202008020",1,0,"peted003",1,55
"ATL202008020",0,1,"acunr001",8,58
"ATL202008020",0,7,"duvaa001",9,58
"ATL202008020",0,8,"rilea001",7,58
"ATL202008020",1,0,"diaze006",1,62
"ATL202008020",0,0,"grees005",1,67
"ATL202008020",0,9,"nidot001",2,67
"ATL202008030",0,0,"sorom001",1,21
"ATL202008030",1,8,"gimea001",5,25
"ATL202008030",1,9,"rosaa003",6,25
"ATL202008030",1,4,"canor001",4,42
"ATL202008030",0,0,"rusic001",1,54
"ATL202008030",1,0,"degrj001",1,64
"ATL202008030",1,0,"famij001",1,69
"ATL202008030",0,0,"jackl001",1,70
"ATL202008030",1,0,"wilsj004",1,73
"ATL202008030",1,1,"nimmb001",8,73
"ATL202008030",1,6,"smitd008",7,73
"ATL202008040",1,5,"adamm002",10,43
"ATL202008040",1,0,"shoem001",1,45
"ATL202008040",1,0,"waguj001",1,54
"ATL202008040",0,0,"friem001",1,57
"ATL202008040",0,8,"drurb001",5,60
"ATL202008040",0,9,"alfoa002",7,61
"ATL202008040",1,8,"panij002",11,62
"ATL202008040",1,9,"fishd001",11,62
"ATL202008040",0,4,"ozunm001",7,65
"ATL202008040",0,0,"odayd001",1,65
"ATL202008040",1,0,"kay-a001",1,68
"ATL202008040",1,0,"fontw001",1,74
"ATL202008040",0,0,"tomlj001",1,78
"ATL202008050",0,0,"newcs001",1,38
"ATL202008050",1,0,"ryu-h001",1,45
"ATL202008050",0,0,"tomlj001",1,48
"ATL202008050",1,0,"hatct001",1,53
"ATL202008050",1,6,"rilea001",3,53
"ATL202008050",0,6,"freef001",11,55
"ATL202008050",0,0,"grees005",1,55
"ATL202008050",1,0,"borur001",1,58
"ATL202008050",1,8,"culbc001",4,58
"ATL202008050",1,9,"incie001",8,59
"ATL202008050",0,1,"acunr001",9,61
"ATL202008050",0,8,"markn001",11,61
"ATL202008050",0,9,"sches001",11,61
"ATL202008050",0,0,"martc007",1,61
"ATL202008050",1,0,"romaj004",1,64
