"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"BAL202007290","20200729",0,735,"T","N","NYA","BAL","BAL12","gonzm901","segac901","kulpr901",0,"",0,1,93,5,3,0,1,1,192,"coleg001","wojca001",""
"BAL202007300","20200730",0,705,"T","N","NYA","BAL","BAL12","segac901","kulpr901","ticht901",0,"",0,1,93,3,5,0,1,2,186,"loaij001","sulsc001","britz001"
"BAL202007310","20200731",0,735,"T","N","TBA","BAL","BAL12","addir901","nauep901","fairc901",0,"",0,1,76,1,4,0,1,2,216,"fry-p001","fairp001","sulsc001"
"BAL202008010","20200801",0,735,"T","N","TBA","BAL","BAL12","nauep901","fairc901","torrc901",0,"",0,1,85,8,3,0,1,2,230,"lakit001","drako001",""
"BAL202008020","20200802",0,105,"T","D","TBA","BAL","BAL12","fairc901","torrc901","addir901",0,"",0,1,89,2,9,0,1,2,176,"phile001","beekj001","sulsc001"
"BAL202008040","20200804",0,735,"T","N","MIA","BAL","BAL12","kulpr901","ticht901","gonzm901",0,"",0,1,83,3,9,0,1,2,158,"lopep002","meanj001",""
"BAL202008051","20200805",1,505,"T","N","MIA","BAL","BAL12","ticht901","addir901","segac901",0,"",0,1,86,0,6,0,1,2,139,"vincn001","cobba001","kintb001"
"BAL202008140","20200814",0,659,"T","N","WAS","BAL","BAL12","herna901","belld901","littw901",0,"",0,1,73,4,2,0,1,3,190,"fedde001","milot001",""
"BAL202008150","20200815",0,735,"T","N","WAS","BAL","BAL12","belld901","littw901","lentn901",0,"",0,1,75,1,6,0,1,2,190,"wojca001","corbp001","sulsc001"
"BAL202008160","20200816",0,105,"T","D","WAS","BAL","BAL12","littw901","lentn901","herna901",0,"",0,1,75,6,11,0,1,2,218,"schem001","lakit001","hudsd001"
"BAL202008170","20200817",0,735,"T","N","TOR","BAL","BAL12","lentn901","herna901","belld901",0,"",0,1,78,8,4,0,1,2,165,"ryu-h001","cobba001",""
"BAL202008180","20200818",0,735,"T","N","TOR","BAL","BAL12","herna901","belld901","littw901",0,"",0,1,84,3,3,0,1,1,237,"bassa001","sulsc001",""
"BAL202008190","20200819",0,105,"T","D","TOR","BAL","BAL12","belld901","littw901","lentn901",0,"",0,1,78,4,4,0,1,2,180,"roart001","milot001","dolir001"
"BAL202008200","20200820",0,735,"T","N","BOS","BAL","BAL12","littw901","lentn901","herna901",0,"",0,1,81,8,5,0,1,2,206,"eovan001","wojca001",""
"BAL202008210","20200821",0,735,"T","N","BOS","BAL","BAL12","iassd901","fleta901","gibsh902",0,"",0,1,81,1,6,0,1,2,184,"hernd004","meanj001","barnm001"
"BAL202008220","20200822",0,735,"T","N","BOS","BAL","BAL12","fleta901","gibsh902","may-b901",0,"",0,1,80,1,4,0,1,2,216,"castm002","barnm001",""
"BAL202008230","20200823",0,105,"T","D","BOS","BAL","BAL12","gibsh902","may-b901","iassd901",0,"",0,1,86,4,4,0,1,2,197,"eshet001","godlz001","scott003"
