"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"BAL202007290",1,0,0,1,"CX","lemad001","HR/F9LD",1
"BAL202007290",1,0,2,2,"CCBBX","judga001","C/E2.B-1",2
"BAL202007290",1,0,2,2,"BFB1T*S","torrg001","K",3
"BAL202007290",1,0,2,2,"CBBCFX","stanm004","C/E2.1-2;B-1",4
"BAL202007290",1,0,3,2,".B*BSSBFB","hicka001","W.2-3;1-2",5
"BAL202007290",1,0,1,1,"SBX","fordm002","9/SF/L9LD.3-H(UR);2-3",6
"BAL202007290",1,0,1,2,"CC1BS","sancg002","K",7
"BAL202007290",1,1,3,2,"BBCTBFB","haysa001","W",8
"BAL202007290",1,1,0,2,"CF*S","santa003","K",9
"BAL202007290",1,1,1,2,"B1C1FX","iglej001","D9/F9D.1-H",10
"BAL202007290",1,1,1,2,"BSFS","ruizr002","K",11
"BAL202007290",1,1,1,1,"*BFX","albeh001","53/G5",12
"BAL202007290",2,0,1,1,"BCX","urshg001","9/L9LD",13
"BAL202007290",2,0,3,2,"BBCCBS","gardb001","K",14
"BAL202007290",2,0,0,1,"CX","lemad001","63/G6",15
"BAL202007290",2,1,1,2,"CBST","nuner001","K",16
"BAL202007290",2,1,3,2,"BBCFBX","smitd007","8/F8XD",17
"BAL202007290",2,1,2,1,"BFBX","sevep001","63/G6",18
"BAL202007290",3,0,1,2,"BCSX","judga001","HR/F78XD",19
"BAL202007290",3,0,0,0,"X","torrg001","7/F7D",20
"BAL202007290",3,0,3,2,"CBSBBB","stanm004","W",21
"BAL202007290",3,0,0,0,"X","hicka001","HR/L9LD.1-H",22
"BAL202007290",3,0,2,2,"FBCBX","fordm002","8/L78D",23
"BAL202007290",3,0,3,2,"BCSBBS","sancg002","K",24
"BAL202007290",3,1,3,2,"CBBBFFB","stewd002","W",25
"BAL202007290",3,1,1,1,"*BCX","haysa001","8/L8D",26
"BAL202007290",3,1,1,0,"BX","santa003","9/F89S",27
"BAL202007290",3,1,1,2,"CBC*S","iglej001","K",28
"BAL202007290",4,0,1,2,"BFFX","urshg001","5/L5D+",29
"BAL202007290",4,0,3,2,"BCBSBS","gardb001","K",30
"BAL202007290",4,0,0,0,"X","lemad001","D9/L89XD+",31
"BAL202007290",4,0,0,2,"CSS","judga001","K",32
"BAL202007290",4,1,2,2,"CFBBS","ruizr002","K",33
"BAL202007290",4,1,1,2,"FSBX","albeh001","8/L89XD",34
"BAL202007290",4,1,1,2,"CSBX","nuner001","7/F7D",35
"BAL202007290",5,0,1,2,"BSSX","torrg001","4/P4D",36
"BAL202007290",5,0,2,0,"BBX","stanm004","53/G56",37
"BAL202007290",5,0,3,2,"CBCBBS","hicka001","K",38
"BAL202007290",5,1,2,2,"BFCBFS","smitd007","K",39
"BAL202007290",5,1,0,2,"SCS","sevep001","K",40
"BAL202007290",5,1,0,0,"X","stewd002","8/L8XD",41
"BAL202007290",6,0,3,1,".BBCBB","fordm002","W",42
"BAL202007290",6,0,2,2,"C*BCBC","sancg002","K",43
"BAL202007290",6,0,3,0,"B1BBB","urshg001","W.1-2",44
"BAL202007290",6,0,0,2,"CFT","gardb001","K",45
"BAL202007290",6,0,1,0,"BX","lemad001","S7/G6M.2-H;1-3",46
"BAL202007290",6,0,1,0,"BX","judga001","S8/L8XD.3-H;1-3;BX2(86)",47
"BAL202007290",6,1,2,2,"LCBFBX","haysa001","8/L8XD",48
"BAL202007290",6,1,2,1,"BFBX","santa003","43/G4D",49
"BAL202007290",6,1,0,2,"CCX","iglej001","63/G6M",50
