"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"BAL202007290",0,0,"wojca001",1,41
"BAL202007290",0,0,"phile001",1,50
"BAL202007290",0,3,"iglej001",6,50
"BAL202007290",1,5,"hicka001",8,53
"BAL202007290",1,0,"coleg001",1,58
"BAL202007290",1,1,"lemad001",4,63
"BAL202007290",1,6,"fordm002",3,63
"BAL202007290",1,0,"avill001",1,63
"BAL202007290",0,0,"armss001",1,67
"BAL202007290",0,0,"carrc004",1,73
"BAL202007290",1,0,"greec003",1,76
"BAL202007300",0,0,"meanj001",1,24
"BAL202007300",1,3,"torrg001",6,34
"BAL202007300",1,0,"happj001",1,42
"BAL202007300",0,0,"lakit001",1,46
"BAL202007300",1,9,"andum001",7,49
"BAL202007300",1,0,"ottaa001",1,49
"BAL202007300",0,0,"castm002",1,53
"BAL202007300",0,0,"bleir001",1,60
"BAL202007300",0,6,"smitd007",7,69
"BAL202007300",0,0,"givem001",1,69
"BAL202007300",1,0,"loaij001",1,75
"BAL202007310",1,0,"snelb001",1,33
"BAL202007310",1,7,"valap001",3,34
"BAL202007310",0,7,"davic003",11,37
"BAL202007310",0,0,"cobba001",1,37
"BAL202007310",1,0,"fairp001",1,46
"BAL202007310",0,0,"fry-p001",1,50
"BAL202007310",1,0,"kitta001",1,51
"BAL202007310",1,0,"loupa001",1,55
"BAL202007310",0,0,"armss001",1,58
"BAL202007310",1,0,"castd002",1,61
"BAL202007310",0,8,"stewd002",7,68
"BAL202007310",0,0,"scott003",1,68
"BAL202007310",0,0,"givem001",1,76
"BAL202008010",1,0,"glast001",1,43
"BAL202008010",0,0,"leblw001",1,46
"BAL202008010",0,5,"smitd007",7,63
"BAL202008010",0,0,"phile001",1,64
"BAL202008010",0,2,"brosm001",3,65
"BAL202008010",0,0,"armss001",1,68
"BAL202008010",0,5,"adamw002",6,68
"BAL202008010",0,6,"renfh001",9,69
"BAL202008010",1,2,"choij001",11,71
"BAL202008010",1,5,"loweb001",11,71
"BAL202008010",1,6,"kierk001",11,71
"BAL202008010",1,8,"margm001",8,71
"BAL202008010",1,9,"wendj002",4,71
"BAL202008010",1,0,"richt001",1,71
"BAL202008010",0,0,"castm002",1,77
"BAL202008010",1,0,"anden001",1,78
"BAL202008010",1,9,"velaa001",6,78
"BAL202008010",0,9,"stewd002",11,81
"BAL202008010",1,0,"castd002",1,86
"BAL202008010",1,5,"mullc002",7,88
"BAL202008010",0,4,"nuner001",3,89
"BAL202008010",0,5,"iglej001",11,89
"BAL202008010",0,7,"ruizr002",5,89
"BAL202008010",0,0,"scott003",1,89
"BAL202008010",1,0,"drako001",1,94
"BAL202008020",1,0,"chiry001",1,42
"BAL202008020",1,5,"siscc001",10,42
"BAL202008020",0,0,"milot001",1,44
"BAL202008020",0,4,"martj008",3,44
"BAL202008020",1,4,"choij001",11,47
"BAL202008020",1,6,"stewd002",7,47
"BAL202008020",0,6,"haysa001",11,50
"BAL202008020",0,9,"mullc002",8,50
"BAL202008020",0,0,"castm002",1,50
"BAL202008020",1,0,"beekj001",1,54
"BAL202008020",1,5,"iglej001",10,60
"BAL202008020",0,0,"phile001",1,61
"BAL202008020",1,2,"brosm001",5,64
"BAL202008020",1,6,"margm001",7,64
"BAL202008020",1,0,"roe-c001",1,64
"BAL202008040",0,0,"meanj001",1,30
"BAL202008040",0,0,"lakit001",1,41
"BAL202008040",0,0,"fry-p001",1,44
"BAL202008040",1,0,"lopep002",1,45
"BAL202008040",1,0,"hoytj001",1,52
"BAL202008040",1,0,"bleir001",1,59
"BAL202008040",1,9,"velaa001",6,61
"BAL202008040",0,9,"valap001",11,63
"BAL202008040",0,6,"forsl001",10,63
