"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"BOS202007240","20200724",0,730,"T","N","BAL","BOS","BOS07","wegnm901","fostm901","porta901",0,"",0,1,76,0,7,0,1,2,198,"eovan001","milot001",""
"BOS202007250","20200725",0,135,"T","D","BAL","BOS","BOS07","fostm901","porta901","barbs901",0,"",0,1,87,7,4,0,1,2,181,"cobba001","perem004",""
"BOS202007260","20200726",0,135,"T","D","BAL","BOS","BOS07","porta901","barbs901","wegnm901",0,"",0,1,89,0,14,0,1,1,193,"leblw001","weber001","sulsc001"
"BOS202007270","20200727",0,735,"T","N","NYN","BOS","BOS07","carlm901","hoyej901","estam901",0,"",0,1,92,0,6,0,1,2,191,"wachm001","osicj001","lugos001"
"BOS202007280","20200728",0,730,"T","N","NYN","BOS","BOS07","hoyej901","estam901","whitc901",0,"",0,1,88,3,12,0,1,2,178,"peted003","hallm002",""
"BOS202008070","20200807",0,730,"T","N","TOR","BOS","BOS07","torrc901","nauep901","addir901",0,"",0,1,73,7,8,0,1,2,213,"hembh001","roart001","workb001"
"BOS202008080","20200808",0,730,"T","N","TOR","BOS","BOS07","nauep901","addir901","fairc901",0,"",0,1,75,8,4,0,1,1,198,"kay-a001","waldm002","bassa001"
"BOS202008090","20200809",0,135,"T","D","TOR","BOS","BOS07","addir901","fairc901","(none)",0,"",0,1,87,4,10,0,1,2,166,"barnm001","hatct001",""
"BOS202008100","20200810",0,730,"T","N","TBA","BOS","BOS07","sches901","wendh902","carav901",0,"",0,1,91,2,7,0,1,2,264,"loupa001","sprij001","kitta001"
"BOS202008110","20200811",0,730,"T","N","TBA","BOS","BOS07","wendh902","carav901","millb903",0,"",0,1,86,2,10,0,1,1,205,"curtj003","perem004",""
"BOS202008120","20200812",0,730,"T","N","TBA","BOS","BOS07","carav901","millb903","sches901",0,"",0,1,87,3,6,0,1,2,178,"snelb001","godlz001",""
"BOS202008130","20200813",0,430,"T","D","TBA","BOS","BOS07","millb903","sches901","wendh902",0,"",0,1,80,7,10,0,1,2,224,"beekj001","hartk002","banda001"
"BOS202008180","20200818",0,730,"T","N","PHI","BOS","BOS07","sches901","wendh902","millb903",0,"",0,1,82,4,8,0,1,2,246,"parkb001","taylj001",""
"BOS202008190","20200819",0,135,"T","D","PHI","BOS","BOS07","wendh902","millb903","carav901",0,"",0,1,77,2,6,0,1,2,216,"brica001","arrij001","workb001"
"BOS202008280","20200828",0,730,"T","N","WAS","BOS","BOS07","gibsh902","fleta901","iassd901",0,"",0,1,69,3,5,0,1,2,201,"schem001","perem004",""
"BOS202008290","20200829",0,730,"T","N","WAS","BOS","BOS07","fleta901","iassd901","may-b901",0,"",0,1,78,1,7,0,1,2,205,"brasr001","sanca004","barnm001"
"BOS202008300","20200830",0,135,"T","D","WAS","BOS","BOS07","iassd901","may-b901","gibsh902",0,"",0,1,75,3,17,0,1,1,206,"osicj001","votha001",""
"BOS202008310","20200831",0,730,"T","N","ATL","BOS","BOS07","sches901","westj901","wendh902",0,"",0,1,73,1,8,0,1,2,199,"friem001","brewc002","melam001"
"BOS202009010","20200901",0,730,"T","N","ATL","BOS","BOS07","westj901","wendh902","carav901",0,"",0,1,69,3,10,0,1,1,185,"andei001","stocr001",""
"BOS202009020","20200902",0,730,"T","N","ATL","BOS","BOS07","wendh902","carav901","sches901",0,"",0,1,67,1,10,0,1,2,181,"matzt001","triga001","melam001"
"BOS202009030","20200903",0,730,"T","N","TOR","BOS","BOS07","becka901","hobep901","millb903",0,"",0,1,71,8,6,0,1,2,242,"dolir001","valdp002",""
"BOS202009041","20200904",1,410,"T","D","TOR","BOS","BOS07","hobep901","becka901","welkb901",0,"",0,1,83,3,12,0,1,1,162,"colea002","godlz001","bassa001"
"BOS202009050","20200905",0,730,"T","N","TOR","BOS","BOS07","welkb901","dejer901","hobep901",0,"",0,1,76,3,7,0,1,1,221,"kickm001","bassa001",""
"BOS202009060","20200906",0,135,"T","D","TOR","BOS","BOS07","dejer901","hobep901","millb903",0,"",0,1,77,4,5,0,1,2,263,"hatct001","hallm002","dolir001"
