"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"BOS202007240",1,0,0,1,"CX","haysa001","9/L+",1
"BOS202007240",1,0,0,1,"FX","santa003","13/G",2
"BOS202007240",1,0,3,2,"BBFCBFFFFX","iglej001","43/G+",3
"BOS202007240",1,1,3,2,"FBCBBX","benia002","43/G",4
"BOS202007240",1,1,3,1,"BSBBB","martj006","W",5
"BOS202007240",1,1,0,2,"CFS","dever001","K",6
"BOS202007240",1,1,0,2,"CSS","bogax001","K",7
"BOS202007240",2,0,0,1,"CX","nuner001","13/G",8
"BOS202007240",2,0,0,1,"CX","davic003","43/G",9
"BOS202007240",2,0,1,1,"BCX","albeh001","S7/G",10
"BOS202007240",2,0,2,2,"C*SB1BFFFX","ruizr002","43/G",11
"BOS202007240",2,1,0,0,"X","pillk001","5/P",12
"BOS202007240",2,1,3,2,"BBBCSFB","vazqc001","W",13
"BOS202007240",2,1,2,2,"BCBS1","chavm001","PO1(13)",14
"BOS202007240",2,1,2,2,"BCBS1.S","chavm001","K",15
"BOS202007240",3,0,1,0,"BX","sevep001","S8/G+",16
"BOS202007240",3,0,1,0,"BX","stewd002","36(1)/FO/G.B-1",17
"BOS202007240",3,0,1,2,"BFFX","haysa001","14(1)3/GDP/G",18
"BOS202007240",3,1,0,0,"X","bradj001","D7/L",19
"BOS202007240",3,1,1,0,"*BX","peraj003","D7/L+.2-H",20
"BOS202007240",3,1,0,2,"CS*S","benia002","K",21
"BOS202007240",3,1,3,1,"SBBBX","martj006","D7/L+.2-H",22
"BOS202007240",3,1,3,2,"CBCB*BFB","dever001","W",23
"BOS202007240",3,1,1,2,".CS+1BB","bogax001","WP.2-3;1-2",24
"BOS202007240",3,1,3,2,".CS+1BB.BS","bogax001","K",25
"BOS202007240",3,1,1,0,"BX","pillk001","D7/L+.3-H;2-H",26
"BOS202007240",3,1,0,0,"X","vazqc001","9/F",27
