"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"CHA202007240","20200724",0,710,"T","N","MIN","CHA","CHI12","welkb901","hobep901","dejer901",0,"",0,1,81,4,7,0,1,1,211,"may-t001","gioll001",""
"CHA202007250","20200725",0,110,"T","D","MIN","CHA","CHI12","hobep901","dejer901","lives901",0,"",0,1,86,6,8,0,1,1,197,"keucd001","dobnr001",""
"CHA202007260","20200726",0,110,"T","D","MIN","CHA","CHI12","dejer901","lives901","welkb901",0,"",0,1,93,8,11,0,1,2,218,"maedk001","loper003",""
"CHA202008050","20200805",0,710,"T","N","MIL","CHA","CHI12","may-b901","fleta901","iassd901",0,"",0,1,73,8,5,0,1,2,141,"housa001","keucd001","hadej001"
"CHA202008060","20200806",0,710,"T","N","MIL","CHA","CHI12","fleta901","iassd901","gibsh902",0,"",0,1,75,6,7,0,1,1,221,"lindj004","gonzg003",""
"CHA202008070","20200807",0,710,"T","N","CLE","CHA","CHI12","bakej902","lives901","rehaj901",0,"",0,1,79,6,9,0,1,1,168,"ceasd001","civaa001","coloa001"
"CHA202008080","20200808",0,110,"T","D","CLE","CHA","CHI12","rackd901","rehaj901","mealj901",0,"",0,1,83,8,13,0,1,1,191,"plesz001","anded003",""
"CHA202008090","20200809",0,608,"T","N","CLE","CHA","CHI12","rehaj901","mealj901","bakej902",0,"",0,1,87,4,7,0,1,2,200,"matop002","cordj001","pereo002"
"CHA202008151","20200815",1,1210,"T","D","SLN","CHA","CHI12","vanol901","lives901","tosia901",0,"",0,1,86,5,7,0,1,2,139,"waina001","gioll001",""
"CHA202008152","20200815",2,700,"T","N","SLN","CHA","CHI12","barkl901","tosia901","conrc901",0,"",0,1,84,6,7,0,1,2,150,"cabrg001","marse001","milla002"
"CHA202008160","20200816",0,110,"T","D","SLN","CHA","CHI12","tosia901","conrc901","vanol901",0,"",0,1,79,4,6,0,1,1,172,"keucd001","hudsd002",""
"CHA202008170","20200817",0,710,"T","N","DET","CHA","CHI12","conrc901","rackd901","barkl901",0,"",0,1,77,6,4,0,1,2,192,"heuec001","boydm001",""
"CHA202008180","20200818",0,710,"T","N","DET","CHA","CHI12","rackd901","barkl901","tosia901",0,"",0,1,72,3,12,0,1,1,180,"ceasd001","skubt001",""
"CHA202008190","20200819",0,710,"T","N","DET","CHA","CHI12","barkl901","tosia901","conrc901",0,"",0,1,73,6,8,0,1,1,151,"marse001","sotog003","coloa001"
"CHA202008200","20200820",0,110,"T","D","DET","CHA","CHI12","tosia901","conrc901","rackd901",0,"",0,1,82,8,7,0,1,1,176,"gioll001","turns003",""
"CHA202008250","20200825",0,710,"T","N","PIT","CHA","CHI12","buckc901","bacce901","tumpj901",0,"",0,1,86,7,8,0,1,1,143,"gioll001","braus002",""
