"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"CHA202007240",1,0,0,0,"X","keplm001","HR/F9",1
"CHA202007240",1,0,3,2,"BSBBCB","donaj001","W",2
"CHA202007240",1,0,0,0,"X","polaj001","64(1)/FO/G+.B-1",3
"CHA202007240",1,0,0,2,"FSX","cruzn002","S4/G.1-2",4
"CHA202007240",1,0,1,0,"BB","rosae001","WP.2-3;1-2",5
"CHA202007240",1,0,3,1,"BB.BCB","rosae001","W",6
"CHA202007240",1,0,3,2,".CBBFFFBFX","garvm001","9/SF/F.3-H;2-3;1-2",7
"CHA202007240",1,0,0,0,"X","cavej001","S8/G+.3-H;2-H",8
"CHA202007240",1,0,2,2,"FBFBS","sanom001","K",9
"CHA202007240",1,1,1,1,"CBX","andet001","S57/G",10
"CHA202007240",1,1,0,1,"CX","moncy001","D7/G.1-3",11
"CHA202007240",1,1,2,2,"FSFFBF*BX","abrej003","43/G+.3-H;2-3",12
"CHA202007240",1,1,0,0,"X","grany001","43/G",13
"CHA202007240",1,1,0,2,"SFFFX","encae001","6/L",14
"CHA202007240",2,0,0,2,"CSFX","arral001","31/G",15
"CHA202007240",2,0,2,2,"BBSFFFFX","keplm001","HR/L89",16
"CHA202007240",2,0,0,0,"X","donaj001","31/G",17
"CHA202007240",2,0,1,0,"BX","polaj001","9/F",18
"CHA202007240",2,1,3,2,"CBFFBBFFX","jimee001","S7/L+",19
"CHA202007240",2,1,0,0,"X","robel002","S7/L+.1-2",20
"CHA202007240",2,1,1,2,"BCSX","delmn001","56(1)3/GDP/G.2-3",21
"CHA202007240",2,1,1,1,"SBB","garcl004","WP.3-H(NR)",22
"CHA202007240",2,1,3,1,"SBB.BB","garcl004","W",23
"CHA202007240",2,1,2,2,"1BB.CCX","andet001","S7/L.1-2",24
"CHA202007240",2,1,1,2,"FBCX","moncy001","HR/L89.2-H;1-H",25
"CHA202007240",2,1,1,1,"BSX","abrej003","2/P/FL",26
"CHA202007240",3,0,1,2,"BSF*S","cruzn002","K",27
"CHA202007240",3,0,0,2,"CSS","rosae001","K",28
"CHA202007240",3,0,2,2,"CSBBX","garvm001","7/L",29
"CHA202007240",3,1,3,2,"BBCCBX","grany001","63/G",30
"CHA202007240",3,1,1,2,"CBFX","encae001","2/G",31
"CHA202007240",3,1,2,0,".BBX","jimee001","D7/L+",32
"CHA202007240",3,1,0,1,"FX","robel002","9/L",33
"CHA202007240",4,0,1,1,"BSX","cavej001","S7/L",34
"CHA202007240",4,0,2,2,"BSSFBX","sanom001","64(1)/FO/G.B-1",35
"CHA202007240",4,0,2,1,"BFBX","arral001","S9/L.1-2",36
"CHA202007240",4,0,1,1,"CBX","keplm001","6/P",37
"CHA202007240",4,0,3,2,"BCB*BF>B","donaj001","W.2-3;1-2",38
"CHA202007240",4,0,1,1,"..*BSX","polaj001","S8/F.3-H;2-H;1-2",39
"CHA202007240",4,0,0,0,"B","cruzn002","PB.2-3;1-2",40
"CHA202007240",4,0,3,2,"B.BBCSB","cruzn002","W",41
"CHA202007240",4,0,1,2,".FBSX","rosae001","63/G",42
"CHA202007240",4,1,2,2,"BFFBX","delmn001","3/G",43
"CHA202007240",4,1,0,2,"CSFS","garcl004","K",44
"CHA202007240",4,1,0,0,"X","andet001","43/G",45
"CHA202007240",5,0,0,2,"CCS","garvm001","K",46
"CHA202007240",5,0,2,2,"..CBBFS","cavej001","K",47
"CHA202007240",5,0,1,2,"CBSS","sanom001","K",48
"CHA202007240",5,1,2,2,".CBFBS","moncy001","K",49
"CHA202007240",5,1,2,2,"CSFBBX","abrej003","43/G+",50
"CHA202007240",5,1,3,2,"BCBBCFB","grany001","W",51
"CHA202007240",5,1,2,2,"CBBFX","encae001","5/P",52
"CHA202007240",6,0,1,1,"CB.X","arral001","5/P",53
"CHA202007240",6,0,2,2,"FBBFX","keplm001","7/F",54
"CHA202007240",6,0,1,0,"..BX","donaj001","43/G",55
"CHA202007240",6,1,3,1,".BSBBB","jimee001","W",56
"CHA202007240",6,1,2,2,"SBC*BS","robel002","K",57
"CHA202007240",6,1,0,1,"CX","delmn001","5/P",58
"CHA202007240",6,1,0,0,"X","garcl004","4/P",59
"CHA202007240",7,0,1,1,"BFX","polaj001","S8/G",60
"CHA202007240",7,0,2,1,"BBCX","cruzn002","S8/G.1-3",61
"CHA202007240",7,0,3,2,"..BBBCFFX","rosae001","S8/G.3-H;1-2",62
"CHA202007240",7,0,3,2,"*BBCFBB","garvm001","W.2-3;1-2",63
"CHA202007240",7,0,1,2,"CBFS","cavej001","K",64
"CHA202007240",7,0,1,2,"FSBC","sanom001","K",65
"CHA202007240",7,0,2,2,"B*BCFX","arral001","S9/F.3-H;2-H;1-3",66
"CHA202007240",7,0,0,0,"..X","keplm001","43/G",67
"CHA202007240",7,1,0,2,".CS*S","andet001","K",68
"CHA202007240",7,1,1,2,"FSBX","moncy001","S9/L",69
"CHA202007240",7,1,0,1,"CX","abrej003","8/F",70
"CHA202007240",7,1,1,2,"BCC*S","grany001","K",71
"CHA202007240",8,0,1,2,"SFFBX","donaj001","53/G",72
"CHA202007240",8,0,1,0,"BX","polaj001","8/F",73
"CHA202007240",8,0,1,0,"..BX","cruzn002","53/G",74
"CHA202007240",8,1,2,2,".CSFBBS","encae001","K",75
"CHA202007240",8,1,0,2,"CSS","jimee001","K",76
