"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"CHA202007240",0,0,"gioll001",1,38
"CHA202007240",0,0,"marse001",1,46
"CHA202007240",1,0,"berrj001",1,48
"CHA202007240",0,0,"fry-j001",1,54
"CHA202007240",1,0,"may-t001",1,55
"CHA202007240",0,0,"cordj001",1,61
"CHA202007240",0,0,"bumma001",1,66
"CHA202007240",1,0,"clipt001",1,67
"CHA202007240",0,0,"detwr001",1,73
"CHA202007240",1,0,"dufft001",1,74
"CHA202007240",0,0,"herrk001",1,78
"CHA202007250",1,0,"dobnr001",1,33
"CHA202007250",0,0,"keucd001",1,43
"CHA202007250",1,0,"littz001",1,46
"CHA202007250",0,0,"cishs001",1,53
"CHA202007250",1,6,"delmn001",9,58
"CHA202007250",0,6,"engea001",11,63
"CHA202007250",0,0,"bumma001",1,63
"CHA202007250",1,0,"smeld001",1,68
"CHA202007250",1,4,"encae001",10,70
"CHA202007250",0,0,"marse001",1,73
"CHA202007250",0,6,"rosae001",7,75
"CHA202007260",0,0,"loper003",1,7
"CHA202007260",0,2,"delmn001",9,17
"CHA202007260",0,6,"jimee001",7,17
"CHA202007260",0,0,"gonzg003",1,42
"CHA202007260",0,0,"cordj001",1,50
"CHA202007260",1,0,"maedk001",1,53
"CHA202007260",0,0,"detwr001",1,63
"CHA202007260",0,3,"polaj001",6,66
"CHA202007260",1,1,"keplm001",9,69
"CHA202007260",1,2,"donaj001",5,69
"CHA202007260",1,3,"whita002",12,69
"CHA202007260",1,6,"cavej001",8,69
"CHA202007260",1,8,"gonzm002",3,69
"CHA202007260",1,2,"delmn001",7,70
"CHA202007260",1,0,"thorl002",1,72
"CHA202007260",0,2,"cuthc001",11,74
"CHA202007260",0,6,"engea001",9,74
"CHA202007260",0,8,"mendd002",5,74
"CHA202007260",0,9,"garcl004",4,74
"CHA202008050",0,0,"keucd001",1,53
"CHA202008050",0,1,"healr001",3,53
"CHA202008050",1,1,"smoaj001",11,56
"CHA202008050",1,0,"housa001",1,56
"CHA202008050",0,4,"gyorj001",5,60
"CHA202008050",1,4,"holtb002",11,63
"CHA202008050",1,0,"pheld001",1,63
"CHA202008060",0,0,"gonzg003",1,39
"CHA202008060",0,0,"fostm001",1,46
"CHA202008060",0,5,"gyorj001",5,49
