"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"CHN202007240","20200724",0,610,"T","N","MIL","CHN","CHI11","nelsj901","buckc901","tumpj901",0,"",0,1,80,6,8,0,1,1,150,"hendk001","woodb005",""
"CHN202007250","20200725",0,1205,"T","D","MIL","CHN","CHI11","buckc901","tumpj901","navaj901",0,"",0,1,85,0,8,0,1,1,216,"suteb001","darvy001",""
"CHN202007260","20200726",0,120,"T","D","MIL","CHN","CHI11","tumpj901","navaj901","nelsj901",0,"",0,1,93,0,5,0,1,2,184,"chatt001","peraf001",""
"CHN202007310","20200731",0,715,"T","N","PIT","CHN","CHI11","lives901","welkb901","hobep901",0,"",0,1,73,8,13,0,1,2,226,"darvy001","willt002",""
"CHN202008010","20200801",0,715,"T","N","PIT","CHN","CHI11","welkb901","hobep901","dejer901",0,"",0,1,72,5,3,0,1,2,191,"chatt001","kellm003","wickr001"
"CHN202008020","20200802",0,120,"T","D","PIT","CHN","CHI11","hobep901","dejer901","lives901",0,"",0,1,79,8,8,0,1,2,217,"jeffj001","poncc002",""
"CHN202008030","20200803",0,715,"T","N","KCA","CHN","CHI11","conrc901","rackd901","tosia901",0,"",0,1,64,6,16,0,1,2,163,"milla003","duffd001","wickr001"
"CHN202008040","20200804",0,715,"T","N","KCA","CHN","CHI11","rackd901","tosia901","barkl901",0,"",0,1,67,8,9,0,1,2,171,"hendk001","singb001","ryank002"
"CHN202008130","20200813",0,615,"T","N","MIL","CHN","CHI11","rehaj901","hicke901","mealj901",0,"",0,1,79,6,5,0,1,2,186,"darvy001","andeb004","wickr001"
"CHN202008140","20200814",0,715,"T","N","MIL","CHN","CHI11","hicke901","mealj901","bakej902",0,"",0,1,80,4,5,0,1,2,193,"peraf001","milla003","hadej001"
"CHN202008150","20200815",0,220,"T","D","MIL","CHN","CHI11","mealj901","bakej902","rehaj901",0,"",0,1,84,8,9,0,1,2,204,"pheld001","jeffj001","claua001"
"CHN202008160","20200816",0,120,"T","D","MIL","CHN","CHI11","bakej902","rehaj901","hicke901",0,"",0,1,81,6,10,0,1,1,191,"yarde001","adamj002","hadej001"
"CHN202008171","20200817",1,415,"T","D","SLN","CHN","CHI11","timmt901","bacce901","diazl901",0,"",0,1,80,7,7,0,1,2,123,"gallg001","hendk001","milla002"
"CHN202008180","20200818",0,715,"T","N","SLN","CHN","CHI11","diazl901","blakr901","timmt901",0,"",0,1,73,6,13,0,1,1,249,"darvy001","poncd001","wickr001"
"CHN202008191","20200819",1,120,"T","D","SLN","CHN","CHI11","blakr901","timmt901","lives901",0,"",0,1,79,8,7,0,1,1,181,"webbt001","milla003",""
"CHN202008210","20200821",0,715,"T","N","CHA","CHN","CHI11","reybd901","timmt901","diazl901",0,"",0,1,81,4,2,0,1,2,174,"keucd001","lestj001",""
"CHN202008220","20200822",0,715,"T","N","CHA","CHN","CHI11","timmt901","diazl901","lives901",0,"",0,1,84,2,9,0,1,2,213,"gonzg003","hendk001",""
"CHN202008230","20200823",0,120,"T","D","CHA","CHN","CHI11","diazl901","lives901","reybd901",0,"",0,1,88,8,8,0,1,2,195,"darvy001","ceasd001","jeffj001"
"CHN202009040","20200904",0,715,"T","N","SLN","CHN","CHI11","herna901","belld901","littw901",0,"",0,1,75,4,9,0,1,1,185,"darvy001","flahj002","jeffj001"
"CHN202009051","20200905",1,415,"T","D","SLN","CHN","CHI11","belld901","bacoj901","bacce901",0,"",0,1,79,6,12,0,1,1,160,"waina001","alzoa001","gallg001"
