"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"CHN202007240",1,0,0,1,"CX","sogae001","7/F",1
"CHN202007240",1,0,2,0,"BBX","yelic001","13/G-",2
"CHN202007240",1,0,0,2,"CSS","hiurk001","K",3
"CHN202007240",1,1,3,2,"SFBBFFFBFX","bryak001","8/F",4
"CHN202007240",1,1,3,0,"BBBB","rizza001","W",5
"CHN202007240",1,1,0,1,"FX","baezj001","46(1)3/GDP/G+",6
"CHN202007240",2,0,1,2,"CBFS","smoaj001","K",7
"CHN202007240",2,0,0,2,"CSFX","braur002","9/L",8
"CHN202007240",2,0,2,2,"BFSBS","garca003","K",9
"CHN202007240",2,1,2,2,"BFBFFX","schwk001","S5/G",10
"CHN202007240",2,1,2,2,"BCFFBFC","contw001","K",11
"CHN202007240",2,1,0,0,"X","heywj001","56(1)3/GDP/G+",12
"CHN202007240",3,0,0,2,"CFC","narvo001","K",13
"CHN202007240",3,0,2,2,"BBCFS","cainl001","K",14
"CHN202007240",3,0,0,1,"CX","arcio002","S8/L",15
"CHN202007240",3,0,1,0,"BX","sogae001","9/F",16
"CHN202007240",3,1,0,1,"CX","carav001","53/G",17
"CHN202007240",3,1,0,1,"FX","hoern001","S8/G",18
"CHN202007240",3,1,3,1,"B1BBCX","happi001","HR/F8.1-H",19
"CHN202007240",3,1,3,2,"BBSFBFFX","bryak001","53/G",20
"CHN202007240",3,1,1,2,"CCBH","rizza001","HP",21
"CHN202007240",3,1,1,1,".C*BX","baezj001","64(1)/FO/G.B-1",22
"CHN202007240",4,0,3,2,"BCBBSS","yelic001","K",23
"CHN202007240",4,0,2,2,"SBBSS","hiurk001","K",24
"CHN202007240",4,0,0,2,"CSFC","smoaj001","K",25
"CHN202007240",4,1,0,0,"X","schwk001","13/G-",26
"CHN202007240",4,1,3,2,"BCCBBS","contw001","K",27
"CHN202007240",4,1,2,2,"CBFFFBC","heywj001","K",28
"CHN202007240",5,0,0,1,"FX","braur002","53/G",29
"CHN202007240",5,0,0,1,"SX","garca003","53/G",30
"CHN202007240",5,0,1,2,"CSBX","narvo001","43/G",31
"CHN202007240",5,1,1,1,"BSX","carav001","D9/G",32
"CHN202007240",5,1,2,1,"FBBX","hoern001","63/G",33
"CHN202007240",5,1,3,2,"CBBBSS","happi001","K",34
"CHN202007240",5,1,1,2,"CBSC","bryak001","K",35
"CHN202007240",6,0,0,1,"CX","cainl001","8/L",36
"CHN202007240",6,0,0,0,"X","arcio002","S7/L",37
"CHN202007240",6,0,1,1,"C*BX","sogae001","9/F",38
"CHN202007240",6,0,2,2,"FSBF1*BS","yelic001","K",39
"CHN202007240",6,1,0,2,".CCFX","rizza001","8/F",40
"CHN202007240",6,1,2,2,"CBSBX","baezj001","E3/G+.B-1",41
"CHN202007240",6,1,2,2,"1BC1C1BFS","schwk001","K",42
"CHN202007240",6,1,0,0,"..X","contw001","54(1)/FO/G+.B-1",43
"CHN202007240",7,0,0,0,"X","hiurk001","53/G",44
"CHN202007240",7,0,1,0,"BX","smoaj001","9/F",45
"CHN202007240",7,0,1,0,"BX","braur002","53/G",46
"CHN202007240",7,1,2,0,".BBX","heywj001","9/L",47
"CHN202007240",7,1,1,1,"BCX","carav001","5/P",48
"CHN202007240",7,1,1,1,"BCX","hoern001","8/L+",49
"CHN202007240",8,0,2,2,"CBSBX","garca003","13/G",50
"CHN202007240",8,0,3,2,"CBFFBBFX","narvo001","43/G",51
"CHN202007240",8,0,2,0,"BBX","cainl001","63/G",52
"CHN202007240",8,1,1,2,".FBCX","happi001","5/P",53
"CHN202007240",8,1,3,2,"BBSSBS","bryak001","K",54
"CHN202007240",8,1,2,0,"BBX","rizza001","HR/L9",55
"CHN202007240",8,1,3,2,"BBFBSX","baezj001","63/G",56
