"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"CIN202007240","20200724",0,610,"T","N","DET","CIN","CIN09","vanol901","barkl901","conrc901",0,"",0,1,89,1,6,0,1,2,165,"grays001","boydm001",""
"CIN202007250","20200725",0,510,"T","N","DET","CIN","CIN09","barkl901","conrc901","rackd901",0,"",0,1,90,8,6,0,1,2,181,"farmb001","igler001","jimej003"
"CIN202007260","20200726",0,110,"T","D","DET","CIN","CIN09","conrc901","rackd901","vanol901",0,"",0,1,90,8,8,0,1,2,184,"cisnj001","lorem002","jimej003"
"CIN202007270","20200727",0,640,"T","N","CHN","CIN","CIN09","rackd901","vanol901","barkl901",0,"",0,1,79,8,5,0,1,2,226,"lestj001","milew001","jeffj001"
"CIN202007280","20200728",0,640,"T","N","CHN","CIN","CIN09","vanol901","barkl901","bacoj901",0,"",0,1,86,8,9,0,1,1,182,"milla003","reedc002",""
"CIN202007290","20200729",0,640,"T","N","CHN","CIN","CIN09","barkl901","bacoj901","rackd901",0,"",0,1,91,8,6,0,1,2,203,"grays001","hendk001",""
"CIN202008030","20200803",0,640,"T","N","CLE","CIN","CIN09","hicke901","bakej902","rehaj901",0,"",0,1,73,1,4,0,1,3,153,"grays001","plesz001","igler001"
"CIN202008040","20200804",0,610,"T","N","CLE","CIN","CIN09","bakej902","rehaj901","mealj901",0,"",0,1,79,1,9,0,1,2,179,"biebs001","jonen001","handb001"
"CIN202008110","20200811",0,640,"T","N","KCA","CIN","CIN09","buckc901","conrc901","vanol901",0,"",0,1,85,7,7,0,1,2,213,"simsl001","stauj001",""
"CIN202008120","20200812",0,640,"T","N","KCA","CIN","CIN09","conrc901","vanol901","nelsj901",0,"",0,1,86,0,3,0,1,2,220,"kellb003","milew001","roset001"
"CIN202008130","20200813",0,510,"T","N","PIT","CIN","CIN09","may-b901","iassd901","fleta901",0,"",0,1,88,0,4,0,1,2,201,"willt002","desca001",""
"CIN202008140","20200814",0,710,"T","N","PIT","CIN","CIN09","iassd901","fleta901","gibsh902",0,"",0,1,81,0,7,0,1,2,170,"grays001","kuhlc001",""
"CIN202008280","20200828",0,710,"T","N","CHN","CIN","CIN09","belld901","littw901","lentn901",0,"",0,1,81,7,9,0,1,2,177,"mahlt001","hendk001","igler001"
"CIN202008291","20200829",1,410,"T","D","CHN","CIN","CIN09","littw901","herna901","belld901",0,"",0,1,86,1,13,0,1,2,167,"darvy001","bauet001","jeffj001"
"CIN202008292","20200829",2,746,"T","N","CHN","CIN","CIN09","lentn901","belld901","merzd901",0,"",0,1,83,2,9,0,1,2,173,"kuhnj001","kimbc001",""
"CIN202008300","20200830",0,110,"T","D","CHN","CIN","CIN09","herna901","belld901","littw901",0,"",0,1,78,8,6,0,1,2,206,"rea-c001","castl003",""
"CIN202008310","20200831",0,640,"T","N","SLN","CIN","CIN09","merzd901","littw901","lentn901",0,"",0,1,81,6,4,0,1,2,189,"hudsd002","desca001","gallg001"
"CIN202009010","20200901",0,640,"T","N","SLN","CIN","CIN09","littw901","lentn901","herna901",0,"",0,1,84,8,7,0,1,2,207,"kim-k001","grays001",""
"CIN202009020","20200902",0,640,"T","N","SLN","CIN","CIN09","lentn901","herna901","merzd901",0,"",0,1,82,8,7,0,1,3,175,"igler001","gallg001",""
"CIN202009042","20200904",2,725,"T","N","PIT","CIN","PIT08","carlm901","hoyej901","estam901",0,"",0,1,73,2,10,0,1,2,145,"howas002","bauet001","rodrr008"
"CIN202009141","20200914",1,410,"T","D","PIT","CIN","CIN09","timmt901","merzd901","blakr901",0,"",0,1,80,3,11,0,1,2,145,"igler001","howas002",""
"CIN202009142","20200914",2,727,"T","N","PIT","CIN","CIN09","diazl901","blakr901","reybd901",0,"",0,1,74,8,10,0,1,2,178,"romas001","turln001",""
"CIN202009150","20200915",0,640,"T","N","PIT","CIN","CIN09","blakr901","reybd901","timmt901",0,"",0,1,73,4,6,0,1,1,160,"lorem002","musgj001","garra001"
"CIN202009160","20200916",0,640,"T","N","PIT","CIN","CIN09","reybd901","timmt901","diazl901",0,"",0,1,78,8,5,0,1,2,154,"castl003","brubj001","igler001"
"CIN202009180","20200918",0,710,"T","N","CHA","CIN","CIN09","carlm901","hoyej901","estam901",0,"",0,1,65,7,12,0,1,1,171,"mahlt001","stiej001",""
"CIN202009190","20200919",0,707,"T","N","CHA","CIN","CIN09","hoyej901","estam901","whitc901",0,"",0,1,66,4,6,0,1,1,177,"fostm001","bauet001",""
"CIN202009200","20200920",0,110,"T","D","CHA","CIN","CIN09","estam901","whitc901","carlm901",0,"",0,1,66,4,10,0,1,1,216,"simsl001","ceasd001",""
"CIN202009210","20200921",0,640,"T","N","MIL","CIN","CIN09","whitc901","carlm901","hoyej901",0,"",0,1,70,1,6,0,1,1,176,"castl003","woodb005",""
"CIN202009220","20200922",0,640,"T","N","MIL","CIN","CIN09","carlm901","hoyej901","estam901",0,"",0,1,75,0,4,0,1,1,147,"andeb004","antot001","hadej001"
"CIN202009230","20200923",0,640,"T","N","MIL","CIN","CIN09","hoyej901","estam901","whitc901",0,"",0,1,73,1,6,0,1,3,158,"bauet001","housa001",""
