"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"CIN202007240",1,0,2,2,"BCBSS","goodn002","K",1
"CIN202007240",1,0,0,2,"CCX","schoj001","S9/L",2
"CIN202007240",1,0,2,1,"BBSS","cabrm001","WP.1-2",3
"CIN202007240",1,0,3,2,"BBSS.*BB","cabrm001","W",4
"CIN202007240",1,0,2,0,"BBX","cronc002","5(2)3/GDP/G",5
"CIN202007240",1,1,3,2,"CBBBF*B","ervip001","W",6
"CIN202007240",1,1,0,1,"FX","vottj001","S9/L.1-2",7
"CIN202007240",1,1,2,2,"BF*BCH","suare001","HP.2-3;1-2",8
"CIN202007240",1,1,0,1,"FH","castn001","HP.3-H;2-3;1-2",9
"CIN202007240",1,1,3,2,".BBBCFX","mousm001","S9/F.3-H;2-3;1-2",10
"CIN202007240",1,1,2,2,"FFBBX","davim005","3/P",11
"CIN202007240",1,1,0,1,"CX","senzn001","52(3)/FO/G.2-3;1-2;B-1",12
"CIN202007240",1,1,1,0,"BX","galvf001","63/G",13
"CIN202007240",2,0,3,2,"CCBBFB*S","stewc002","K",14
"CIN202007240",2,0,0,1,"CX","candj002","43/G-",15
"CIN202007240",2,0,3,2,"BCBFBC","maybc001","K",16
"CIN202007240",2,1,1,2,"BCFX","casac001","S7/L",17
"CIN202007240",2,1,0,1,"CX","ervip001","9/F",18
"CIN202007240",2,1,2,2,"BBCFX","vottj001","3/L/DP.1X1(3)",19
"CIN202007240",3,0,1,2,"CBFC","romia002","K",20
"CIN202007240",3,0,1,2,"BCCX","jonej006","S9/L",21
"CIN202007240",3,0,1,1,"*B1CX","goodn002","46(1)3/GDP/G",22
"CIN202007240",3,1,1,1,"CBX","suare001","53/G+",23
"CIN202007240",3,1,0,1,"SX","castn001","D7/L+",24
"CIN202007240",3,1,0,0,"X","mousm001","S8/L.2-H",25
"CIN202007240",3,1,0,0,"X","davim005","64(1)3/GDP/G",26
"CIN202007240",4,0,1,2,"BCSFS","schoj001","K",27
"CIN202007240",4,0,1,2,"CCBX","cabrm001","43/G+",28
"CIN202007240",4,0,1,0,"BX","cronc002","HR/L7",29
"CIN202007240",4,0,3,2,"SBFBBB","stewc002","W",30
"CIN202007240",4,0,3,2,"BB.CCB>F>X","candj002","8/L",31
"CIN202007240",4,1,0,1,"CX","senzn001","7/L+",32
"CIN202007240",4,1,2,2,"BCBSFS","galvf001","K",33
"CIN202007240",4,1,3,2,"FSBBFBB","casac001","W",34
"CIN202007240",4,1,3,2,"SBCBFB>X","ervip001","8/F",35
"CIN202007240",5,0,0,0,"X","maybc001","43/G",36
"CIN202007240",5,0,1,2,"CBS*S","romia002","K",37
"CIN202007240",5,0,2,2,"SSBB*S","jonej006","K",38
"CIN202007240",5,1,2,0,"BBX","vottj001","HR/F89",39
"CIN202007240",5,1,3,2,"BCBSBS","suare001","K",40
"CIN202007240",5,1,2,2,"BFFBX","castn001","63/G+",41
"CIN202007240",5,1,1,2,"CSBX","mousm001","53/G",42
"CIN202007240",6,0,0,2,"CCC","goodn002","K",43
"CIN202007240",6,0,3,2,"BBFSFFFBS","schoj001","K",44
"CIN202007240",6,0,0,0,"X","cabrm001","53/G",45
"CIN202007240",6,1,2,1,"..FBBX","winkj002","53/G+",46
"CIN202007240",6,1,1,2,"CBST","senzn001","K",47
"CIN202007240",6,1,1,2,"CSBX","galvf001","S7/L",48
"CIN202007240",6,1,3,2,"1BBFB>F>F>B","casac001","W.1-2",49
"CIN202007240",6,1,1,2,".CSBFFX","akiys001","S8/G.2-H;1-3",50
"CIN202007240",6,1,0,0,"X","vottj001","3/G",51
"CIN202007240",7,0,3,1,"...BBBCB","cronc002","W",52
"CIN202007240",7,0,1,2,"CS*BS","stewc002","K",53
"CIN202007240",7,0,3,2,"FS*BFBFFBFC","candj002","K",54
"CIN202007240",7,0,1,2,"CCBX","maybc001","3/P",55
"CIN202007240",7,1,1,1,".CBX","suare001","9/L",56
"CIN202007240",7,1,3,2,"FCBBBB","castn001","W",57
"CIN202007240",7,1,0,0,".>B","mousm001","SB2",58
"CIN202007240",7,1,3,1,".>B.BBFX","mousm001","HR/L89.2-H",59
"CIN202007240",7,1,0,2,"..CCC","winkj002","K",60
"CIN202007240",7,1,2,0,"BBX","senzn001","9/F",61
"CIN202007240",8,0,0,0,"...X","casth001","7/L",62
"CIN202007240",8,0,1,1,"CBX","jonej006","53/G",63
"CIN202007240",8,0,0,2,"SSS","goodn002","K",64
"CIN202007240",8,1,1,0,"..BX","galvf001","3/P/FL",65
"CIN202007240",8,1,2,1,"BSBX","casac001","9/F",66
"CIN202007240",8,1,3,2,"BCBBCFFX","akiys001","43/G",67
"CIN202007240",9,0,0,2,".CFX","schoj001","4/P",68
"CIN202007240",9,0,3,2,"BBCBFFFS","cabrm001","K",69
"CIN202007240",9,0,0,1,"CX","cronc002","1/P-/FL",70
"CIN202007250",1,0,0,2,"CSS","goodn002","K",1
"CIN202007250",1,0,0,2,"SCFX","schoj001","S4/G-",2
"CIN202007250",1,0,1,2,"SCBS","cabrm001","K",3
"CIN202007250",1,0,0,1,"CX","cronc002","D7/G.1-H",4
"CIN202007250",1,0,3,0,"BBBB","stewc002","W",5
"CIN202007250",1,0,1,0,"BX","candj002","5/P",6
"CIN202007250",1,1,0,2,"CSX","winkj002","53/G8S",7
"CIN202007250",1,1,0,0,"X","vottj001","HR/F89",8
"CIN202007250",1,1,0,1,"SX","suare001","63/G",9
"CIN202007250",1,1,0,2,"FFFFFX","mousm001","S8/G+",10
"CIN202007250",1,1,0,0,"X","castn001","53/G",11
"CIN202007250",2,0,2,2,"BCBFS","maybc001","K",12
"CIN202007250",2,0,1,2,"CBFX","romia002","9/F",13
"CIN202007250",2,0,0,0,"X","jonej006","63/G",14
"CIN202007250",2,1,2,0,"BBX","akiys001","43/G",15
"CIN202007250",2,1,3,0,"BBBB","senzn001","W",16
"CIN202007250",2,1,2,1,"1CBB1X","galvf001","HR/F9.1-H",17
"CIN202007250",2,1,2,1,"SBBX","casac001","7/L+",18
"CIN202007250",2,1,2,1,"BBCX","winkj002","43/G",19
"CIN202007250",3,0,1,2,"BSFX","goodn002","13/G",20
"CIN202007250",3,0,1,1,"BFX","schoj001","S3/P",21
"CIN202007250",3,0,0,2,"CSS","cabrm001","K",22
"CIN202007250",3,0,3,2,"BFBCB>X","cronc002","S6/G.1-2",23
"CIN202007250",3,0,0,2,"SSFS","stewc002","K",24
"CIN202007250",3,1,3,1,"BFBBB","vottj001","W",25
"CIN202007250",3,1,1,2,"CBSS","suare001","K",26
"CIN202007250",3,1,1,0,"BX","mousm001","9/F",27
"CIN202007250",3,1,1,2,"BTFS","castn001","K",28
"CIN202007250",4,0,0,1,"FX","candj002","63/G",29
"CIN202007250",4,0,2,2,"CBFBX","maybc001","63/G",30
"CIN202007250",4,0,2,2,"BBSFFS","romia002","K",31
"CIN202007250",4,1,1,2,"BFFFX","akiys001","63/G",32
"CIN202007250",4,1,0,2,"FCX","senzn001","63/G",33
"CIN202007250",4,1,3,2,"BBCBFB","galvf001","W",34
"CIN202007250",4,1,0,2,"CFX","casac001","8/F",35
"CIN202007250",5,0,3,2,"BFFBBS","jonej006","K",36
"CIN202007250",5,0,0,1,"FX","goodn002","S8/F",37
"CIN202007250",5,0,1,0,"BX","schoj001","S8/L.1-2",38
"CIN202007250",5,0,1,2,"SBTS","cabrm001","K",39
"CIN202007250",5,0,0,1,"CX","cronc002","63/G-",40
"CIN202007250",5,1,3,0,"BBBB","winkj002","W",41
"CIN202007250",5,1,2,0,"BBX","vottj001","3/L/DP.1X1(3)",42
"CIN202007250",5,1,1,0,"BX","suare001","63/G",43
"CIN202007250",6,0,1,2,"BSSS","stewc002","K",44
"CIN202007250",6,0,1,2,"TFBS","candj002","K",45
"CIN202007250",6,0,2,2,"CCBBS","maybc001","K",46
"CIN202007250",6,1,1,2,".CFBFS","mousm001","K",47
"CIN202007250",6,1,1,2,"CFBX","castn001","S7/G",48
"CIN202007250",6,1,0,1,"F>B","akiys001","CS2(26)",49
"CIN202007250",6,1,3,2,"F>B.BBSFX","akiys001","53/G",50
"CIN202007250",7,0,1,0,".BX","romia002","HR/F78",51
"CIN202007250",7,0,0,1,"CX","jonej006","S8/F",52
"CIN202007250",7,0,0,2,".CFFS","goodn002","K",53
"CIN202007250",7,0,0,1,"..F1X","schoj001","63/G.1-2",54
"CIN202007250",7,0,3,2,"F.*B*BF*BX","cabrm001","HR/L7.2-H",55
"CIN202007250",7,0,0,2,"CCS","cronc002","K",56
"CIN202007250",7,1,1,0,"BX","senzn001","8/F+",57
"CIN202007250",7,1,1,1,"BCX","galvf001","63/G",58
"CIN202007250",7,1,0,0,"X","casac001","HR/F8",59
"CIN202007250",7,1,3,2,"...FCBBBFB","ervip001","W",60
"CIN202007250",7,1,3,1,"1*B.CB*BX","vottj001","S9/G.1-2",61
"CIN202007250",7,1,1,0,"BX","suare001","9/F",62
"CIN202007250",8,0,0,2,"...FSS","stewc002","K",63
"CIN202007250",8,0,1,2,"SCBS","candj002","K",64
"CIN202007250",8,0,1,1,"..BSX","reyev001","63/G",65
"CIN202007250",8,1,2,2,"..BSCBS","mousm001","K",66
"CIN202007250",8,1,2,2,"FBSBX","castn001","8/L",67
"CIN202007250",8,1,3,0,"BBBB","akiys001","W",68
"CIN202007250",8,1,1,1,"C1*BX","senzn001","FC6/G.1X3(6E4);B-1",69
"CIN202007250",8,1,1,1,"BC>S","galvf001","SB2",70
"CIN202007250",8,1,1,2,"BC>S.X","galvf001","63/G",71
"CIN202007250",9,0,2,1,".BBCX","romia002","S9/G+",72
"CIN202007250",9,0,2,2,".L1B1LBF1X","jonej006","HR/F78.1-H",73
"CIN202007250",9,0,1,0,"BX","goodn002","S7/L+",74
"CIN202007250",9,0,0,2,"1CSX","schoj001","4/P",75
"CIN202007250",9,0,1,2,"BS*ST","cabrm001","K",76
"CIN202007250",9,0,1,2,"CCBFFS","cronc002","K",77
"CIN202007250",9,1,2,2,"..CFBFBFC","casac001","K",78
"CIN202007250",9,1,3,0,".BBBB","vanmj001","W",79
"CIN202007250",9,1,2,1,"B.FBX","vottj001","3/G.1-2",80
"CIN202007250",9,1,1,2,"CBCFX","suare001","7/F",81
"CIN202007260",1,0,2,2,"FBSBC","goodn002","K",1
"CIN202007260",1,0,1,2,"SSBS","schoj001","K",2
"CIN202007260",1,0,3,2,"SFBFBBFX","cabrm001","143/G4MD",3
"CIN202007260",1,1,2,2,"BCBFS","winkj002","K",4
"CIN202007260",1,1,0,1,"CX","vottj001","7/F7S",5
"CIN202007260",1,1,1,2,"CFBS","suare001","K",6
"CIN202007260",2,0,3,0,"BBBB","cronc002","W",7
"CIN202007260",2,0,0,0,"X","stewc002","8/F89",8
"CIN202007260",2,0,3,2,"*BBBCSFS","casth001","K",9
"CIN202007260",2,0,1,2,"BFFS","reyev001","K",10
"CIN202007260",2,1,1,2,"SSBS","castn001","K",11
"CIN202007260",2,1,0,0,"X","vanmj001","53/G6S",12
"CIN202007260",2,1,2,2,"CBTBX","akiys001","S7/L7LS",13
"CIN202007260",2,1,0,1,"C>*B","galvf001","SB2",14
"CIN202007260",2,1,3,2,"C>*B.BBSB","galvf001","W",15
"CIN202007260",2,1,0,1,"CX","jankt001","46(1)/FO/G4.B-1",16
"CIN202007260",3,0,1,2,"CSBFC","greig001","K",17
"CIN202007260",3,0,2,2,"CBFFBFX","jonej006","7/F78D",18
"CIN202007260",3,0,2,1,"FBBX","goodn002","HR/F89XD",19
"CIN202007260",3,0,1,2,"BSSX","schoj001","63/G6",20
"CIN202007260",3,1,3,2,"CBBSBB","casac001","W",21
"CIN202007260",3,1,2,2,"SBBCS","winkj002","K",22
