"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"CIN202007240",1,0,"boydm001",1,45
"CIN202007240",1,6,"davim005",10,45
"CIN202007240",1,1,"ervip001",7,49
"CIN202007240",0,1,"akiys001",11,51
"CIN202007240",0,0,"grays001",1,51
"CIN202007240",1,0,"cisnj001",1,55
"CIN202007240",1,4,"castn001",9,57
"CIN202007240",1,0,"mckad001",1,59
"CIN202007240",0,4,"jankt001",12,61
"CIN202007240",0,0,"simsl001",1,61
"CIN202007240",0,8,"romia002",2,61
"CIN202007240",1,8,"casth001",11,64
"CIN202007240",1,0,"sotog003",1,64
"CIN202007240",0,0,"jonen001",1,67
"CIN202007250",1,0,"novai001",1,46
"CIN202007250",0,0,"castl003",1,50
"CIN202007250",0,0,"stepr002",1,53
"CIN202007250",1,1,"winkj002",10,59
"CIN202007250",1,0,"alext001",1,59
"CIN202007250",0,0,"lorem002",1,62
"CIN202007250",0,7,"maybc001",9,64
"CIN202007250",1,7,"reyev001",11,65
"CIN202007250",1,0,"garcb001",1,65
"CIN202007250",0,0,"garra001",1,71
"CIN202007250",0,8,"romia002",2,72
"CIN202007250",1,8,"lugod001",12,77
"CIN202007250",1,0,"farmb001",1,77
"CIN202007250",1,1,"ervip001",10,78
"CIN202007260",1,0,"turns003",1,45
"CIN202007260",1,6,"akiys001",7,46
"CIN202007260",1,8,"jankt001",8,48
"CIN202007260",0,6,"ervip001",11,49
"CIN202007260",0,8,"aquia001",11,49
"CIN202007260",0,0,"bauet001",1,50
"CIN202007260",0,5,"stewc002",7,50
"CIN202007260",1,5,"mercj002",11,53
"CIN202007260",1,6,"casth001",5,53
"CIN202007260",0,0,"garra001",1,56
"CIN202007260",1,0,"sotog003",1,61
"CIN202007260",0,0,"strop001",1,65
"CIN202007260",0,3,"cabrm001",10,66
"CIN202007260",1,0,"cisnj001",1,70
"CIN202007260",1,1,"winkj002",10,74
"CIN202007270",0,0,"milew001",1,18
"CIN202007270",1,0,"lestj001",1,50
"CIN202007270",1,5,"aquia001",7,53
"CIN202007270",1,0,"winkd001",1,53
"CIN202007270",1,6,"coloc002",10,54
"CIN202007270",0,5,"winkj002",11,56
"CIN202007270",0,9,"casac001",2,56
"CIN202007270",0,0,"antot001",1,56
"CIN202007270",1,1,"bryak001",7,63
"CIN202007270",1,8,"hoern001",4,63
"CIN202007270",1,0,"wickr001",1,63
"CIN202007270",1,0,"unded001",1,68
"CIN202007270",1,0,"teper001",1,78
"CIN202007270",0,0,"raleb001",1,82
"CIN202007270",0,8,"hoern001",7,84
"CIN202007270",1,8,"happi001",11,85
"CIN202007270",1,0,"norwj001",1,85
"CIN202007270",1,7,"farmk001",4,89
"CIN202007270",1,0,"kimbc001",1,93
"CIN202007280",0,0,"mahlt001",1,33
"CIN202007280",0,0,"reedc002",1,42
"CIN202007280",0,0,"strop001",1,45
"CIN202007280",1,4,"schwk001",7,55
"CIN202007280",1,5,"happi001",8,55
"CIN202007280",1,0,"milla003",1,55
"CIN202007280",0,0,"garra001",1,59
"CIN202007280",1,0,"sadlc002",1,64
"CIN202007280",1,1,"akiys001",8,64
"CIN202007280",1,4,"winkj002",10,67
"CIN202007280",0,1,"ervip001",11,68
"CIN202007280",0,0,"jonen001",1,68
"CIN202007280",1,0,"ryank002",1,74
"CIN202007290",1,0,"hendk001",1,39
"CIN202007290",0,2,"rizza001",3,46
"CIN202007290",1,2,"boted002",11,47
"CIN202007290",1,6,"heywj001",9,47
"CIN202007290",1,3,"baezj001",6,47
"CIN202007290",1,7,"happi001",8,47
"CIN202007290",1,9,"hoern001",4,47
"CIN202007290",1,0,"brotr001",1,50
"CIN202007290",0,5,"contw001",2,53
"CIN202007290",0,0,"grays001",1,55
"CIN202007290",0,0,"raleb001",1,60
"CIN202007290",1,5,"phegj001",11,61
"CIN202007290",1,0,"norwj001",1,61
"CIN202007290",1,4,"mousm001",4,62
"CIN202007290",1,0,"mapld001",1,68
"CIN202007290",0,8,"galvf001",6,69
"CIN202007290",0,5,"castn001",9,69
