"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"CLE202007240","20200724",0,710,"T","N","KCA","CLE","CLE08","iassd901","fleta901","gibsh902",0,"",0,1,79,6,6,0,1,1,178,"biebs001","duffd001","handb001"
"CLE202007250","20200725",0,510,"T","N","KCA","CLE","CLE08","fleta901","gibsh902","may-b901",0,"",0,1,80,7,7,0,1,2,172,"barls001","karij001","hollg001"
"CLE202007260","20200726",0,110,"T","D","KCA","CLE","CLE08","gibsh902","may-b901","iassd901",0,"",0,1,83,4,7,0,1,2,184,"carrc003","bolar001",""
"CLE202007281","20200728",1,340,"T","D","CHA","CLE","CLE08","may-b901","riggj901","iassd901",0,"",0,1,82,5,16,0,1,2,195,"civaa001","ceasd001","handb001"
"CLE202007282","20200728",2,333,"T","D","CHA","CLE","CLE08","fleta901","iassd901","gibsh902",0,"",0,1,82,8,8,0,1,1,163,"pluta001","rodoc001","hillc001"
"CLE202007290","20200729",0,610,"T","N","CHA","CLE","CLE08","iassd901","gibsh902","may-b901",0,"",0,1,88,7,16,0,1,2,177,"bumma001","handb001",""
"CLE202008050","20200805",0,710,"T","N","CIN","CLE","CLE08","rehaj901","mealj901","hicke901",0,"",0,1,72,5,5,0,1,2,176,"clevm001","antot001","handb001"
"CLE202008060","20200806",0,610,"T","N","CIN","CLE","CLE08","mealj901","hicke901","bakej902",0,"",0,1,74,6,15,0,1,2,173,"carrc003","castl003",""
"CLE202008110","20200811",0,710,"T","N","CHN","CLE","CLE08","reybd901","timmt901","blakr901",0,"",0,1,81,0,0,0,1,2,194,"lestj001","pluta001",""
"CLE202008120","20200812",0,610,"T","N","CHN","CLE","CLE08","timmt901","blakr901","diazl901",0,"",0,1,78,5,13,0,1,1,212,"hendk001","carrc003",""
"CLE202008210","20200821",0,710,"T","N","DET","CLE","CLE08","conrc901","rackd901","barkl901",0,"",0,1,78,6,6,0,1,2,198,"garcr007","pluta001",""
"CLE202008220","20200822",0,711,"T","N","DET","CLE","CLE08","barkl901","tosia901","rackd901",0,"",0,1,81,7,7,0,1,1,157,"mcket001","boydm001",""
"CLE202008230","20200823",0,110,"T","D","DET","CLE","CLE08","tosia901","rackd901","conrc901",0,"",0,1,83,0,6,0,1,1,202,"norrd002","carrc003",""
"CLE202008240","20200824",0,710,"T","N","MIN","CLE","CLE08","kulpr901","segac901","gonzm901",0,"",0,1,84,2,6,0,1,2,194,"maedk001","civaa001","roget001"
"CLE202008250","20200825",0,710,"T","N","MIN","CLE","CLE08","segac901","gonzm901","tosia901",0,"",0,1,79,6,7,0,1,1,172,"biebs001","alcaj001","handb001"
"CLE202008260","20200826",0,710,"T","N","MIN","CLE","CLE08","gonzm901","tosia901","kulpr901",0,"",0,1,81,3,7,0,1,2,194,"matop002","romos001","handb001"
"CLE202009040","20200904",0,710,"T","N","MIL","CLE","CLE08","mealj901","bakej902","riggj901",0,"",0,1,73,3,4,0,1,1,175,"burnc002","matop002",""
"CLE202009050","20200905",0,710,"T","N","MIL","CLE","CLE08","bakej902","riggj901","rehaj901",0,"",0,1,79,3,19,0,1,1,201,"handb001","hadej001",""
"CLE202009060","20200906",0,110,"T","D","MIL","CLE","CLE08","riggj901","rehaj901","mealj901",0,"",0,1,74,7,7,0,1,2,193,"biebs001","andeb004","handb001"
"CLE202009070","20200907",0,610,"T","N","KCA","CLE","CLE08","whitc901","carlm901","hoyej901",0,"",0,1,67,0,1,0,1,2,172,"plesz001","kellb003","handb001"
"CLE202009080","20200908",0,610,"T","N","KCA","CLE","CLE08","carlm901","hoyej901","estam901",0,"",0,1,84,1,5,0,1,2,193,"hollg001","cimba001","barls001"
"CLE202009090","20200909",0,610,"T","N","KCA","CLE","CLE08","hoyej901","estam901","whitc901",0,"",0,1,73,7,3,0,1,1,183,"duffd001","carrc003","hollg001"
"CLE202009100","20200910",0,610,"T","N","KCA","CLE","CLE08","estam901","whitc901","carlm901",0,"",0,1,68,6,7,0,1,2,168,"singb001","civaa001",""
"CLE202009210","20200921",0,610,"T","N","CHA","CLE","CLE08","belld901","herna901","littw901",0,"",0,1,67,0,5,0,1,1,194,"civaa001","fry-j001","handb001"
"CLE202009220","20200922",0,610,"T","N","CHA","CLE","CLE08","herna901","littw901","lentn901",0,"",0,1,68,0,1,0,1,2,201,"matop002","fostm001",""
"CLE202009230","20200923",0,610,"T","N","CHA","CLE","CLE08","littw901","lentn901","belld901",0,"",0,1,73,3,5,0,1,1,194,"handb001","gonzg003",""
"CLE202009240","20200924",0,610,"T","N","CHA","CLE","CLE08","lentn901","belld901","herna901",0,"",0,1,73,6,5,0,1,2,168,"hillc001","rodoc001","handb001"
"CLE202009250","20200925",0,710,"T","N","PIT","CLE","CLE08","hobep901","welkb901","dejer901",0,"",0,1,75,8,6,0,1,1,198,"pluta001","strac001",""
"CLE202009260","20200926",0,710,"T","N","PIT","CLE","CLE08","welkb901","dejer901","millb903",0,"",0,1,78,2,11,0,1,1,176,"musgj001","civaa001",""
"CLE202009270","20200927",0,310,"T","D","PIT","CLE","CLE08","dejer901","millb903","hobep901",0,"",0,1,80,3,13,0,1,1,180,"karij001","turln001","handb001"
