"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"CLE202007240",1,0,1,2,"FBFFFH","merrw001","HP",1
"CLE202007240",1,0,1,2,"CC*B1X","mondr003","35(1)/FO/G.B-1",2
"CLE202007240",1,0,1,0,"*B>B","solej001","CS2(24)",3
"CLE202007240",1,0,3,0,"*B>B.BB","solej001","W",4
"CLE202007240",1,0,0,0,"X","peres002","S8/G+.1-2",5
"CLE202007240",1,0,2,2,"B*B.FS*S","gorda001","K.BX1(23)",6
"CLE202007240",1,1,2,2,"BFBTX","hernc005","9/F",7
"CLE202007240",1,1,2,1,"FBBX","ramij003","D7/L",8
"CLE202007240",1,1,1,0,"*BX","lindf001","6/P",9
"CLE202007240",1,1,2,2,"CSF*B*BC","santc002","K",10
"CLE202007240",2,0,2,2,"BTBSC","mcbrr001","K",11
"CLE202007240",2,0,0,2,"CF*S","franm004","K",12
"CLE202007240",2,0,2,2,"BSCBC","lopen001","K",13
"CLE202007240",2,1,3,1,"BSBBX","reyef001","S7/L+",14
"CLE202007240",2,1,1,2,"FFF*BFFX","luplj001","7/F",15
"CLE202007240",2,1,0,0,"X","santd002","3/P",16
"CLE202007240",2,1,2,2,"B*BFFX","perer003","64(1)/FO/G.B-1",17
"CLE202007240",3,0,1,2,"SBSC","starb001","K",18
"CLE202007240",3,0,2,0,"BBX","merrw001","9/L",19
"CLE202007240",3,0,2,2,"CSBB*S","mondr003","K",20
"CLE202007240",3,1,0,0,"X","merco003","4/P",21
"CLE202007240",3,1,3,2,"CBBBFX","hernc005","63/G",22
"CLE202007240",3,1,3,2,"SBBTBC","ramij003","K",23
"CLE202007240",4,0,3,2,"CCBBBC","solej001","K",24
"CLE202007240",4,0,0,2,"SF*S","peres002","K",25
"CLE202007240",4,0,1,1,"BSX","gorda001","S8/L",26
"CLE202007240",4,0,1,2,"FCB*S","mcbrr001","K.BX1(23)",27
"CLE202007240",4,1,0,0,"X","lindf001","4/P",28
"CLE202007240",4,1,2,2,"BCBCFX","santc002","63/G",29
"CLE202007240",4,1,0,1,"CX","reyef001","3/P/FL",30
"CLE202007240",5,0,0,2,"CSC","franm004","K",31
"CLE202007240",5,0,1,2,"FFBX","lopen001","S8/F-",32
"CLE202007240",5,0,0,2,"FC1C","starb001","K",33
"CLE202007240",5,0,3,2,"1B*BC>F1FB>X","merrw001","S9/L.1-3",34
"CLE202007240",5,0,0,2,"S*S>B","mondr003","SB2",35
"CLE202007240",5,0,3,2,"S*S>B.*B*BS","mondr003","K",36
"CLE202007240",5,1,1,0,"BH","luplj001","HP",37
"CLE202007240",5,1,0,0,"X","santd002","3/P/FL",38
"CLE202007240",5,1,2,2,"11*BFBCX","perer003","S8/G.1-3",39
"CLE202007240",5,1,3,1,"..*BBCBX","merco003","S8/G.3-H;1-3",40
"CLE202007240",5,1,0,0,"X","hernc005","D7/G.3-H;1-3",41
"CLE202007240",5,1,0,0,"H","ramij003","HP",42
"CLE202007240",5,1,2,2,".SBFB*S","lindf001","K",43
"CLE202007240",5,1,2,1,"BBFX","santc002","46(1)/FO/G.B-1",44
"CLE202007240",6,0,2,1,"BSBX","solej001","9/F",45
"CLE202007240",6,0,1,2,"CBFT","peres002","K",46
"CLE202007240",6,0,2,2,"FBFBS","gorda001","K",47
"CLE202007240",6,1,0,0,".X","reyef001","7/F",48
"CLE202007240",6,1,2,2,"CBCFBFFX","luplj001","63/G",49
"CLE202007240",6,1,3,1,"BCBB*B","santd002","W",50
"CLE202007240",6,1,3,1,".BC1BB>B","perer003","W.1-2",51
"CLE202007240",6,1,1,2,"S*SFBX","merco003","65(2)/FO/G.B-1",52
"CLE202007240",7,0,1,0,"..BX","mcbrr001","4/P",53
"CLE202007240",7,0,1,2,"FFFBFX","franm004","13/G",54
"CLE202007240",7,0,3,1,"BTBBB","lopen001","W",55
"CLE202007240",7,0,3,2,".FBFBF*B>X","cordf003","43/G+",56
"CLE202007240",7,1,0,0,"...X","hernc005","3/G",57
"CLE202007240",7,1,1,1,"CBX","ramij003","43/G",58
"CLE202007240",7,1,1,2,"BCCFX","lindf001","5/L",59
"CLE202007240",8,0,0,1,".CX","merrw001","8/F",60
"CLE202007240",8,0,1,2,"MBCS","mondr003","K",61
"CLE202007240",8,0,2,0,"BBH","solej001","HP",62
"CLE202007240",8,0,1,2,"FF*BF*S","peres002","K",63
"CLE202007240",8,1,3,2,"SBBSBB","santc002","W",64
"CLE202007240",8,1,2,2,"S*BFBFX","reyef001","4(1)3/GDP/G",65
"CLE202007240",8,1,0,0,"X","luplj001","3/G",66
"CLE202007240",9,0,2,2,".BBFFFFH","gorda001","HP",67
"CLE202007240",9,0,2,2,"CBBFX","mcbrr001","8/F",68
"CLE202007240",9,0,0,2,"SCT","franm004","K",69
"CLE202007240",9,0,1,2,".CFBFS","mejie001","K",70
"CLE202007250",1,0,1,2,"SCBS","merrw001","K",1
"CLE202007250",1,0,2,0,"BBX","mondr003","4/L",2
"CLE202007250",1,0,3,2,"FBCBBX","solej001","HR/L7",3
"CLE202007250",1,0,0,1,"FX","peres002","HR/F8",4
"CLE202007250",1,0,1,0,"BX","gorda001","5/P",5
"CLE202007250",1,1,1,2,"BCSX","hernc005","3/G",6
"CLE202007250",1,1,3,2,"BBBCS*B","ramij003","W",7
"CLE202007250",1,1,1,0,"*BX","lindf001","7/F",8
"CLE202007250",1,1,0,2,"CCX","santc002","7/F",9
"CLE202007250",2,0,0,1,"CX","mcbrr001","3/P/FL",10
"CLE202007250",2,0,1,2,"BSCX","franm004","53/G+",11
"CLE202007250",2,0,0,2,"FCX","lopen001","43/G",12
"CLE202007250",2,1,1,2,"CBFS","reyef001","K",13
"CLE202007250",2,1,1,1,"FBX","johnd006","8/L",14
"CLE202007250",2,1,1,1,"CBX","merco003","63/G",15
"CLE202007250",3,0,0,2,"CSX","starb001","6/P/FL",16
"CLE202007250",3,0,0,0,"X","merrw001","D7/G",17
"CLE202007250",3,0,1,0,"B.X","mondr003","43/G.2-3",18
"CLE202007250",3,0,2,2,"BFCF*BF*S","solej001","K",19
"CLE202007250",3,1,2,2,"BCCBS","perer003","K",20
"CLE202007250",3,1,2,1,"CBBX","zimmb001","S9/G+",21
"CLE202007250",3,1,0,1,"CX","hernc005","S8/L.1-2",22
"CLE202007250",3,1,0,0,"X","ramij003","S9/G.2-H;1-3",23
"CLE202007250",3,1,1,2,"BFS*S","lindf001","K",24
"CLE202007250",3,1,2,2,"FBBCB","santc002","WP.3-H(NR);1-2",25
"CLE202007250",3,1,3,2,"FBBCB.X","santc002","3/G",26
"CLE202007250",4,0,0,2,"CFX","peres002","63/G+",27
"CLE202007250",4,0,3,2,"CSBBBFC","gorda001","K",28
"CLE202007250",4,0,3,2,"BBBCSX","mcbrr001","S9/L",29
"CLE202007250",4,0,0,0,"X","franm004","7/L",30
"CLE202007250",4,1,0,2,"CS*S","reyef001","K",31
"CLE202007250",4,1,3,2,"BBBCFC","johnd006","K",32
"CLE202007250",4,1,1,1,"BCX","merco003","31/G",33
"CLE202007250",5,0,1,1,"CBX","lopen001","43/G",34
"CLE202007250",5,0,2,2,"SBBFC","starb001","K",35
"CLE202007250",5,0,1,2,"CBFX","merrw001","8/F",36
"CLE202007250",5,1,1,2,"SCBS","perer003","K",37
"CLE202007250",5,1,2,2,"SSBBX","zimmb001","7/F",38
"CLE202007250",5,1,3,2,"BBCCBB","hernc005","W",39
"CLE202007250",5,1,2,2,"BS1FBB","ramij003","WP.1-2",40
"CLE202007250",5,1,3,2,"BS1FBB.S","ramij003","K",41
"CLE202007250",6,0,2,2,"BFSBC","mondr003","K",42
"CLE202007250",6,0,2,2,"FBBSX","solej001","63/G+",43
"CLE202007250",6,0,0,0,"X","peres002","63/G",44
"CLE202007250",6,1,0,0,".X","lindf001","9/F",45
"CLE202007250",6,1,0,1,"CX","santc002","43/G",46
"CLE202007250",6,1,0,0,"X","reyef001","9/F",47
"CLE202007250",7,0,2,1,"BSBX","gorda001","6/L",48
"CLE202007250",7,0,0,0,"X","mcbrr001","4/P",49
"CLE202007250",7,0,3,2,"BCBSBT","franm004","K",50
"CLE202007250",7,1,1,2,"CSBFFFX","johnd006","8/F",51
"CLE202007250",7,1,0,0,"X","merco003","43/G",52
"CLE202007250",7,1,3,2,"BCCBFBS","perer003","K",53
"CLE202007250",8,0,0,2,".CSX","lopen001","43/G",54
"CLE202007250",8,0,1,2,"BCFX","starb001","S8/L",55
"CLE202007250",8,0,0,0,"X","merrw001","8/L",56
"CLE202007250",8,0,1,1,"BS1X","mondr003","7/F",57
"CLE202007250",8,1,1,1,".CBX","zimmb001","7/F",58
"CLE202007250",8,1,1,2,"FBFS","hernc005","K",59
