"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"CLE202007240",1,0,"duffd001",1,39
"CLE202007240",1,0,"barls001",1,47
"CLE202007240",1,7,"santd002",9,50
"CLE202007240",0,7,"zimmb001",12,52
"CLE202007240",0,0,"biebs001",1,52
"CLE202007240",0,9,"starb001",8,55
"CLE202007240",1,1,"merrw001",9,56
"CLE202007240",1,9,"cordf003",11,56
"CLE202007240",1,0,"hollg001",1,56
"CLE202007240",0,0,"cimba001",1,59
"CLE202007240",0,0,"wittn001",1,66
"CLE202007240",0,8,"lopen001",4,69
"CLE202007250",1,0,"singb001",1,44
"CLE202007250",0,0,"clevm001",1,53
"CLE202007250",1,0,"kenni001",1,57
"CLE202007250",0,0,"wittn001",1,60
"CLE202007250",1,0,"roset001",1,63
"CLE202007250",0,5,"gorda001",7,69
"CLE202007250",0,6,"mcbrr001",3,69
"CLE202007250",1,5,"philb002",12,73
"CLE202007250",1,6,"mejie001",11,73
"CLE202007250",1,7,"franm004",5,73
"CLE202007250",1,0,"barls001",1,73
"CLE202007250",1,8,"perer003",2,73
"CLE202007260",1,0,"bolar001",1,20
"CLE202007260",1,0,"lopej004",1,25
"CLE202007260",1,0,"speig001",1,35
"CLE202007260",1,0,"mccak002",1,44
"CLE202007260",0,5,"reyef001",7,48
"CLE202007260",1,0,"stauj001",1,51
"CLE202007260",0,0,"carrc003",1,56
"CLE202007260",0,7,"cordf003",9,56
"CLE202007260",1,0,"lover001",1,59
"CLE202007260",1,9,"philb002",8,59
"CLE202007260",1,7,"mcbrr001",11,59
"CLE202007260",1,5,"gorda001",7,59
"CLE202007260",1,4,"peres002",2,59
"CLE202007260",1,1,"merrw001",4,59
"CLE202007260",1,6,"santd002",9,62
"CLE202007260",0,1,"hernc005",4,64
"CLE202007260",0,6,"johnd006",12,64
"CLE202007260",0,0,"pereo002",1,64
"CLE202007260",1,0,"sparg001",1,69
"CLE202007260",0,3,"lindf001",6,74
"CLE202007260",0,9,"chany001",5,74
"CLE202007260",0,0,"leond003",1,74
"CLE202007281",1,0,"ceasd001",1,26
"CLE202007281",1,0,"fry-j001",1,38
"CLE202007281",1,0,"cordj001",1,45
"CLE202007281",1,6,"johnd006",9,45
"CLE202007281",0,6,"merco003",11,48
"CLE202007281",0,7,"zimmb001",8,48
