"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"COL202007310","20200731",0,610,"T","N","SDN","COL","DEN02","hudsm901","knigb901","hamaa901",0,"",0,1,87,6,7,0,1,2,217,"stamc001","daviw001","pomed001"
"COL202008010","20200801",0,610,"T","N","SDN","COL","DEN02","knigb901","hamaa901","woodt901",0,"",0,1,81,8,11,0,1,2,170,"freek001","luccj001",""
"COL202008020","20200802",0,110,"T","D","SDN","COL","DEN02","hamaa901","woodt901","hudsm901",0,"",0,1,77,2,4,0,1,2,172,"senza001","daviz001","diazj006"
"COL202008030","20200803",0,640,"T","N","SFN","COL","DEN02","reynj901","barrl901","hamaa901",0,"",0,1,83,2,4,0,1,2,168,"hoffj003","peraw002","diazj006"
"COL202008040","20200804",0,640,"T","N","SFN","COL","DEN02","barrl901","hamaa901","libkj901",0,"",0,1,85,6,7,0,1,2,156,"marqg001","gausk001","almoy001"
"COL202008050","20200805",0,640,"T","N","SFN","COL","DEN02","hamaa901","libkj901","reynj901",0,"",0,1,81,6,9,0,1,2,168,"webbl001","grayj003","gottt001"
"COL202008060","20200806",0,110,"T","D","SFN","COL","DEN02","libkj901","reynj901","barrl901",0,"",0,1,86,6,21,0,1,2,186,"almoy001","garcr006","diazj006"
"COL202008100","20200810",0,640,"T","N","ARI","COL","DEN02","morag901","marqa901","guccc901",0,"",0,1,87,6,6,0,1,2,223,"youna002","grayj003","brada001"
"COL202008110","20200811",0,640,"T","N","ARI","COL","DEN02","marqa901","guccc901","blasc901",0,"",0,1,91,6,12,0,1,2,196,"estec001","ginkk001","bardd001"
"COL202008120","20200812",0,110,"T","D","ARI","COL","DEN02","guccc901","blasc901","morag901",0,"",0,1,84,6,6,0,1,2,236,"chafa001","kinlt001",""
"COL202008140","20200814",0,640,"T","N","TEX","COL","DEN02","eddid901","tomln901","mosce901",0,"",0,1,88,7,9,0,1,2,153,"lynnl001","bardd001",""
"COL202008150","20200815",0,610,"T","N","TEX","COL","DEN02","tomln901","mosce901","drakr901",0,"",0,1,90,6,5,0,1,2,202,"gibsk002","marqg001","montr004"
"COL202008160","20200816",0,110,"T","D","TEX","COL","DEN02","mosce901","drakr901","eddid901",0,"",0,1,93,1,6,0,1,2,180,"grayj003","allak001","estec001"
"COL202008190","20200819",0,640,"T","N","HOU","COL","DEN02","millb901","mosce901","drakr901",0,"",0,1,90,5,6,0,1,2,189,"valdf001","castr005",""
"COL202008200","20200820",0,110,"T","D","HOU","COL","DEN02","mosce901","drakr901","eddid901",0,"",0,1,89,1,8,0,1,2,211,"paree003","marqg001","presr001"
"COL202008280","20200828",0,640,"T","N","SDN","COL","DEN02","rippm901","barrt901","woodt901",0,"",0,1,69,5,3,0,1,2,209,"daviz001","hoffj003",""
"COL202008290","20200829",0,610,"T","N","SDN","COL","DEN02","barrt901","woodt901","mahrn901",0,"",0,1,76,2,15,0,1,2,188,"bardd001","stamc001",""
"COL202008300","20200830",0,110,"T","D","SDN","COL","DEN02","woodt901","mahrn901","rippm901",0,"",0,1,91,5,14,0,1,2,187,"paddc001","castr005",""
"COL202008310","20200831",0,740,"T","N","SDN","COL","DEN02","mahrn901","rippm901","barrt901",0,"",0,1,73,6,4,0,1,2,169,"morea001","marqg001",""
"COL202009010","20200901",0,640,"T","N","SFN","COL","DEN02","eddid901","millb901","mosce901",0,"",0,1,80,7,6,0,1,1,228,"gausk001","grayj003",""
"COL202009020","20200902",0,110,"T","D","SFN","COL","DEN02","millb901","mosce901","drakr901",0,"",0,1,84,1,7,0,1,1,215,"givem001","coons001","bardd001"
"COL202009110","20200911",0,640,"T","N","ANA","COL","DEN02","blasc901","hamaa901","morag901",0,"",0,1,67,7,6,0,1,2,188,"bardd001","buttt001",""
"COL202009120","20200912",0,610,"T","N","ANA","COL","DEN02","hamaa901","morag901","guccc901",0,"",0,1,80,7,5,0,1,1,224,"buttt001","kinlt001","andrm001"
"COL202009130","20200913",0,110,"T","D","ANA","COL","DEN02","morag901","guccc901","blasc901",0,"",0,1,84,1,7,0,1,1,184,"heana001","estec001","andrm001"
"COL202009150","20200915",0,640,"T","N","OAK","COL","DEN02","guccc901","blasc901","marqa901",0,"",0,1,84,6,4,0,1,1,161,"senza001","manas001",""
"COL202009160","20200916",0,110,"T","D","OAK","COL","DEN02","blasc901","marqa901","morag901",0,"",0,1,74,6,6,0,1,2,177,"fierm001","marqg001","hendl001"
"COL202009170","20200917",0,640,"T","N","LAN","COL","DEN02","barrt901","rippm901","wolcq901",0,"",0,1,82,6,6,0,1,1,187,"flord002","freek001",""
"COL202009180","20200918",0,610,"T","N","LAN","COL","DEN02","rippm901","wolcq901","johna901",0,"",0,1,79,3,10,0,1,2,204,"whitm004","castr005",""
"COL202009190","20200919",0,610,"T","N","LAN","COL","DEN02","wolcq901","johna901","barrt901",0,"",0,1,84,3,6,0,1,2,152,"kersc001","gonzc002",""
