"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"COL202007310",1,0,0,2,"CFS","tatif002","K",1
"COL202007310",1,0,3,1,"BBBCX","grist001","31/G3D+",2
"COL202007310",1,0,2,1,"CBBX","machm001","63/G6D+",3
"COL202007310",1,1,2,2,"CSFBFBX","dahld001","9/L89XD",4
"COL202007310",1,1,0,1,"CX","stort001","S8/L8D",5
"COL202007310",1,1,1,1,"B1SX","blacc001","HR/L89XD.1-H",6
"COL202007310",1,1,0,0,"X","arenn001","8/F78XD",7
"COL202007310",1,1,2,2,"BBFFX","murpd006","8/L8D",8
"COL202007310",2,0,3,2,"CCBBBX","phamt001","53/G56S",9
"COL202007310",2,0,2,2,"BCBSX","profj001","5/P5",10
"COL202007310",2,0,0,2,"SCX","myerw001","7/F78XD",11
"COL202007310",2,1,2,0,"BBX","mcmar001","S7/L7D+",12
"COL202007310",2,1,1,1,"BCX","hills005","9/F89XD",13
"COL202007310",2,1,2,2,"CBFFFB1S","tapir001","K",14
"COL202007310",2,1,0,0,"X","woltt001","8/L78XD",15
"COL202007310",3,0,3,2,"FBBFFBX","naylj001","7/L7D",16
"COL202007310",3,0,1,2,"CBCX","hedga001","43/G6MD",17
"COL202007310",3,0,0,1,"CX","cronj001","T8/L89XD+",18
"COL202007310",3,0,0,0,"X","tatif002","63/G6D",19
"COL202007310",3,1,1,0,"BX","dahld001","3/G34",20
"COL202007310",3,1,2,0,"BBX","stort001","9/F89D",21
"COL202007310",3,1,0,0,"X","blacc001","S9/L89+",22
"COL202007310",3,1,0,0,"X","arenn001","7/L78D",23
"COL202007310",4,0,0,1,"CX","grist001","7/F78S",24
"COL202007310",4,0,0,0,"X","machm001","8/L89XD",25
"COL202007310",4,0,0,1,"FX","phamt001","53/G56D",26
"COL202007310",4,1,2,1,"BFBX","murpd006","3/G34",27
"COL202007310",4,1,2,2,"BSBSS","mcmar001","K",28
"COL202007310",4,1,2,2,"BBSSS","hills005","K",29
"COL202007310",5,0,2,1,"CBBX","profj001","4/L4D",30
"COL202007310",5,0,2,2,"BSBCFX","myerw001","43/G4MD+",31
"COL202007310",5,0,1,1,"CBX","naylj001","S7/G56",32
"COL202007310",5,0,2,2,"CBC*BX","hedga001","53/G5+",33
