"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"COL202007310",0,0,"grayj003",1,45
"COL202007310",1,0,"richg002",1,51
"COL202007310",1,8,"tapir001",10,51
"COL202007310",0,8,"hedga001",2,54
"COL202007310",1,8,"mejif001",11,59
"COL202007310",1,0,"stram001",1,62
"COL202007310",0,0,"bardd001",1,64
"COL202007310",0,0,"diazj006",1,72
"COL202007310",0,0,"daviw001",1,79
"COL202007310",1,0,"stamc001",1,80
"COL202007310",1,5,"murpd006",3,87
"COL202007310",1,0,"yatek001",1,88
"COL202007310",1,7,"hills005",7,88
"COL202008010",1,0,"luccj001",1,20
"COL202008010",0,0,"freek001",1,52
"COL202008010",1,0,"quanc001",1,55
"COL202008010",0,7,"frant002",3,59
"COL202008010",1,7,"naylj001",11,62
"COL202008010",0,0,"almoy001",1,65
"COL202008020",1,0,"daviz001",1,44
"COL202008020",1,0,"hillt002",1,48
"COL202008020",0,0,"senza001",1,49
"COL202008020",1,0,"guerj004",1,59
"COL202008020",0,0,"bardd001",1,60
"COL202008020",0,9,"cronj001",3,60
"COL202008020",0,0,"pazoj001",1,66
"COL202008020",1,9,"frant002",11,68
"COL202008020",1,7,"kempm001",10,69
"COL202008020",0,8,"mejif001",2,72
"COL202008020",0,0,"estec001",1,76
"COL202008030",0,0,"gonzc002",1,29
"COL202008030",0,0,"diehp001",1,37
"COL202008030",1,0,"cuetj001",1,47
"COL202008030",1,0,"peraw002",1,53
"COL202008030",0,0,"hoffj003",1,54
"COL202008030",1,0,"garcr006",1,57
"COL202008030",0,0,"kinlt001",1,60
"COL202008030",1,0,"barac001",1,64
"COL202008030",0,0,"estec001",1,68
"COL202008030",0,9,"duggs001",7,71
"COL202008030",0,9,"sandp001",11,73
"COL202008040",1,0,"gausk001",1,47
"COL202008040",1,0,"watst001",1,52
"COL202008040",0,0,"marqg001",1,61
"COL202008040",1,0,"menec001",1,62
"COL202008050",1,0,"webbl001",1,45
"COL202008050",0,0,"grayj003",1,48
"COL202008050",1,0,"barac001",1,51
"COL202008050",1,7,"tapir001",9,54
"COL202008050",0,7,"kempm001",11,56
"COL202008050",0,8,"hills005",7,56
"COL202008050",0,0,"kinlt001",1,56
"COL202008050",1,2,"dicka001",9,60
"COL202008050",1,3,"solad001",5,60
"COL202008050",1,0,"watst001",1,60
"COL202008050",1,9,"woltt001",2,61
"COL202008050",0,1,"dahld001",8,64
"COL202008050",0,7,"hampg001",7,64
"COL202008050",0,8,"hills005",9,64
"COL202008050",0,9,"owinc001",12,64
"COL202008050",0,0,"bardd001",1,64
"COL202008050",1,5,"florw001",4,67
"COL202008050",1,0,"roget002",1,67
"COL202008060",1,0,"andet002",1,40
"COL202008060",1,0,"peraw002",1,43
"COL202008060",1,5,"kempm001",7,45
"COL202008060",0,5,"hills005",12,46
"COL202008060",0,0,"freek001",1,51
"COL202008060",1,0,"andes002",1,52
"COL202008060",1,5,"pench001",9,52
"COL202008060",1,9,"buted001",2,55
"COL202008060",1,0,"garcr006",1,56
"COL202008060",1,0,"barac001",1,60
"COL202008060",0,9,"murpd006",11,61
"COL202008060",0,0,"almoy001",1,65
"COL202008060",0,6,"ruf-d001",10,65
"COL202008060",0,8,"tromc001",2,72
"COL202008100",0,0,"grayj003",1,40
"COL202008100",1,0,"ray-r002",1,48
"COL202008100",1,0,"ginkk001",1,56
"COL202008100",0,0,"hoffj003",1,60
"COL202008100",0,0,"bardd001",1,68
"COL202008100",1,0,"youna002",1,76
"COL202008100",0,0,"almoy001",1,79
"COL202008100",1,0,"rondh001",1,83
"COL202008100",1,9,"woltt001",2,83
"COL202008100",0,9,"tapir001",11,86
"COL202008100",0,0,"harvj001",1,86
"COL202008100",1,0,"guerj003",1,92
"COL202008100",1,0,"chafa001",1,95
"COL202008110",0,0,"freek001",1,59
"COL202008110",1,0,"gallz001",1,64
"COL202008110",1,0,"ginkk001",1,68
"COL202008110",1,7,"dahld001",10,70
"COL202008110",1,0,"youna002",1,72
"COL202008110",0,0,"estec001",1,75
"COL202008110",0,0,"diehp001",1,79
"COL202008110",0,5,"walkc002",3,84
"COL202008110",0,0,"diazj006",1,85
"COL202008110",0,7,"kellc002",2,85
"COL202008120",0,1,"hampg001",8,15
"COL202008120",0,6,"owinc001",4,15
"COL202008120",1,0,"weavl001",1,32
"COL202008120",1,0,"clart003",1,53
"COL202008120",1,0,"crics001",1,57
"COL202008120",0,0,"senza001",1,58
"COL202008120",0,0,"kinlt001",1,64
"COL202008120",1,0,"chafa001",1,74
"COL202008120",0,0,"almoy001",1,75
"COL202008120",1,0,"rondh001",1,82
"COL202008120",0,0,"harvj001",1,88
"COL202008120",1,0,"guerj003",1,91
"COL202008140",0,0,"castr005",1,32
"COL202008140",0,0,"hoffj003",1,52
"COL202008140",0,9,"mathj001",2,52
"COL202008140",1,9,"dietd001",11,56
"COL202008140",1,9,"woltt001",2,57
"COL202008140",0,9,"hills005",11,59
"COL202008140",0,0,"bardd001",1,59
"COL202008150",0,0,"marqg001",1,52
"COL202008150",1,0,"gibsk002",1,58
"COL202008150",0,0,"almoy001",1,59
"COL202008150",0,3,"calhw001",10,60
"COL202008150",0,0,"estec001",1,71
"COL202008150",1,0,"hernj004",1,74
"COL202008160",1,0,"allak001",1,32
