"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"DET202007270",1,0,2,2,"CBSBX","merrw001","S9/L89",1
"DET202007270",1,0,2,2,"FBBSS","solej001","K",2
"DET202007270",1,0,0,1,"1TX","mondr003","6/P6D",3
"DET202007270",1,0,1,1,"F1BX","peres002","9/F89D",4
"DET202007270",1,1,2,2,"CBBFX","goodn002","53/G56",5
"DET202007270",1,1,2,1,"BBSX","schoj001","63/G56D",6
"DET202007270",1,1,3,1,"BBBCX","cabrm001","S7/L78XD+",7
"DET202007270",1,1,1,2,"CBFS","cronc002","K",8
"DET202007270",2,0,0,2,"FFS","ohear001","K",9
"DET202007270",2,0,1,1,"SBX","franm004","HR/L7D",10
"DET202007270",2,0,3,2,"FBBSBX","gorda001","9/F9D",11
"DET202007270",2,0,1,0,"BX","cordf003","43/G34",12
"DET202007270",2,1,2,1,"BCBX","mercj002","S7/G6",13
"DET202007270",2,1,1,2,"F1FBX","maybc001","S8/L89.1-3;B-2",14
"DET202007270",2,1,1,0,"BX","reyev001","E6/G6.3-H;B-1",15
"DET202007270",2,1,1,1,"BFX","romia002","63/G6S.2-3;1-2",16
"DET202007270",2,1,3,1,"*BBCBX","jonej006","HR/L7LD.3-H;2-H(UR)",17
"DET202007270",2,1,1,1,"BCX","goodn002","T8/L89XD+",18
"DET202007270",2,1,1,1,".CBX","schoj001","8/SF/L8XD.3-H(UR)",19
"DET202007270",2,1,1,2,"BFFX","cabrm001","43/G4",20
"DET202007270",3,0,1,1,"CBX","philb002","S9/L89S",21
"DET202007270",3,0,0,0,"X","merrw001","HR/F89.1-H",22
"DET202007270",3,0,0,0,"X","solej001","7/F7LD+",23
"DET202007270",3,0,2,0,"BBX","mondr003","3/G3",24
"DET202007270",3,0,2,1,"BBFX","peres002","HR/F78XD",25
"DET202007270",3,0,3,2,"BFSBBB","ohear001","W",26
"DET202007270",3,0,0,1,"..FX","franm004","S8/G6M.1-2",27
"DET202007270",3,0,1,1,"BCX","gorda001","8/F8XD+",28
"DET202007270",3,1,1,2,".SSB*S","cronc002","K",29
"DET202007270",3,1,2,2,"FFBFBX","mercj002","63/G56",30
"DET202007270",3,1,2,0,"BBX","maybc001","63/G6",31
"DET202007270",4,0,1,1,"CBX","cordf003","D7/L7L",32
