"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"DET202007270",0,0,"fulmm001",1,26
"DET202007270",1,0,"montm002",1,28
"DET202007270",0,0,"funkk001",1,38
"DET202007270",1,0,"griff001",1,44
"DET202007270",1,0,"mccak002",1,58
"DET202007270",0,0,"burrb002",1,63
"DET202007270",1,0,"stauj001",1,67
"DET202007270",0,0,"fulmc001",1,70
"DET202007270",0,4,"cronc002",3,70
"DET202007270",0,5,"mercj002",5,70
"DET202007270",0,2,"schoj001",4,70
"DET202007270",1,9,"philb002",8,73
"DET202007270",1,7,"gorda001",7,73
"DET202007270",1,2,"solej001",9,73
"DET202007270",0,0,"schrj001",1,78
"DET202007270",1,1,"merrw001",4,83
"DET202007270",1,4,"peres002",2,83
"DET202007270",1,0,"sparg001",1,83
"DET202007270",1,3,"cabrm001",10,86
"DET202007280",1,0,"zimmk001",1,21
"DET202007280",0,0,"garcr007",1,27
"DET202007280",1,0,"zubet001",1,30
"DET202007280",1,0,"newbj001",1,38
"DET202007280",0,0,"alext001",1,44
"DET202007280",1,0,"stauj001",1,47
"DET202007280",0,5,"stewc002",7,51
"DET202007280",0,0,"cisnj001",1,51
"DET202007280",1,0,"barls001",1,54
"DET202007280",1,3,"cabrm001",10,57
"DET202007280",0,0,"sotog003",1,58
"DET202007280",0,8,"herno002",2,58
"DET202007280",1,4,"peres002",10,61
"DET202007280",1,8,"lopen001",11,61
"DET202007280",0,0,"farmb001",1,64
"DET202007290",0,0,"boydm001",1,46
"DET202007290",1,0,"duffd001",1,49
"DET202007290",0,0,"schrj001",1,53
"DET202007290",1,0,"barls001",1,56
"DET202007290",0,6,"stewc002",7,60
"DET202007290",0,0,"garcb001",1,60
"DET202007290",0,5,"mcbrr001",3,61
"DET202007290",1,5,"ohear001",11,63
"DET202007290",1,0,"kenni001",1,63
"DET202007290",0,0,"farmb001",1,66
"DET202007290",0,8,"starb001",8,67
"DET202007300",0,0,"novai001",1,46
"DET202007300",0,8,"cordf003",9,46
"DET202007300",1,8,"mcbrr001",11,47
"DET202007300",1,9,"philb002",8,47
"DET202007300",1,0,"singb001",1,47
"DET202007300",0,0,"alext001",1,51
"DET202007300",1,0,"hollg001",1,56
"DET202007300",1,0,"newbj001",1,59
"DET202007300",0,0,"cisnj001",1,60
"DET202007300",0,0,"fulmc001",1,70
"DET202007300",0,2,"solej001",10,71
"DET202007300",1,0,"kenni001",1,74
"DET202007300",1,6,"maybc001",9,75
"DET202007300",1,8,"romia002",2,76
"DET202007310",0,0,"turns003",1,45
"DET202007310",0,6,"winkj002",10,46
"DET202007310",1,0,"castl003",1,51
"DET202007310",1,7,"stewc002",7,51
"DET202007310",0,6,"reyev001",9,56
"DET202007310",0,7,"demet001",12,56
"DET202007310",0,0,"sotog003",1,56
"DET202007310",1,0,"jonen001",1,59
"DET202007310",0,0,"farmb001",1,66
"DET202008021",0,0,"garcr007",1,17
"DET202008021",0,3,"mousm001",4,39
"DET202008021",0,5,"winkj002",10,40
"DET202008021",0,0,"alext001",1,42
"DET202008021",0,5,"davim005",11,42
"DET202008021",1,3,"jankt001",12,45
"DET202008021",1,0,"desca001",1,45
"DET202008021",1,3,"cabrm001",10,48
"DET202008021",1,5,"stewc002",7,50
"DET202008021",1,0,"simsl001",1,51
"DET202008021",0,5,"demet001",12,52
"DET202008021",0,6,"reyev001",9,52
"DET202008021",0,0,"fulmc001",1,52
"DET202008022",0,0,"norrd002",1,18
"DET202008022",0,0,"schrj001",1,32
"DET202008022",0,8,"aquia001",10,32
"DET202008022",0,0,"cisnj001",1,47
"DET202008022",0,8,"winkj002",10,49
"DET202008022",0,0,"sotog003",1,55
"DET202008022",1,6,"mercj002",3,62
"DET202008022",1,7,"demet001",9,63
"DET202008100",0,0,"fulmm001",1,22
"DET202008100",1,4,"cronc002",3,29
"DET202008100",0,4,"lugod001",11,32
"DET202008100",0,5,"candj002",5,32
"DET202008100",0,0,"norrd002",1,38
"DET202008100",0,0,"schrj001",1,46
"DET202008100",0,0,"cisnj001",1,50
"DET202008100",1,0,"keucd001",1,53
"DET202008100",1,7,"demet001",9,53
"DET202008100",1,8,"mendd002",4,53
"DET202008100",1,1,"garcl004",6,53
"DET202008100",0,7,"casth001",11,58
"DET202008100",0,6,"mazan001",9,61
"DET202008100",1,0,"heuec001",1,62
"DET202008100",1,9,"engea001",8,62
"DET202008100",1,6,"robel002",11,62
"DET202008100",1,4,"abrej003",3,62
"DET202008100",0,0,"sotog003",1,65
"DET202008110",0,0,"alext001",1,28
"DET202008110",1,0,"gonzg003",1,41
"DET202008110",1,0,"cordj001",1,48
"DET202008110",1,6,"demet001",9,50
"DET202008110",0,2,"reyev001",7,51
"DET202008110",0,6,"stewc002",11,51
"DET202008110",0,0,"garcr007",1,51
"DET202008110",0,0,"fulmc001",1,60
"DET202008110",1,0,"fostm001",1,63
"DET202008110",0,0,"burrb002",1,66
"DET202008110",1,0,"burdz001",1,69
"DET202008110",1,7,"lugod001",5,72
"DET202008110",1,0,"hamii001",1,74
"DET202008120",0,0,"boydm001",1,45
"DET202008120",0,0,"schrj001",1,56
