"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"HOU202007240","20200724",0,810,"T","N","SEA","HOU","HOU03","marqa901","guccc901","blasc901",0,"",0,1,73,0,0,0,1,5,169,"verlj001","gonzm005",""
"HOU202007250","20200725",0,310,"T","D","SEA","HOU","HOU03","guccc901","blasc901","morag901",0,"",0,1,74,0,0,0,1,5,173,"mccul002","walkt004",""
"HOU202007260","20200726",0,110,"T","D","SEA","HOU","HOU03","blasc901","morag901","marqa901",0,"",0,1,74,0,0,0,1,5,221,"altad001","devec001","willt003"
"HOU202007270","20200727",0,610,"T","N","SEA","HOU","HOU03","morag901","marqa901","guccc901",0,"",0,1,74,0,0,0,1,5,184,"bielb001","gravk001","osunr001"
"HOU202007280","20200728",0,810,"T","N","LAN","HOU","HOU03","marqa901","guccc901","blasc901",0,"",0,1,81,2,4,0,1,5,199,"kolaa001","valdf001","jansk001"
"HOU202007290","20200729",0,610,"T","N","LAN","HOU","HOU03","guccc901","blasc901","morag901",0,"",0,1,74,0,0,0,1,5,284,"santd003","sneec001",""
"HOU202008100","20200810",0,810,"T","N","SFN","HOU","HOU03","barrt901","johna901","vondc901",0,"",0,1,78,0,0,0,1,5,187,"mccul002","webbl001","presr001"
"HOU202008110","20200811",0,810,"T","N","SFN","HOU","HOU03","johna901","vondc901","mahrn901",0,"",0,1,79,0,0,0,1,5,232,"gottt001","sneec001","roget002"
"HOU202008120","20200812",0,610,"T","N","SFN","HOU","HOU03","vondc901","mahrn901","barrt901",0,"",0,1,78,0,1,0,1,5,205,"greiz001","barac001",""
"HOU202008140","20200814",0,810,"T","N","SEA","HOU","HOU03","mahrn901","barrt901","johna901",0,"",0,1,75,0,0,0,1,5,190,"valdf001","cortn001",""
"HOU202008150","20200815",0,610,"T","N","SEA","HOU","HOU03","barrt901","johna901","wolcq901",0,"",0,1,73,0,0,0,1,5,150,"javic001","margn001","presr001"
"HOU202008160","20200816",0,110,"T","D","SEA","HOU","HOU03","johna901","wolcq901","mahrn901",0,"",0,1,72,0,0,0,1,5,176,"presr001","swane001",""
"HOU202008170","20200817",0,810,"T","N","COL","HOU","HOU03","drakr901","eddid901","millb901",0,"",0,1,74,0,0,0,1,5,170,"bielb001","freek001","taylb004"
"HOU202008180","20200818",0,210,"T","D","COL","HOU","HOU03","eddid901","millb901","mosce901",0,"",0,1,73,0,0,0,1,5,183,"scrua001","diazj006",""
"HOU202008240","20200824",0,810,"T","N","ANA","HOU","HOU03","marqa901","guccc901","vondc901",0,"",0,1,77,0,0,0,1,5,205,"valdf001","sandp002",""
"HOU202008251","20200825",1,305,"T","D","ANA","HOU","HOU03","guccc901","tomln901","blasc901",0,"",0,1,75,0,0,0,1,5,146,"javic001","suarj001","presr001"
"HOU202008252","20200825",2,620,"T","N","ANA","HOU","HOU03","vondc901","blasc901","marqa901",0,"",0,1,75,0,0,0,1,5,204,"penaf002","bielb001",""
"HOU202008291","20200829",1,310,"T","D","OAK","HOU","HOU03","barrl901","vondc901","johna901",0,"",0,1,73,0,0,0,1,5,127,"mccul002","bassc001","presr001"
"HOU202008292","20200829",2,611,"T","N","OAK","HOU","HOU03","morag901","johna901","libkj901",0,"",0,1,73,0,0,0,1,5,153,"greiz001","montf001","presr001"
"HOU202009010","20200901",0,710,"T","N","TEX","HOU","HOU03","knigb901","muchm901","hamaa901",0,"",0,1,76,0,0,0,1,5,208,"hernj004","taylb004","montr004"
"HOU202009020","20200902",0,710,"T","N","TEX","HOU","HOU03","muchm901","hamaa901","hudsm901",0,"",0,1,75,0,0,0,1,5,147,"javic001","allak001","presr001"
"HOU202009030","20200903",0,110,"T","D","TEX","HOU","HOU03","hamaa901","hudsm901","knigb901",0,"",0,1,73,0,0,0,1,5,191,"greiz001","lynnl001",""
"HOU202009052","20200905",2,753,"T","N","ANA","HOU","ANA01","muchm901","woodt901","hudsm901",0,"",0,1,97,8,2,0,1,1,164,"ramin002","casth002","buttt001"
"HOU202009081","20200908",1,310,"T","D","OAK","HOU","OAK01","barrt901","wolcq901","mahrn901",0,"",0,1,82,0,8,0,1,2,143,"montf001","greiz001","hendl001"
"HOU202009150","20200915",0,710,"T","N","TEX","HOU","HOU03","hudsm901","hamaa901","woodt901",0,"",0,1,73,0,0,0,1,5,180,"urquj001","goodn001","presr001"
"HOU202009160","20200916",0,710,"T","N","TEX","HOU","HOU03","hamaa901","woodt901","muchm901",0,"",0,1,75,0,0,0,1,5,156,"gibsk002","presr001",""
"HOU202009170","20200917",0,610,"T","N","TEX","HOU","HOU03","woodt901","muchm901","hudsm901",0,"",0,1,73,0,0,0,1,5,153,"valdf001","lylej001","raleb001"
"HOU202009180","20200918",0,710,"T","N","ARI","HOU","HOU03","muchm901","hudsm901","hamaa901",0,"",0,1,75,0,0,0,1,5,188,"gallz001","garcl007","crics001"
"HOU202009190","20200919",0,610,"T","N","ARI","HOU","HOU03","hudsm901","hamaa901","knigb901",0,"",0,1,73,0,0,0,1,5,157,"paree003","weavl001","presr001"
"HOU202009200","20200920",0,110,"T","D","ARI","HOU","HOU03","hamaa901","knigb901","muchm901",0,"",0,1,73,0,0,0,1,5,184,"taylb004","guerj003","presr001"
