"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"HOU202007240",1,0,0,0,"X","longs001","9/F",1
"HOU202007240",1,0,1,2,"CCBC","white005","K",2
"HOU202007240",1,0,0,0,"X","seagk001","31/G",3
"HOU202007240",1,1,3,2,"BBCCBS","sprig001","K",4
"HOU202007240",1,1,3,2,"BBBCCC","altuj001","K",5
"HOU202007240",1,1,3,1,"CBBBX","brega001","9/F",6
"HOU202007240",2,0,1,0,"BX","lewik001","HR/L78",7
"HOU202007240",2,0,0,0,"X","voged001","63/G",8
"HOU202007240",2,0,0,0,"X","nolaa002","7/F",9
"HOU202007240",2,0,1,2,"BSSS","marmj001","K",10
"HOU202007240",2,1,1,2,"TCBFX","branm003","8/F",11
"HOU202007240",2,1,1,1,"FBX","gurry001","9/F",12
"HOU202007240",2,1,3,2,"BSBCBFX","corrc001","8/F",13
"HOU202007240",3,0,0,2,"FFX","crawj002","31/G",14
"HOU202007240",3,0,3,2,"LCBBFBFFFS","smitm007","K",15
"HOU202007240",3,0,1,2,"FBFC","longs001","K",16
"HOU202007240",3,1,0,0,"X","reddj001","D8/L+",17
"HOU202007240",3,1,1,2,"BCCFX","diaza003","43/G.2-3",18
"HOU202007240",3,1,2,2,"SBSBFX","maldm001","S7/L+.3-H",19
"HOU202007240",3,1,3,1,"*BBBFB","sprig001","W.1-2",20
"HOU202007240",3,1,0,1,"*SX","altuj001","14(1)/FO/G.2-3;B-1",21
"HOU202007240",3,1,0,0,"X","brega001","7/F",22
"HOU202007240",4,0,3,1,"BCBBX","white005","9/F+",23
"HOU202007240",4,0,2,0,"BBX","seagk001","HR/F89",24
"HOU202007240",4,0,1,2,"BCSS","lewik001","K",25
"HOU202007240",4,0,0,0,"X","voged001","13/G",26
"HOU202007240",4,1,0,0,"X","branm003","S4/G",27
"HOU202007240",4,1,1,1,"BCX","gurry001","2/P/FL",28
"HOU202007240",4,1,0,1,"CX","corrc001","6/L",29
"HOU202007240",4,1,3,2,"BBFBC>X","reddj001","43/G",30
"HOU202007240",5,0,2,2,"CFFBBS","nolaa002","K",31
"HOU202007240",5,0,2,0,"BBX","marmj001","53/G+",32
"HOU202007240",5,0,3,2,"CFBBBB","crawj002","W",33
"HOU202007240",5,0,0,0,"1X","smitm007","43/G",34
"HOU202007240",5,1,1,0,"BX","diaza003","S7/L",35
"HOU202007240",5,1,0,2,"CF1X","maldm001","E5/TH/G.1-3;B-1",36
"HOU202007240",5,1,0,0,".X","sprig001","13/G.1-2",37
"HOU202007240",5,1,0,2,"CFX","altuj001","S6/G.3-H(UR);2-3",38
"HOU202007240",5,1,0,2,"..CCFF1X","brega001","S9/L.3-H;1-2",39
"HOU202007240",5,1,2,1,"CBBX","branm003","HR/F89.2-H;1-H",40
"HOU202007240",5,1,1,2,"BFFX","gurry001","53/G+",41
"HOU202007240",5,1,3,2,"SSBBBX","corrc001","4/P",42
"HOU202007240",6,0,1,2,"BFFX","longs001","S8/G+",43
"HOU202007240",6,0,0,2,"CSS","white005","K",44
"HOU202007240",6,0,3,2,"B11*BBCCX","seagk001","56(1)3/GDP/G",45
"HOU202007240",6,1,1,0,".BX","reddj001","31/G",46
"HOU202007240",6,1,1,1,".BFX","toroa001","D7/L+",47
"HOU202007240",6,1,3,2,"BF.BBCX","maldm001","S9/L.2-H",48
"HOU202007240",6,1,1,2,"SBFB","sprig001","WP.1-2",49
"HOU202007240",6,1,3,2,"SBFB.*BX","sprig001","2/P/FL",50
"HOU202007240",6,1,3,2,"C*SBBB*S","altuj001","K",51
"HOU202007240",7,0,2,2,"..BSBSS","lewik001","K",52
"HOU202007240",7,0,2,2,"BBCC*S","voged001","K",53
"HOU202007240",7,0,3,2,"BBBCCX","nolaa002","D7/L",54
"HOU202007240",7,0,3,2,"BBBCFS","marmj001","K",55
"HOU202007240",7,1,0,2,".CFX","brega001","43/G",56
"HOU202007240",7,1,3,0,"BBBB","branm003","W",57
"HOU202007240",7,1,1,0,"BX","gurry001","54(1)/FO/G.B-1",58
"HOU202007240",7,1,0,0,"X","corrc001","D6/F+.1-H",59
"HOU202007240",7,1,1,1,"*BSX","reddj001","43/G",60
"HOU202007240",8,0,1,0,".BX","crawj002","7/F",61
"HOU202007240",8,0,1,2,".BSFX","lopet001","63/G",62
"HOU202007240",8,0,2,0,"BBX","longs001","43/G",63
"HOU202007240",8,1,3,0,"..BBBB","toroa001","W",64
"HOU202007240",8,1,1,2,"CFBFS","maldm001","K",65
"HOU202007240",8,1,3,2,"CBBFBB","sprig001","W.1-2",66
"HOU202007240",8,1,0,2,".CFX","altuj001","8/F",67
"HOU202007240",8,1,1,2,"C2BFS","brega001","K",68
"HOU202007240",9,0,0,0,".X","white005","S5/G",69
"HOU202007240",9,0,3,2,"CBBBCX","seagk001","7/F",70
"HOU202007240",9,0,0,2,"SSX","lewik001","4/L",71
"HOU202007240",9,0,1,0,"B>B","voged001","DI.1-2",72
"HOU202007240",9,0,3,2,"B>B.FBFX","voged001","63/G",73
"HOU202007250",1,0,0,0,"X","longs001","31/G",1
"HOU202007250",1,0,3,2,"CCBBB*B","white005","W",2
"HOU202007250",1,0,2,1,"BCB1X","seagk001","D8/L+.1-3",3
"HOU202007250",1,0,3,1,"B*B.S*B*B","lewik001","W",4
"HOU202007250",1,0,0,0,"X","nolaa002","64(1)3/GDP/G+",5
"HOU202007250",1,1,2,2,"BBSFX","sprig001","3/P/FL",6
"HOU202007250",1,1,3,0,"BBBB","altuj001","W",7
"HOU202007250",1,1,1,2,"BCF1FFX","brega001","S7/L.1-2",8
"HOU202007250",1,1,3,2,"BBBCC>X","branm003","S9/L.2-H;1-3",9
"HOU202007250",1,1,1,1,"CBX","gurry001","64(1)3/GDP/G+",10
"HOU202007250",2,0,3,1,"CBBB*B","voged001","W",11
"HOU202007250",2,0,0,0,"X","gordd002","S8/L.1-2",12
"HOU202007250",2,0,1,1,"BCX","crawj002","46(1)3/GDP/G.2-3",13
"HOU202007250",2,0,0,1,"CX","smitm007","43/G",14
"HOU202007250",2,1,2,2,"FBBFC","corrc001","K",15
"HOU202007250",2,1,2,2,"FBFBX","reddj001","153/G",16
"HOU202007250",2,1,0,0,"X","tuckk001","43/G",17
"HOU202007250",3,0,2,2,"CSBBX","longs001","63/G",18
"HOU202007250",3,0,1,2,"BSCC","white005","K",19
"HOU202007250",3,0,2,2,"BBCSX","seagk001","31/G",20
"HOU202007250",3,1,1,1,"FBX","maldm001","S7/L.BX2(74)",21
"HOU202007250",3,1,0,0,"X","sprig001","7/L",22
"HOU202007250",3,1,0,2,"SFFFX","altuj001","S7/L",23
"HOU202007250",3,1,1,1,"BC1>B","brega001","SB2",24
"HOU202007250",3,1,3,1,"BC1>B.BX","brega001","6/P",25
"HOU202007250",4,0,2,2,"BBCSF*S","lewik001","K",26
"HOU202007250",4,0,3,2,"CBBCFFBX","nolaa002","S8/G+",27
"HOU202007250",4,0,3,2,"BCBCBS","voged001","K",28
"HOU202007250",4,0,0,0,"X","gordd002","53/G",29
"HOU202007250",4,1,2,0,"BBX","branm003","8/F",30
"HOU202007250",4,1,2,2,"BCCFBX","gurry001","HR/F78",31
"HOU202007250",4,1,3,1,"SBBBH","corrc001","HP",32
"HOU202007250",4,1,1,0,"BX","reddj001","S9/L.1-2",33
"HOU202007250",4,1,1,0,"BX","tuckk001","D9/G+.2-H;1-3",34
"HOU202007250",4,1,1,0,"..BX","maldm001","S7/L.3-H;2-H",35
"HOU202007250",4,1,1,0,"*BX","sprig001","64(1)3/GDP/G+",36
"HOU202007250",5,0,2,1,"BBCX","crawj002","T89/L+",37
"HOU202007250",5,0,1,1,"BCX","smitm007","63/G.3-H",38
"HOU202007250",5,0,1,2,"B*SCC","longs001","K",39
"HOU202007250",5,0,0,2,"SC*S","white005","K",40
"HOU202007250",5,1,3,2,"SSBBBB","altuj001","W",41
"HOU202007250",5,1,1,0,"B.X","brega001","4/P",42
"HOU202007250",5,1,2,2,"1BSF1BX","branm003","9/F",43
"HOU202007250",5,1,3,2,"BCBC*B>F>B","gurry001","W.1-2",44
"HOU202007250",5,1,3,2,".SSBBB>F>X","corrc001","S98/L.2-H;1-3",45
"HOU202007250",5,1,0,0,"..X","reddj001","53/G",46
"HOU202007250",6,0,2,2,"CBBSFS","seagk001","K",47
"HOU202007250",6,0,1,0,"BX","lewik001","HR/L9",48
"HOU202007250",6,0,2,1,"BBCX","nolaa002","13/G",49
"HOU202007250",6,0,0,2,"CFX","voged001","53/G",50
"HOU202007250",6,1,0,0,"X","tuckk001","7/F",51
"HOU202007250",6,1,2,2,"BFBFX","maldm001","9/F",52
"HOU202007250",6,1,2,1,"BBCX","sprig001","HR/L7",53
"HOU202007250",6,1,1,2,"SBSC","altuj001","K",54
"HOU202007250",7,0,0,1,".CX","gordd002","6/P",55
"HOU202007250",7,0,1,2,"CFBX","crawj002","S5/G-",56
"HOU202007250",7,0,3,2,"CBSBF*BFS","smitm007","K",57
"HOU202007250",7,0,1,0,"BX","longs001","7/F",58
"HOU202007250",7,1,2,1,".CBBX","brega001","53/G",59
"HOU202007250",7,1,3,2,"CSBFBBX","branm003","63/G",60
"HOU202007250",7,1,2,1,"CBBH","gurry001","HP",61
"HOU202007250",7,1,2,1,"B*BFX","corrc001","54(1)/FO/G.B-1",62
"HOU202007250",8,0,0,2,".CST","white005","K",63
"HOU202007250",8,0,1,1,"BCX","seagk001","DGR/L",64
"HOU202007250",8,0,1,2,"BCCS","lewik001","K",65
"HOU202007250",8,0,3,2,"CBBFBFFC","nolaa002","K",66
"HOU202007250",8,1,2,2,".FBBSX","reddj001","9/F",67
"HOU202007250",8,1,3,2,"BSBBCS","tuckk001","K",68
"HOU202007250",8,1,1,1,"BFX","maldm001","8/F",69
"HOU202007250",9,0,2,2,".CBBSFX","voged001","31/G",70
"HOU202007250",9,0,1,1,"SBX","gordd002","53/G-",71
"HOU202007250",9,0,3,2,"BBBCFX","crawj002","T9/L",72
"HOU202007250",9,0,0,0,".X","smitm007","43/G+",73
"HOU202007260",1,0,1,0,"BX","longs001","63/G6",1
"HOU202007260",1,0,1,1,"CBX","crawj002","43/G4D+",2
"HOU202007260",1,0,2,2,"CFBFBX","lewik001","S5/G56",3
"HOU202007260",1,0,1,0,"1BX","seagk001","D7/F78XD.1-H",4
"HOU202007260",1,0,1,2,"SBCX","white005","S7/G56+.2-H",5
"HOU202007260",1,0,0,1,"1CX","marmj001","8/F8XD",6
"HOU202007260",1,1,0,0,"X","sprig001","43/G6MD",7
"HOU202007260",1,1,3,0,"BBBB","altuj001","W",8
"HOU202007260",1,1,2,2,"C1BFFBC","branm003","K",9
"HOU202007260",1,1,1,0,"B1X","brega001","D7/F78D.1-H;BX3(7425)",10
"HOU202007260",2,0,0,2,"SCX","lopet001","31/G34",11
"HOU202007260",2,0,1,1,"BCX","smitm007","31/G34",12
"HOU202007260",2,0,1,0,"BX","hudsj002","4/P4MD",13
"HOU202007260",2,1,1,2,"CBCX","gurry001","13/G1S",14
"HOU202007260",2,1,0,1,"CX","corrc001","S9/L89S",15
"HOU202007260",2,1,2,2,"SBBFX","jonet005","64(1)3/GDP/G6MS+",16
"HOU202007260",3,0,0,2,"CSS","longs001","K",17
"HOU202007260",3,0,3,0,"BBBB","crawj002","W",18
"HOU202007260",3,0,2,2,"CBC*B11S","lewik001","K",19
"HOU202007260",3,0,3,1,"CBBBB","seagk001","W.1-2",20
"HOU202007260",3,0,3,2,".C*BSFB*B>X","white005","9/F9D",21
"HOU202007260",3,1,1,1,"BCX","reddj001","9/L9D",22
"HOU202007260",3,1,0,2,"SC*S","maldm001","K",23
"HOU202007260",3,1,2,2,"CBFBX","sprig001","5/L5+",24
"HOU202007260",4,0,1,1,"CBX","marmj001","9/F9D",25
"HOU202007260",4,0,2,1,".BSBX","lopet001","D8/L78XD",26
"HOU202007260",4,0,1,0,"..BX","smitm007","D9/L9LD.2-H",27
"HOU202007260",4,0,1,2,"CBSFC","hudsj002","K",28
"HOU202007260",4,0,2,0,"BBX","longs001","D7/L7LS.2-H",29
"HOU202007260",4,0,3,2,"BB.FCBX","crawj002","43/G34D+",30
"HOU202007260",4,1,3,2,"CBCFBBFB","altuj001","W",31
"HOU202007260",4,1,1,1,"BCX","branm003","S9/G34.1-2",32
"HOU202007260",4,1,3,1,"BBBCB","brega001","W.2-3;1-2",33
"HOU202007260",4,1,2,2,".*BFBCFX","gurry001","S7/L7D.3-H;2-3;1-2",34
"HOU202007260",4,1,1,2,"CFB.S","corrc001","K",35
"HOU202007260",4,1,0,2,"CSS","jonet005","K",36
"HOU202007260",4,1,3,0,"BB*BB","reddj001","W.3-H;2-3;1-2",37
"HOU202007260",4,1,1,0,"BX","maldm001","S7/G5.3-H;2-H;1-3",38
"HOU202007260",4,1,0,1,"..SH","sprig001","HP.1-2",39
"HOU202007260",4,1,1,2,"BCSX","altuj001","3/P3F/FL",40
"HOU202007260",5,0,3,1,".BCBBB","lewik001","W",41
"HOU202007260",5,0,0,0,"H","seagk001","HP.1-2",42
"HOU202007260",5,0,3,2,"BCFBBFX","white005","9/F3D",43
"HOU202007260",5,0,1,1,"BCX","marmj001","8/L8D",44
"HOU202007260",5,0,0,0,"H","lopet001","HP.2-3;1-2",45
"HOU202007260",5,0,1,0,".BX","smitm007","31/G34",46
"HOU202007260",5,1,2,2,".FFBBS","branm003","K",47
"HOU202007260",5,1,0,2,"CCS","brega001","K",48
"HOU202007260",5,1,2,1,"CBBX","gurry001","S8/G6M",49
"HOU202007260",5,1,3,1,"BB*BCB","corrc001","W.1-2",50
"HOU202007260",5,1,0,0,".X","toroa001","5/L56D",51
"HOU202007260",6,0,0,1,".CX","hudsj002","53/G56",52
"HOU202007260",6,0,3,2,"BFBCBS","longs001","K",53
"HOU202007260",6,0,3,0,"BBBB","crawj002","W",54
"HOU202007260",6,0,2,2,"..BBCFC","lewik001","K",55
"HOU202007260",6,1,1,0,".BX","reddj001","T8/L89XD+",56
"HOU202007260",6,1,2,2,"BF*BSS","maldm001","K",57
"HOU202007260",6,1,0,0,"X","sprig001","4/P4D",58
"HOU202007260",6,1,0,2,"CC*S","altuj001","K.BX1(23)",59
"HOU202007260",7,0,0,1,"CX","seagk001","3/L3",60
"HOU202007260",7,0,1,2,"CBCFT","white005","K",61
"HOU202007260",7,0,0,1,"CX","marmj001","7/L78D",62
"HOU202007260",7,1,2,0,".BBX","branm003","7/F78",63
"HOU202007260",7,1,0,2,"CSX","brega001","6/P6M",64
"HOU202007260",7,1,1,0,"BX","gurry001","13/G23-",65
"HOU202007260",8,0,0,1,".CX","lopet001","S8/G6M",66
"HOU202007260",8,0,0,2,"111MSS","smitm007","K",67
"HOU202007260",8,0,2,1,".1BBF>C","nolaa002","SB2",68
"HOU202007260",8,0,3,2,".1BBF>C.BB","nolaa002","W",69
"HOU202007260",8,0,1,1,"SBX","longs001","S9/G34+.2-H;1-3",70
"HOU202007260",8,0,3,2,"BF1BFB>X","crawj002","5/P5SF/FL",71
"HOU202007260",8,0,1,2,"CCBF>B","lewik001","SB2",72
"HOU202007260",8,0,2,2,"CCBF>B.X","lewik001","S9/L9S.3-H;2-H",73
"HOU202007260",8,0,2,2,"1CBFFBX","seagk001","163/G4M",74
"HOU202007260",8,1,1,2,"..BCCS","corrc001","K",75
"HOU202007260",8,1,0,1,"FX","toroa001","8/L8XD+",76
"HOU202007260",8,1,0,0,"X","reddj001","63/G4",77
"HOU202007260",9,0,1,0,".BX","white005","63/G6",78
"HOU202007260",9,0,0,0,"X","marmj001","S9/L9LD+.BX2(96)",79
"HOU202007260",9,0,3,2,"BSSBBX","lopet001","S8/L8",80
"HOU202007260",9,0,2,1,"FBBX","smitm007","3/G3S",81
"HOU202007260",9,1,2,2,"..BSBFFX","tuckk001","D8/L89XD+",82
"HOU202007260",9,1,2,2,"*BCCFBS","sprig001","K",83
"HOU202007260",9,1,3,2,"BCFBBS","altuj001","K",84
"HOU202007260",9,1,3,2,"CBBB.CX","branm003","DGR/L9LD.2-H",85
"HOU202007260",9,1,3,2,"..BFBBCS","brega001","K",86
"HOU202007270",1,0,0,2,"CSFS","longs001","K",1
"HOU202007270",1,0,3,0,"BBBB","crawj002","W",2
"HOU202007270",1,0,2,1,"CBBX","lewik001","S9/L9.1-2",3
"HOU202007270",1,0,2,1,"CBBX","seagk001","36(1)/FO/G3.2-3;B-1",4
"HOU202007270",1,0,2,2,"CS>FB1BFS","white005","K",5
"HOU202007270",1,1,3,2,"CBBBFS","sprig001","K",6
"HOU202007270",1,1,3,2,"CBCBBC","altuj001","K",7
"HOU202007270",1,1,2,2,"CFBBC","brega001","K",8
"HOU202007270",2,0,1,2,"CBSS","marmj001","K",9
"HOU202007270",2,0,2,2,"CBB.FH","nolaa002","HP",10
"HOU202007270",2,0,0,2,"CCB","lopet001","WP.1-2",11
"HOU202007270",2,0,1,2,"CCB.FS","lopet001","K",12
"HOU202007270",2,0,1,2,"CBFC","gordd002","K",13
"HOU202007270",2,1,1,1,"CBX","branm003","S8/G4",14
"HOU202007270",2,1,0,0,"X","gurry001","54(1)/FO/G56.B-1",15
"HOU202007270",2,1,0,0,"X","corrc001","S8/L8D+.1-2",16
"HOU202007270",2,1,3,2,"BBBCSX","reddj001","46(1)3/GDP/G34",17
"HOU202007270",3,0,3,2,"BCBBCB","longs001","W",18
"HOU202007270",3,0,0,0,"1>B","crawj002","SB2",19
"HOU202007270",3,0,3,1,"1>B.BSBB","crawj002","W",20
"HOU202007270",3,0,3,2,"BCBBCFB","lewik001","W.2-3;1-2",21
"HOU202007270",3,0,0,0,".X","seagk001","6(1)3/GDP/G4M.3-H(NR);2-3",22
"HOU202007270",3,0,1,2,"S*BCX","white005","HR/L78XD.3-H",23
"HOU202007270",3,0,2,1,"BCBX","marmj001","S8/G4M+",24
"HOU202007270",3,0,3,1,"BBC*BB","nolaa002","W.1-2",25
"HOU202007270",3,0,1,0,"*BX","lopet001","4/P34",26
"HOU202007270",3,1,1,1,"CBX","tuckk001","E5/G6S.B-1",27
"HOU202007270",3,1,1,1,"CB>B","garnd001","SB2",28
"HOU202007270",3,1,3,2,"CB>B.BFB","garnd001","W",29
"HOU202007270",3,1,2,2,"FBBFS","sprig001","K",30
"HOU202007270",3,1,3,2,"BBCFBFX","altuj001","D7/L7L+.2-H(UR);1-3",31
"HOU202007270",3,1,0,0,"X","brega001","HR/F7D.3-H;2-H",32
"HOU202007270",3,1,2,2,"CFBBS","branm003","K",33
"HOU202007270",3,1,0,1,"CX","gurry001","43/G6MS",34
"HOU202007270",4,0,0,1,".CX","gordd002","6/P6",35
"HOU202007270",4,0,1,0,"BX","longs001","43/G4D+",36
"HOU202007270",4,0,2,2,"BCFBS","crawj002","K",37
"HOU202007270",4,1,0,1,"CX","corrc001","8/F8XD",38
"HOU202007270",4,1,0,2,"CSC","reddj001","K",39
"HOU202007270",4,1,3,2,"BFSBBB","tuckk001","W",40
"HOU202007270",4,1,1,2,"1SB1SX","garnd001","T8/F78XD.1-H",41
"HOU202007270",4,1,1,2,"CCBS","sprig001","K",42
"HOU202007270",5,0,2,2,"CTBBFFS","lewik001","K",43
"HOU202007270",5,0,3,2,"CBFBFBX","seagk001","8/F8XD",44
"HOU202007270",5,0,0,2,"CFS","white005","K",45
"HOU202007270",5,1,1,2,"CCBX","altuj001","HR/L7LD",46
"HOU202007270",5,1,3,2,"CCBBFFBB","brega001","W",47
"HOU202007270",5,1,0,2,"..CFX","branm003","D9/L9L.1-H",48
"HOU202007270",5,1,1,1,"CBX","gurry001","8/L8XD.2-3",49
"HOU202007270",5,1,3,2,"BBC*BFB","corrc001","W",50
"HOU202007270",5,1,2,1,"BBSX","reddj001","D9/L9L.3-H;1-3",51
"HOU202007270",5,1,0,1,".SX","tuckk001","43/G34",52
"HOU202007270",5,1,1,1,"*BCX","garnd001","43/G4",53
