"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"KCA202007310","20200731",0,705,"T","N","CHA","KCA","KAN06","gibsh902","may-b901","fleta901",0,"",0,1,75,5,8,0,1,2,176,"keucd001","bubik001","coloa001"
"KCA202008010","20200801",0,605,"T","N","CHA","KCA","KAN06","may-b901","fleta901","iassd901",0,"",0,1,81,4,8,0,1,1,224,"fostm001","bolar001","heuec001"
"KCA202008020","20200802",0,105,"T","D","CHA","KCA","KAN06","fleta901","iassd901","gibsh902",0,"",0,1,76,4,9,0,1,2,181,"ceasd001","barls001",""
"KCA202008050","20200805",0,705,"T","N","CHN","KCA","KAN06","tosia901","barkl901","conrc901",0,"",0,1,78,8,9,0,1,1,189,"darvy001","bubik001",""
"KCA202008060","20200806",0,607,"T","N","CHN","KCA","KAN06","barkl901","conrc901","rackd901",0,"",0,1,84,8,10,0,1,2,182,"kellb003","chatt001",""
"KCA202008070","20200807",0,705,"T","N","MIN","KCA","KAN06","tumpj901","navaj901","nelsj901",0,"",0,1,84,8,10,0,1,2,173,"hollg001","wislm001","roset001"
"KCA202008080","20200808",0,605,"T","N","MIN","KCA","KAN06","navaj901","nelsj901","buckc901",0,"",0,1,81,8,10,0,1,2,235,"zubet001","thorl002","roset001"
"KCA202008090","20200809",0,105,"T","D","MIN","KCA","KAN06","nelsj901","buckc901","tumpj901",0,"",0,1,79,8,13,0,1,2,196,"singb001","berrj001","barls001"
"KCA202008191","20200819",1,405,"T","D","CIN","KCA","KAN06","tumpj901","clemp901","buckc901",0,"",0,1,83,7,7,0,1,2,131,"kellb003","castl003","roset001"
"KCA202008192","20200819",2,657,"T","N","CIN","KCA","KAN06","navaj901","buckc901","nelsj901",0,"",0,1,75,6,7,0,1,1,142,"bauet001","harvm001",""
"KCA202008210","20200821",0,705,"T","N","MIN","KCA","KAN06","rehaj901","hicke901","macka901",0,"",0,1,87,8,8,0,1,1,194,"duffd001","odorj001",""
"KCA202008220","20200822",0,605,"T","N","MIN","KCA","KAN06","hicke901","macka901","mealj901",0,"",0,1,91,8,8,0,1,1,203,"dobnr001","singb001",""
"KCA202008230","20200823",0,105,"T","D","MIN","KCA","KAN06","bakej902","mealj901","rehaj901",0,"",0,1,84,3,9,0,1,1,215,"clipt001","bubik001","roget001"
"KCA202008310","20200831",0,705,"T","N","CLE","KCA","KAN06","clemp901","macka901","rehaj901",0,"",0,1,77,7,9,0,1,2,191,"barls001","karij001","hollg001"
"KCA202009010","20200901",0,705,"T","N","CLE","KCA","KAN06","bakej902","rehaj901","hicke901",0,"",0,1,81,4,6,0,1,2,190,"plesz001","harvm001",""
"KCA202009020","20200902",0,705,"T","N","CLE","KCA","KAN06","rehaj901","hicke901","clemp901",0,"",0,1,81,4,5,0,1,1,149,"mcket001","junij001",""
"KCA202009030","20200903",0,705,"T","N","CHA","KCA","KAN06","lives901","reybd901","diazl901",0,"",0,1,79,5,11,0,1,1,198,"ceasd001","duffd001",""
"KCA202009040","20200904",0,705,"T","N","CHA","KCA","KAN06","reybd901","diazl901","blakr901",0,"",0,1,80,8,6,0,1,1,222,"heuec001","singb001","coloa001"
"KCA202009050","20200905",0,605,"T","N","CHA","KCA","KAN06","diazl901","blakr901","lives901",0,"",0,1,91,2,7,0,1,1,190,"gioll001","bubik001","coloa001"
