"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"KCA202007310",1,0,1,0,"BX","andet001","D7/L7L",1
"KCA202007310",1,0,3,0,"BBBB","moncy001","W",2
"KCA202007310",1,0,2,2,"BCBCX","abrej003","54(1)3/GDP/G56+.2-3",3
"KCA202007310",1,0,1,2,"CBFC","grany001","K",4
"KCA202007310",1,1,1,0,"BX","merrw001","9/F89XD",5
"KCA202007310",1,1,0,2,"CFX","mondr003","9/F9L",6
"KCA202007310",1,1,2,0,"BBX","peres002","53/G56S",7
"KCA202007310",2,0,1,1,"BFX","jimee001","E4/G6.B-1",8
"KCA202007310",2,0,0,2,"FFX","robel002","64(1)/FO/G6.B-1",9
"KCA202007310",2,0,1,2,"1BS11FH","mccaj001","HP.1-2",10
"KCA202007310",2,0,2,2,"BSCBX","engea001","HR/F7LD.2-H(UR);1-H",11
"KCA202007310",2,0,2,1,"CBBX","madrn001","43/G4M",12
"KCA202007310",2,0,1,2,"BFFX","andet001","S8/G6M",13
"KCA202007310",2,0,3,2,"BCBF1FB>X","moncy001","3/P23F/FL",14
"KCA202007310",2,1,2,2,"BBCCX","solej001","53/G56",15
"KCA202007310",2,1,3,2,"BBBCFX","franm004","53/G56S",16
"KCA202007310",2,1,0,1,"CX","mcbrr001","E6/G6.B-1",17
"KCA202007310",2,1,3,2,"BFBFB>X","gorda001","63/G6M+",18
"KCA202007310",3,0,1,2,"CSBS","abrej003","K",19
"KCA202007310",3,0,2,2,"CFBBS","grany001","K",20
"KCA202007310",3,0,1,0,"BX","jimee001","43/G4M",21
"KCA202007310",3,1,2,0,"BBX","starb001","63/G6D+",22
"KCA202007310",3,1,2,2,"CFBBFX","lopen001","S5/G6",23
"KCA202007310",3,1,2,0,"BBX","merrw001","9/F9D",24
"KCA202007310",3,1,3,1,"*BBSBX","mondr003","S6/G4M.1-2",25
"KCA202007310",3,1,0,1,"FX","peres002","S7/L7.2-H;1-2",26
"KCA202007310",3,1,1,1,"*BS>B","solej001","SB3",27
"KCA202007310",3,1,3,1,"*BS>B.BB","solej001","W.1-2",28
"KCA202007310",3,1,1,0,".BX","franm004","3/P34",29
"KCA202007310",4,0,3,2,"CFBFFFBBX","robel002","43/G4",30
"KCA202007310",4,0,2,2,"BFFBH","mccaj001","HP",31
"KCA202007310",4,0,1,0,"1BX","engea001","46(1)/FO/BP4MS.B-1",32
"KCA202007310",4,0,1,2,"1FFBX","madrn001","64(1)/FO/G6+.B-1",33
"KCA202007310",4,1,1,2,"BCSX","mcbrr001","D8/L89XD+",34
"KCA202007310",4,1,3,2,"*BBSF*BS","gorda001","K",35
"KCA202007310",4,1,1,2,"BLSFS","starb001","K",36
"KCA202007310",4,1,1,0,"*BX","lopen001","3/G3",37
"KCA202007310",5,0,2,2,".SBCBS","andet001","K",38
"KCA202007310",5,0,3,2,"CBSBBS","moncy001","K",39
"KCA202007310",5,0,3,2,"BCBFBB","abrej003","W",40
"KCA202007310",5,0,0,1,"CX","grany001","4/L34D+",41
"KCA202007310",5,1,3,2,"CBFFBBFX","merrw001","43/G4",42
"KCA202007310",5,1,0,0,"X","mondr003","43/G4MD",43
"KCA202007310",5,1,1,1,"CBX","peres002","S8/F8",44
"KCA202007310",5,1,0,0,"X","solej001","S8/L8.1-2",45
"KCA202007310",5,1,0,1,"CX","franm004","8/F8D",46
"KCA202007310",6,0,0,0,".X","jimee001","9/L9LD+",47
"KCA202007310",6,0,0,0,"X","robel002","8/F89+",48
"KCA202007310",6,0,3,2,"CBFBFBX","mccaj001","9/F9S",49
"KCA202007310",6,1,3,1,"BFBBX","mcbrr001","HR/L78XD",50
"KCA202007310",6,1,0,1,"CX","gorda001","63/G4M",51
"KCA202007310",6,1,2,2,"...BFSBX","cordf003","43/G4+",52
"KCA202007310",6,1,1,2,"BCCS","lopen001","K",53
"KCA202007310",7,0,0,2,"...SCS","engea001","K",54
"KCA202007310",7,0,0,2,"FFX","madrn001","E6/TH/G6MS.B-2",55
"KCA202007310",7,0,0,2,".CCFX","garcl004","S7/G56.2XH(72);B-2",56
"KCA202007310",7,0,0,1,"FB","moncy001","WP.2-3",57
"KCA202007310",7,0,2,2,"FB.*B.FX","moncy001","2/P2F/FL",58
"KCA202007310",7,1,0,0,".X","merrw001","8/F8S",59
"KCA202007310",7,1,1,2,"CFBS","mondr003","K",60
"KCA202007310",7,1,1,1,"CBX","peres002","S8/L8",61
"KCA202007310",7,1,0,0,"H","solej001","HP.1-2",62
"KCA202007310",7,1,0,2,"FFS","franm004","K",63
"KCA202007310",8,0,1,2,".BCSFFX","abrej003","8/F89D",64
"KCA202007310",8,0,2,2,"BBCCFX","grany001","8/L8XD",65
"KCA202007310",8,0,0,0,"X","jimee001","63/G6D",66
"KCA202007310",8,1,1,2,".CBFS","mcbrr001","K",67
"KCA202007310",8,1,2,2,"BSSFBX","gorda001","43/G4",68
"KCA202007310",8,1,1,0,"BX","cordf003","8/L8XD",69
"KCA202007310",9,0,0,2,".SFFX","robel002","43/G4D",70
"KCA202007310",9,0,3,2,"BBBCCX","mccaj001","63/G2",71
"KCA202007310",9,0,0,2,"FC*S","engea001","K.BX1(23)",72
"KCA202007310",9,1,3,2,"..CBFBFFBFFX","ohear001","3/G3",73
"KCA202007310",9,1,0,1,"FX","merrw001","13/BG1S",74
"KCA202007310",9,1,1,2,"BSSS","mondr003","K",75
"KCA202008010",1,0,1,0,"BX","robel002","63/G6D+",1
"KCA202008010",1,0,3,1,"BBBCB","moncy001","W",2
"KCA202008010",1,0,2,2,"BCF*BFX","abrej003","8/F89XD",3
"KCA202008010",1,0,1,0,"BX","grany001","S8/G6.1-3",4
"KCA202008010",1,0,3,0,"BBBB","encae001","W+WP.3-H(NR);1-2",5
"KCA202008010",1,0,1,0,"BX","jimee001","HR/L89XD.2-H;1-H",6
"KCA202008010",1,0,1,1,".BCX","garcl004","S8/G4M",7
"KCA202008010",1,0,2,1,"CBBX","engea001","7/F7S",8
"KCA202008010",1,1,1,1,"CBX","merrw001","S7/L78",9
"KCA202008010",1,1,3,2,"BBBCFX","solej001","9/F89XD",10
"KCA202008010",1,1,3,2,"SF*B*BB>S","peres002","K+CS2(24)/DP",11
"KCA202008010",2,0,0,2,"SSC","madrn001","K",12
"KCA202008010",2,0,0,0,"X","robel002","HR/L89XD",13
"KCA202008010",2,0,2,0,"BBX","moncy001","S8/L8",14
"KCA202008010",2,0,3,2,"1SBF11*B*BX","abrej003","63/G6S.1-2",15
"KCA202008010",2,0,1,2,"..CBCX","grany001","43/G4D",16
"KCA202008010",2,1,3,2,"BBCBFB","mcbrr001","W",17
"KCA202008010",2,1,1,2,"BCFX","franm004","4/P34",18
"KCA202008010",2,1,0,1,"SX","mondr003","D9/F9LD.1-3",19
"KCA202008010",2,1,0,2,"CSS","ohear001","K",20
"KCA202008010",2,1,3,0,"B*BBB","starb001","W",21
"KCA202008010",2,1,3,2,"CBBCB>X","lopen001","63/G6M",22
"KCA202008010",3,0,2,0,"BBX","encae001","S8/L8",23
"KCA202008010",3,0,2,0,"BBX","jimee001","S9/L89D+.1-3",24
"KCA202008010",3,0,3,1,"1BBSBX","garcl004","E3/G3S.1-2;B-1",25
"KCA202008010",3,0,0,0,"X","engea001","6/L6",26
