"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"KCA202007310",0,0,"bubik001",1,37
"KCA202007310",0,0,"zubet001",1,46
"KCA202007310",1,0,"keucd001",1,51
"KCA202007310",1,8,"starb001",8,51
"KCA202007310",0,1,"merrw001",9,53
"KCA202007310",0,8,"cordf003",11,53
"KCA202007310",0,0,"barls001",1,53
"KCA202007310",0,1,"andet001",6,55
"KCA202007310",1,1,"garcl004",11,58
"KCA202007310",0,0,"stauj001",1,63
"KCA202007310",1,0,"cordj001",1,66
"KCA202007310",0,0,"roset001",1,69
"KCA202007310",1,0,"marse001",1,72
"KCA202007310",1,9,"lopen001",4,72
"KCA202008010",0,0,"bolar001",1,15
"KCA202008010",0,0,"mccak002",1,34
"KCA202008010",1,0,"gonzg003",1,42
"KCA202008010",1,0,"cordj001",1,49
"KCA202008010",0,1,"merrw001",7,53
"KCA202008010",0,9,"lopen001",4,53
"KCA202008010",0,0,"newbj001",1,53
"KCA202008010",1,0,"fostm001",1,58
"KCA202008010",1,0,"fry-j001",1,64
"KCA202008010",1,0,"cishs001",1,72
"KCA202008010",1,0,"bumma001",1,82
"KCA202008010",0,0,"zimmk001",1,83
"KCA202008010",0,5,"encae001",10,89
"KCA202008010",0,0,"sparg001",1,90
"KCA202008010",1,4,"mcbrr001",10,93
"KCA202008010",1,5,"franm004",5,94
"KCA202008010",1,6,"mondr003",6,95
"KCA202008010",1,7,"ohear001",3,96
"KCA202008020",0,7,"mondr003",6,29
"KCA202008020",0,0,"junij001",1,31
"KCA202008020",0,0,"zubet001",1,41
"KCA202008020",0,0,"barls001",1,51
"KCA202008020",0,0,"hollg001",1,57
"KCA202008020",0,7,"delmn001",9,57
"KCA202008020",1,7,"engea001",12,60
"KCA202008020",1,0,"ceasd001",1,60
"KCA202008020",1,8,"philb002",8,62
"KCA202008020",0,4,"cordf003",9,63
"KCA202008020",0,8,"mcbrr001",11,63
"KCA202008020",0,5,"encae001",10,66
"KCA202008020",1,0,"bumma001",1,67
"KCA202008020",1,1,"merrw001",4,69
"KCA202008020",0,1,"mejie001",12,70
"KCA202008020",0,0,"sparg001",1,70
"KCA202008050",0,0,"bubik001",1,45
"KCA202008050",0,6,"boted002",4,46
"KCA202008050",1,6,"happi001",11,48
"KCA202008050",1,8,"hoern001",8,48
"KCA202008050",0,0,"barls001",1,51
"KCA202008050",0,0,"kenni001",1,57
"KCA202008050",1,0,"darvy001",1,59
"KCA202008050",1,5,"schwk001",7,59
"KCA202008050",1,6,"happi001",8,59
"KCA202008050",0,0,"speig001",1,64
"KCA202008050",1,0,"jeffj001",1,69
"KCA202008060",1,0,"chatt001",1,29
"KCA202008060",1,9,"happi001",8,41
"KCA202008060",1,8,"hoern001",4,41
"KCA202008060",1,5,"contw001",2,41
"KCA202008060",1,3,"baezj001",6,41
"KCA202008060",1,2,"rizza001",3,41
"KCA202008060",1,1,"bryak001",5,41
"KCA202008060",1,0,"unded001",1,52
"KCA202008060",0,0,"kellb003",1,53
"KCA202008060",0,8,"lopen001",4,59
"KCA202008060",0,5,"mondr003",6,59
"KCA202008060",0,4,"ohear001",3,59
"KCA202008060",0,3,"peres002",2,59
"KCA202008060",0,1,"merrw001",9,59
"KCA202008060",1,7,"carav001",10,62
"KCA202008060",1,9,"happi001",3,62
"KCA202008060",1,6,"heywj001",9,62
"KCA202008060",0,0,"zimmk001",1,66
"KCA202008060",1,6,"winkd001",1,69
"KCA202008060",0,6,"kimbc001",1,78
"KCA202008070",0,9,"heatn002",8,33
"KCA202008070",0,0,"junij001",1,38
"KCA202008070",1,0,"smeld001",1,42
"KCA202008070",0,0,"hollg001",1,52
"KCA202008070",0,0,"stauj001",1,55
"KCA202008070",1,0,"wislm001",1,56
"KCA202008070",1,0,"thiec001",1,64
"KCA202008070",1,4,"mcbrr001",3,66
"KCA202008070",0,4,"ohear001",11,69
"KCA202008070",0,0,"barls001",1,69
"KCA202008070",0,8,"adrie001",5,71
"KCA202008080",1,0,"odorj001",1,34
"KCA202008080",1,0,"thorl002",1,37
"KCA202008080",0,0,"duffd001",1,45
"KCA202008080",0,1,"merrw001",9,45
"KCA202008080",0,4,"ohear001",3,45
"KCA202008080",1,0,"stasc001",1,48
"KCA202008080",0,0,"zubet001",1,54
"KCA202008080",0,0,"hollg001",1,60
"KCA202008080",1,0,"alcaj001",1,64
"KCA202008080",0,0,"kenni001",1,73
"KCA202008080",0,0,"speig001",1,76
"KCA202008080",1,4,"cordf003",9,80
"KCA202008080",0,1,"merrw001",3,83
"KCA202008080",0,4,"mcbrr001",11,83
"KCA202008080",0,9,"adrie001",6,83
"KCA202008090",0,0,"singb001",1,48
"KCA202008090",1,0,"berrj001",1,54
"KCA202008090",0,0,"hollg001",1,56
"KCA202008090",1,0,"clipt001",1,60
"KCA202008090",0,1,"merrw001",8,64
"KCA202008090",0,2,"solej001",9,64
"KCA202008090",0,0,"stauj001",1,72
"KCA202008191",1,0,"castl003",1,33
"KCA202008191",1,4,"solej001",10,41
"KCA202008191",0,1,"merrw001",8,51
"KCA202008191",0,3,"dozih001",9,51
"KCA202008191",0,5,"ohear001",3,51
"KCA202008191",0,0,"kellb003",1,55
"KCA202008192",0,0,"harvm001",1,24
"KCA202008192",0,0,"hahnj001",1,36
"KCA202008192",0,0,"hollg001",1,40
"KCA202008192",1,5,"mousm001",4,43
"KCA202008192",0,2,"castn001",9,50
"KCA202008192",0,0,"speig001",1,50
"KCA202008192",1,2,"ervip001",11,52
"KCA202008192",0,0,"stauj001",1,55
"KCA202008210",1,0,"odorj001",1,33
"KCA202008210",0,0,"duffd001",1,44
"KCA202008210",0,0,"zubet001",1,52
"KCA202008210",1,0,"alcaj001",1,56
"KCA202008210",1,0,"littz001",1,60
"KCA202008210",1,5,"ohear001",3,60
"KCA202008210",0,1,"merrw001",8,63
"KCA202008210",0,3,"dozih001",9,63
"KCA202008210",0,5,"mcbrr001",11,63
"KCA202008210",0,0,"stauj001",1,63
"KCA202008210",1,0,"thiec001",1,69
"KCA202008210",1,7,"gorda001",7,69
"KCA202008210",0,7,"philb002",11,72
"KCA202008210",0,0,"zimmk001",1,72
"KCA202008210",0,9,"jeffr002",2,73
"KCA202008220",0,0,"singb001",1,32
"KCA202008220",0,0,"rosar002",1,44
"KCA202008220",1,0,"dobnr001",1,49
"KCA202008220",1,9,"gallc001",2,52
"KCA202008220",0,9,"ohear001",11,53
"KCA202008220",0,0,"hollg001",1,53
"KCA202008220",0,9,"avila001",2,55
"KCA202008220",0,0,"kenni001",1,60
"KCA202008220",1,9,"adrie001",12,61
"KCA202008220",1,0,"dufft001",1,61
"KCA202008220",1,0,"clipt001",1,69
"KCA202008230",1,0,"wislm001",1,27
"KCA202008230",0,0,"bubik001",1,36
"KCA202008230",0,0,"zubet001",1,44
"KCA202008230",1,0,"smeld001",1,46
"KCA202008230",0,0,"hollg001",1,51
"KCA202008230",1,0,"may-t001",1,54
"KCA202008230",1,0,"popps001",1,65
"KCA202008230",0,0,"hahnj001",1,70
"KCA202008230",1,0,"romos001",1,73
"KCA202008230",1,8,"starb001",8,73
"KCA202008230",1,9,"vilom001",2,74
"KCA202008230",0,8,"philb002",11,76
"KCA202008230",0,9,"mcbrr001",11,76
"KCA202008230",0,0,"barls001",1,76
"KCA202008230",1,0,"clipt001",1,82
"KCA202008230",1,4,"sanom001",3,82
"KCA202008230",1,6,"gonzm002",5,82
"KCA202008310",0,0,"kellb003",1,47
"KCA202008310",1,0,"biebs001",1,50
"KCA202008310",1,6,"gorda001",7,51
"KCA202008310",1,9,"gallc001",2,53
"KCA202008310",1,0,"matop002",1,54
"KCA202008310",0,1,"merrw001",8,55
"KCA202008310",0,6,"starb001",12,55
"KCA202008310",0,9,"mcbrr001",11,55
"KCA202008310",0,0,"hahnj001",1,55
"KCA202008310",1,0,"wittn001",1,60
"KCA202008310",1,0,"karij001",1,64
"KCA202008310",0,0,"barls001",1,67
"KCA202008310",0,5,"reyef001",10,69
"KCA202008310",0,7,"luplj001",7,70
"KCA202009010",0,0,"harvm001",1,15
"KCA202009010",0,0,"hernc006",1,43
"KCA202009010",0,0,"adamc002",1,55
"KCA202009010",1,0,"plesz001",1,59
"KCA202009010",1,0,"leond003",1,69
"KCA202009010",1,8,"perer003",2,69
"KCA202009010",1,7,"naylj001",7,69
"KCA202009010",1,4,"santc002",3,69
"KCA202009010",1,2,"ramij003",5,69
"KCA202009010",0,0,"rosar002",1,73
"KCA202009020",1,8,"perer003",2,17
"KCA202009020",0,0,"junij001",1,28
