"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"LAN202007230","20200723",0,708,"T","N","SFN","LAN","LOS03","millb901","mosce901","eddid901",0,"",0,1,70,2,8,0,1,1,176,"kolaa001","roget002",""
"LAN202007240","20200724",0,640,"T","N","SFN","LAN","LOS03","mosce901","eddid901","drakr901",0,"",0,1,72,2,8,0,1,1,175,"strir001","andet002",""
"LAN202007250","20200725",0,110,"T","D","SFN","LAN","LOS03","eddid901","drakr901","millb901",0,"",0,1,81,4,6,0,1,1,196,"barac001","wooda002","gottt001"
"LAN202007260","20200726",0,708,"T","N","SFN","LAN","LOS03","drakr901","millb901","mosce901",0,"",0,1,72,3,6,0,1,1,208,"peraw002","gratb002","gottt001"
"LAN202008070","20200807",0,640,"T","N","SFN","LAN","LOS03","reynj901","barrl901","hamaa901",0,"",0,1,75,0,6,0,1,1,196,"flord002","samaj001",""
"LAN202008080","20200808",0,610,"T","N","SFN","LAN","LOS03","barrl901","hamaa901","libkj901",0,"",0,1,76,0,8,0,1,1,174,"cuetj001","kersc001","gottt001"
"LAN202008090","20200809",0,110,"T","D","SFN","LAN","LOS03","hamaa901","libkj901","reynj901",0,"",0,1,82,3,4,0,1,1,161,"mcgej001","roget002",""
"LAN202008100","20200810",0,640,"T","N","SDN","LAN","LOS03","libkj901","reynj901","barrl901",0,"",0,1,72,2,10,0,1,1,176,"quanc001","may-d003","pomed001"
"LAN202008110","20200811",0,640,"T","N","SDN","LAN","LOS03","reynj901","barrl901","hamaa901",0,"",0,1,75,0,5,0,1,1,182,"richg002","strir001","pomed001"
"LAN202008120","20200812",0,640,"T","N","SDN","LAN","LOS03","barrl901","hamaa901","libkj901",0,"",0,1,79,0,5,0,1,1,172,"treib001","daviz001",""
"LAN202008130","20200813",0,640,"T","N","SDN","LAN","LOS03","hamaa901","libkj901","reynj901",0,"",0,1,84,2,6,0,1,1,165,"uriaj001","paddc001",""
"LAN202008170","20200817",0,640,"T","N","SEA","LAN","LOS03","wolcq901","mahrn901","rippm901",0,"",0,1,84,0,1,0,1,1,212,"fergc001","magim001","jansk001"
"LAN202008180","20200818",0,410,"T","D","SEA","LAN","LOS03","mahrn901","rippm901","johna901",0,"",0,1,102,2,3,0,1,1,158,"treib001","altad001",""
"LAN202008210","20200821",0,640,"T","N","COL","LAN","LOS03","drakr901","eddid901","millb901",0,"",0,1,88,0,3,0,1,2,155,"buehw001","grayj003",""
"LAN202008220","20200822",0,610,"T","N","COL","LAN","LOS03","eddid901","millb901","mosce901",0,"",0,1,89,4,8,0,1,1,185,"jansk001","bardd001",""
"LAN202008230","20200823",0,110,"T","D","COL","LAN","LOS03","millb901","mosce901","drakr901",0,"",0,1,91,2,5,0,1,1,178,"gonzv001","senza001",""
"LAN202009010","20200901",0,640,"T","N","ARI","LAN","LOS03","blasc901","marqa901","moorm901",0,"",0,1,71,2,7,0,1,1,166,"uriaj001","youna002","jansk001"
"LAN202009020","20200902",0,640,"T","N","ARI","LAN","LOS03","marqa901","moorm901","woodt901",0,"",0,1,73,0,6,0,1,1,191,"jansk001","guerj003",""
"LAN202009030","20200903",0,640,"T","N","ARI","LAN","LOS03","moorm901","woodt901","blasc901",0,"",0,1,75,2,7,0,1,1,178,"kersc001","weavl001",""
"LAN202009040","20200904",0,640,"T","N","COL","LAN","LOS03","morag901","marqa901","moorm901",0,"",0,1,80,2,7,0,1,1,206,"fergc001","estec001",""
"LAN202009050","20200905",0,610,"T","N","COL","LAN","LOS03","marqa901","moorm901","hamaa901",0,"",0,1,101,4,5,0,1,1,165,"almoy001","treib001","bardd001"
"LAN202009060","20200906",0,710,"T","N","COL","LAN","LOS03","moorm901","hamaa901","morag901",0,"",0,1,93,0,1,0,1,1,223,"almoy001","fergc001","bardd001"
"LAN202009120","20200912",0,507,"T","N","HOU","LAN","LOS03","johna901","barrt901","rippm901",0,"",0,1,79,2,6,0,1,2,195,"jamej002","jansk001","presr001"
"LAN202009130","20200913",0,508,"T","N","HOU","LAN","LOS03","barrt901","rippm901","wolcq901",0,"",0,1,80,4,5,0,1,1,172,"gonzv001","greiz001",""
"LAN202009220","20200922",0,640,"T","N","OAK","LAN","LOS03","blasc901","marqa901","morag901",0,"",0,1,73,3,6,0,1,1,198,"may-d003","montf001",""
"LAN202009230","20200923",0,640,"T","N","OAK","LAN","LOS03","marqa901","morag901","guccc901",0,"",0,1,76,4,5,0,1,1,172,"diekj001","treib001","hendl001"
"LAN202009240","20200924",0,640,"T","N","OAK","LAN","LOS03","morag901","guccc901","blasc901",0,"",0,1,77,2,6,0,1,1,170,"flord002","fierm001",""
"LAN202009250","20200925",0,640,"T","N","ANA","LAN","LOS03","guccc901","blasc901","morag901",0,"",0,1,75,3,4,0,1,1,222,"gratb002","andrm001",""
"LAN202009260","20200926",0,610,"T","N","ANA","LAN","LOS03","blasc901","moorm901","marqa901",0,"",0,1,73,3,6,0,1,1,199,"gonst001","roblh001","kolaa001"
"LAN202009270","20200927",0,1210,"T","D","ANA","LAN","LOS03","moorm901","marqa901","morag901",0,"",0,1,79,2,2,0,1,1,174,"may-d003","sandp002",""
