"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"LAN202007230",1,0,0,0,"X","yastm001","E6/G+.B-1",1
"LAN202007230",1,0,0,2,"CSX","florw001","9/F",2
"LAN202007230",1,0,0,1,"CX","sandp001","S5/G.1X2(5)",3
"LAN202007230",1,0,2,1,"BBSX","dicka001","S6/G.1-2",4
"LAN202007230",1,0,0,1,"CX","pench001","13/G-",5
"LAN202007230",1,1,2,1,"BBCX","muncm001","7/F",6
"LAN202007230",1,1,1,2,"CFB*S","bettm001","K",7
"LAN202007230",1,1,2,2,"FBCBX","bellc002","7/F/FL",8
"LAN202007230",2,0,2,2,"BFBSFS","mccaj002","K",9
"LAN202007230",2,0,0,0,"X","dubom001","53/G",10
"LAN202007230",2,0,0,2,"SFX","crawb001","53/G",11
"LAN202007230",2,1,0,0,"H","turnj001","HP",12
"LAN202007230",2,1,1,0,"BX","seagc001","3(B)6(1)/GDP/G",13
"LAN202007230",2,1,2,1,"BBSX","herne001","S9/F",14
"LAN202007230",2,1,1,0,"BX","pedej001","43/G",15
"LAN202007230",3,0,0,1,"FX","heint001","S6/BG",16
"LAN202007230",3,0,3,2,"CLFBB*BX","yastm001","S9/L.1-2",17
"LAN202007230",3,0,0,0,"X","florw001","S8/L.2-3;1-2",18
"LAN202007230",3,0,0,1,"FX","sandp001","7/SF/F.3-H",19
"LAN202007230",3,0,1,2,"BFCS","dicka001","K",20
"LAN202007230",3,0,1,0,"BX","pench001","53/G",21
"LAN202007230",3,1,2,2,"BCSBC","polla001","K",22
"LAN202007230",3,1,3,2,"BBBCCS","barna001","K",23
"LAN202007230",3,1,1,1,"BCX","muncm001","D8/L",24
"LAN202007230",3,1,1,0,"BX","bettm001","53/G",25
"LAN202007230",4,0,1,0,"BX","mccaj002","8/F",26
"LAN202007230",4,0,0,2,"CFS","dubom001","K",27
"LAN202007230",4,0,1,2,"CSBX","crawb001","13/G",28
"LAN202007230",4,1,1,1,"CBX","bellc002","43/G",29
"LAN202007230",4,1,1,2,"CCBX","turnj001","53/G",30
"LAN202007230",4,1,1,1,"BFX","seagc001","D7/L+",31
"LAN202007230",4,1,1,0,"BX","herne001","S7/F.2-H",32
"LAN202007230",4,1,2,1,"*BBCX","pedej001","S9/L.1-3",33
"LAN202007230",4,1,3,2,"1*BSBBF>B","polla001","W.1-2",34
"LAN202007230",4,1,1,1,"BFX","barna001","5(2)/FO/G.B-1",35
"LAN202007230",5,0,2,2,"CBFFBX","heint001","S9/L+",36
"LAN202007230",5,0,0,0,"X","yastm001","S9/F.1-3",37
"LAN202007230",5,0,1,2,"FBCC","florw001","K",38
"LAN202007230",5,0,1,2,"..BSSFX","sandp001","14(1)/FO/G/DP.3XH(45);B-1",39
"LAN202007230",5,1,2,2,".CBBFFC","muncm001","K",40
