"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"LAN202007230",0,0,"may-d003",1,38
"LAN202007230",1,0,"cuetj001",1,39
"LAN202007230",0,0,"fergc001",1,44
"LAN202007230",1,0,"smyld001",1,47
"LAN202007230",0,0,"baezp001",1,52
"LAN202007230",0,8,"crawb001",6,52
"LAN202007230",1,7,"dubom001",4,54
"LAN202007230",1,8,"solad001",11,54
"LAN202007230",1,0,"garcr006",1,54
"LAN202007230",1,0,"roget002",1,60
"LAN202007230",1,0,"jimed002",1,68
"LAN202007230",1,7,"pedej001",7,72
"LAN202007230",0,7,"taylc001",11,73
"LAN202007230",0,0,"kolaa001",1,73
"LAN202007240",1,0,"andet002",1,18
"LAN202007240",1,0,"garcr006",1,25
"LAN202007240",1,0,"gausk001",1,57
"LAN202007240",1,0,"coons001",1,64
"LAN202007240",0,0,"strir001",1,65
"LAN202007240",1,3,"turnj001",5,70
"LAN202007240",1,8,"pedej001",10,74
"LAN202007240",0,3,"riose001",12,77
"LAN202007240",0,4,"bellc002",8,77
"LAN202007240",0,0,"mcgej001",1,77
"LAN202007250",0,0,"wooda002",1,30
"LAN202007250",1,0,"webbl001",1,44
"LAN202007250",0,0,"santd003",1,46
"LAN202007250",0,0,"kellj001",1,53
"LAN202007250",1,0,"barac001",1,56
"LAN202007250",1,9,"barna001",2,59
"LAN202007250",0,9,"riose001",11,60
"LAN202007250",0,0,"treib001",1,60
"LAN202007250",1,1,"slata001",7,64
"LAN202007250",1,6,"yastm001",8,64
"LAN202007250",1,8,"dubom001",6,64
"LAN202007250",1,0,"andes002",1,64
"LAN202007250",1,0,"watst001",1,69
"LAN202007250",0,0,"mcgej001",1,72
"LAN202007250",1,4,"ruf-d001",3,75
"LAN202007250",1,0,"roget002",1,75
"LAN202007260",1,0,"smyld001",1,34
"LAN202007260",1,0,"andes002",1,42
"LAN202007260",0,0,"uriaj001",1,45
"LAN202007260",0,7,"davij008",9,47
"LAN202007260",0,0,"gratb002",1,48
"LAN202007260",1,1,"yastm001",7,51
"LAN202007260",1,3,"ruf-d001",3,51
"LAN202007260",1,7,"sandp001",11,51
"LAN202007260",1,0,"peraw002",1,52
"LAN202007260",0,0,"kolaa001",1,55
"LAN202007260",1,0,"garcr006",1,61
"LAN202007260",0,0,"baezp001",1,64
"LAN202007260",1,0,"coons001",1,67
"LAN202007260",0,0,"alexs001",1,73
"LAN202007260",1,3,"ruf-d001",7,76
"LAN202007260",1,0,"roget002",1,76
"LAN202008070",0,5,"seagc001",6,19
"LAN202008070",0,7,"taylc001",4,19
"LAN202008070",0,0,"uriaj001",1,37
"LAN202008070",1,0,"samaj001",1,44
"LAN202008070",0,0,"flord002",1,47
"LAN202008070",0,9,"dubom001",6,57
"LAN202008070",0,1,"slata001",9,58
"LAN202008070",0,0,"santd003",1,58
"LAN202008070",1,1,"dicka001",11,60
"LAN202008070",1,9,"sandp001",11,60
"LAN202008070",1,0,"selms001",1,60
"LAN202008070",0,0,"alexs001",1,65
"LAN202008070",1,0,"garcr006",1,69
"LAN202008070",1,1,"pedej001",7,71
"LAN202008070",0,1,"polla001",11,74
"LAN202008070",0,0,"kellj001",1,74
"LAN202008080",0,0,"kersc001",1,34
"LAN202008080",1,0,"cuetj001",1,50
"LAN202008080",0,0,"gratb002",1,51
"LAN202008080",1,0,"watst001",1,55
"LAN202008080",0,0,"flord002",1,58
"LAN202008080",0,6,"pench001",7,58
"LAN202008080",1,3,"yastm001",8,61
"LAN202008080",1,6,"sandp001",11,61
"LAN202008080",1,9,"dubom001",6,61
"LAN202008080",1,9,"barna001",2,61
"LAN202008080",0,9,"beatm001",11,64
"LAN202008080",0,0,"baezp001",1,64
"LAN202008080",1,5,"florw001",3,68
"LAN202008080",1,0,"roget002",1,68
"LAN202008090",0,0,"buehw001",1,42
"LAN202008090",0,0,"fergc001",1,48
"LAN202008090",1,0,"gausk001",1,51
"LAN202008090",1,0,"roget002",1,54
"LAN202008090",1,7,"beatm001",3,54
"LAN202008090",0,5,"muncm001",4,55
"LAN202008090",0,7,"taylc001",11,55
"LAN202008090",0,9,"herne001",6,55
"LAN202008090",0,2,"dicka001",7,56
"LAN202008090",0,0,"mcgej001",1,57
"LAN202008090",1,1,"yastm001",8,59
"LAN202008090",1,2,"florw001",11,59
"LAN202008090",1,4,"beltb001",3,59
"LAN202008090",1,0,"barac001",1,62
"LAN202008090",0,0,"treib001",1,65
"LAN202008100",1,0,"perdl002",1,12
"LAN202008100",1,0,"stram001",1,26
"LAN202008100",0,0,"may-d003",1,47
"LAN202008100",0,0,"fergc001",1,50
"LAN202008100",1,0,"quanc001",1,51
"LAN202008100",1,0,"stamc001",1,61
"LAN202008100",0,0,"treib001",1,64
"LAN202008100",1,0,"pagae001",1,67
"LAN202008100",1,7,"beatm001",10,69
"LAN202008110",0,0,"strir001",1,39
"LAN202008110",0,0,"kolaa001",1,54
"LAN202008110",1,0,"richg002",1,55
"LAN202008110",1,0,"johnp001",1,63
"LAN202008110",1,1,"pedej001",7,63
"LAN202008110",1,0,"hillt002",1,67
"LAN202008110",0,1,"smitw003",11,68
