"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"MIA202008052","20200805",2,333,"T","D","BAL","MIA","BAL12","gonzm901","segac901","kulpr901",0,"",0,1,87,3,3,0,1,2,126,"morab001","wojca001","tarps001"
"MIA202008060","20200806",0,735,"T","N","BAL","MIA","BAL12","segac901","kulpr901","ticht901",0,"",0,1,79,1,9,0,1,3,178,"morim002","phile001","kintb001"
"MIA202008140","20200814",0,710,"T","N","ATL","MIA","MIA02","estam901","carlm901","hoyej901",0,"",0,1,76,0,0,0,1,5,179,"lopep002","wrigk001",""
"MIA202008150","20200815",0,610,"T","N","ATL","MIA","MIA02","carlm901","hoyej901","ortir901",0,"",0,1,78,0,0,0,1,5,179,"smitw002","kintb001","melam001"
"MIA202008160","20200816",0,110,"T","D","ATL","MIA","MIA02","hoyej901","ortir901","estam901",0,"",0,1,76,0,0,0,1,5,178,"odayd001","vincn001",""
"MIA202008170","20200817",0,710,"T","N","NYN","MIA","MIA02","barbs901","wegnm901","roser901",0,"",0,1,76,0,0,0,1,5,235,"shrec001","yamaj001","kilof001"
"MIA202008180","20200818",0,710,"T","N","NYN","MIA","MIA02","wegnm901","roser901","porta901",0,"",0,1,70,0,0,0,1,5,200,"wilsj004","mejih001",""
"MIA202008190","20200819",0,710,"T","N","NYN","MIA","MIA02","roser901","porta901","barbs901",0,"",0,1,77,0,0,0,1,5,194,"diaze006","kintb001",""
"MIA202008222","20200822",2,750,"T","N","WAS","MIA","WAS11","gonzm901","dejer901","kulpr901",0,"",0,1,81,8,2,0,1,2,151,"sancs001","croww001","kintb001"
"MIA202008252","20200825",2,942,"T","N","NYN","MIA","NYC20","fairc901","viscj901","nauep901",0,"",0,1,80,6,13,0,1,2,144,"smitj004","hughj001","vincn001"
"MIA202008280","20200828",0,710,"T","N","TBA","MIA","MIA02","nauep901","torrc901","roser901",0,"",0,1,73,0,0,0,1,5,175,"fairp001","bleir001","castd002"
"MIA202008290","20200829",0,610,"T","N","TBA","MIA","MIA02","torrc901","roser901","viscj901",0,"",0,1,73,0,0,0,1,5,167,"flemj001","lopep002",""
"MIA202008300","20200830",0,110,"T","D","TBA","MIA","MIA02","roser901","viscj901","nauep901",0,"",0,1,73,0,0,0,1,5,206,"snelb001","alcas001",""
"MIA202009010","20200901",0,640,"T","N","TOR","MIA","MIA02","porta901","wegnm901","fostm901",0,"",0,1,75,0,0,0,1,5,160,"hoytj001","yamas001","kintb001"
"MIA202009020","20200902",0,640,"T","N","TOR","MIA","MIA02","wegnm901","fostm901","barbs901",0,"",0,1,75,0,0,0,1,5,157,"ryu-h001","sancs001","bassa001"
"MIA202009100","20200910",0,640,"T","N","PHI","MIA","MIA02","roser901","westj901","wendh902",0,"",0,1,74,0,0,0,1,5,206,"garcy001","workb001",""
"MIA202009111","20200911",1,510,"T","N","PHI","MIA","MIA02","westj901","arrid901","sches901",0,"",0,1,77,0,0,0,1,5,153,"nolaa001","roget003",""
"MIA202009112","20200911",2,830,"T","N","PHI","MIA","MIA02","wendh902","sches901","roser901",0,"",0,1,74,0,0,0,1,5,161,"hoytj001","suarr001","garcy001"
"MIA202009120","20200912",0,610,"T","N","PHI","MIA","MIA02","arrid901","roser901","sches901",0,"",0,1,77,0,0,0,1,5,223,"hembh001","urenj001",""
"MIA202009131","20200913",1,110,"T","D","PHI","MIA","MIA02","westj901","wendh902","roser901",0,"",0,1,74,0,0,0,1,5,121,"sancs001","rossr003",""
"MIA202009132","20200913",2,355,"T","D","PHI","MIA","MIA02","sches901","roser901","arrid901",0,"",0,1,74,0,0,0,1,5,142,"garrb001","efliz001",""
"MIA202009140","20200914",0,410,"T","D","PHI","MIA","MIA02","roser901","wendh902","sches901",0,"",0,1,74,0,0,0,1,5,167,"lopep002","velav001",""
"MIA202009150","20200915",0,640,"T","N","BOS","MIA","MIA02","fleta901","viscj901","arrid901",0,"",0,1,75,0,0,0,1,5,185,"houct001","alcas001","barnm001"
"MIA202009160","20200916",0,640,"T","N","BOS","MIA","MIA02","viscj901","arrid901","valej901",0,"",0,1,72,0,0,0,1,5,215,"garcy001","kickm001",""
"MIA202009170","20200917",0,110,"T","D","BOS","MIA","MIA02","sches901","fleta901","viscj901",0,"",0,1,74,0,0,0,1,5,189,"eovan001","urenj001","barnm001"
"MIA202009181","20200918",1,510,"T","N","WAS","MIA","MIA02","westj901","arrid901","valej901",0,"",0,1,72,0,0,0,1,5,135,"fedde001","sancs001",""
"MIA202009182","20200918",2,810,"T","N","WAS","MIA","MIA02","carav901","valej901","sches901",0,"",0,1,74,0,0,0,1,5,174,"garcy001","croww001",""
"MIA202009190","20200919",0,610,"T","N","WAS","MIA","MIA02","valej901","arrid901","carav901",0,"",0,1,74,0,0,0,1,5,186,"lopep002","corbp001",""
"MIA202009201","20200920",1,110,"T","D","WAS","MIA","MIA02","westj901","sches901","carav901",0,"",0,1,72,0,0,0,1,5,157,"alcas001","schem001","kintb001"
"MIA202009202","20200920",2,436,"T","D","WAS","MIA","MIA02","arrid901","carav901","valej901",0,"",0,1,72,0,0,0,1,5,174,"brayb002","garrb001",""
