"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"MIA202008052",1,0,0,1,"FX","albeh001","53/G56",1
"MIA202008052",1,0,3,2,"CBFFFBBS","santa003","K",2
"MIA202008052",1,0,1,2,"CBFX","iglej001","4/P6M",3
"MIA202008052",1,1,3,0,"BBBB","villj001","W",4
"MIA202008052",1,1,0,0,"X","bertj001","D7/L7LD.1-3",5
"MIA202008052",1,1,0,2,"SSS","dickc002","K",6
"MIA202008052",1,1,0,1,"FX","aguij001","9/SF/L9D.3-H;2-3",7
"MIA202008052",1,1,1,1,"SBX","andeb006","S8/G4.3-H",8
"MIA202008052",1,1,0,1,"CX","joycm001","7/F7D",9
"MIA202008052",2,0,2,2,"BSBFFFX","nuner001","S8/G4M",10
"MIA202008052",2,0,0,1,"SX","sevep001","7/F7LD",11
"MIA202008052",2,0,3,0,"B*BBB","stewd002","W.1-2",12
"MIA202008052",2,0,1,1,"CBX","valap001","7/L7",13
"MIA202008052",2,0,0,1,"FX","velaa001","7/F78S",14
"MIA202008052",2,1,0,0,"X","lavar001","8/F89",15
"MIA202008052",2,1,1,2,"CCBX","alvae001","31/G34",16
"MIA202008052",2,1,1,0,"BX","sierm002","3/G34",17
"MIA202008052",3,0,2,1,".BBCX","mullc002","43/G4D",18
"MIA202008052",3,0,1,1,"BFX","albeh001","8/F89XD",19
"MIA202008052",3,0,2,1,"BBSX","santa003","53/G56S-",20
"MIA202008052",3,1,2,0,"BBX","villj001","5/P5DF/FL",21
"MIA202008052",3,1,1,2,"CBCX","bertj001","53/G56+",22
"MIA202008052",3,1,1,2,"CSBC","dickc002","K",23
"MIA202008052",4,0,0,1,"CX","iglej001","D7/L7L+",24
"MIA202008052",4,0,3,2,"FB2CB*BFC","nuner001","K",25
"MIA202008052",4,0,0,0,"X","sevep001","13/G1S-",26
"MIA202008052",4,0,0,2,"...FCS","haysa001","K",27
"MIA202008052",4,1,2,0,"..BBX","aguij001","3/P3SF/FL",28
"MIA202008052",4,1,1,2,"BFFT","andeb006","K",29
"MIA202008052",4,1,2,2,"CFBFFFBX","joycm001","8/F8XD",30
"MIA202008052",5,0,3,0,"BBBB","valap001","W",31
"MIA202008052",5,0,1,2,"LSFBS","velaa001","K",32
"MIA202008052",5,0,3,2,"BBBCSFS","mullc002","K",33
"MIA202008052",5,0,3,2,"..BSF*BB>S","albeh001","K",34
"MIA202008052",5,1,2,0,"BBX","lavar001","S7/L78",35
"MIA202008052",5,1,3,2,"FBBBFS","alvae001","K",36
"MIA202008052",5,1,0,0,"X","sierm002","8/L78D",37
"MIA202008052",5,1,3,2,"CBBFB>X","villj001","S9/L89.1-3",38
"MIA202008052",5,1,0,0,"1>B","bertj001","SB2",39
"MIA202008052",5,1,1,1,"1>B.FX","bertj001","53/G56",40
"MIA202008052",6,0,0,0,"X","santa003","S7/L7LS",41
"MIA202008052",6,0,0,0,"X","iglej001","3/P3SF/FL",42
"MIA202008052",6,0,1,2,"BCF*S","nuner001","K",43
"MIA202008052",6,0,3,2,"..BFS*BB>*B","sevep001","W.1-2",44
"MIA202008052",6,0,2,2,"..FBFBX","haysa001","S57/G56+.2-H;1-2",45
"MIA202008052",6,0,2,2,"*BF*SBX","valap001","9/F9D",46
"MIA202008052",6,1,0,0,".X","dickc002","43/G34",47
"MIA202008052",6,1,2,2,"BCSBFX","aguij001","13/G6MS",48
"MIA202008052",6,1,0,0,"X","andeb006","53/G5+",49
"MIA202008052",7,0,3,1,"..BBCBB","velaa001","W",50
"MIA202008052",7,0,0,0,"..X","holab001","64(1)3/GDP/G6+",51
"MIA202008052",7,0,0,1,"FX","albeh001","9/F9L",52
"MIA202008060",1,0,1,2,"FBFFX","albeh001","D7/L7L",1
"MIA202008060",1,0,1,2,"FBCFS","santa003","K",2
"MIA202008060",1,0,1,2,"CF*BF*S","iglej001","K",3
"MIA202008060",1,0,2,2,"CBFBS","smitd007","K",4
"MIA202008060",1,1,0,0,"X","villj001","HR/L7D",5
"MIA202008060",1,1,1,2,"CTBX","bertj001","7/L78XD+",6
"MIA202008060",1,1,1,2,"CFBS","cervf001","K",7
"MIA202008060",1,1,0,2,"CSX","aguij001","9/L9LD",8
"MIA202008060",2,0,2,0,"BBX","nuner001","HR/F7D",9
"MIA202008060",2,0,0,0,"X","siscc001","D8/L78XD+",10
"MIA202008060",2,0,1,1,"BCX","haysa001","8/L89XD.2-3",11
"MIA202008060",2,0,2,2,"BFBFFFS","davic003","K",12
"MIA202008060",2,0,1,1,"CBX","valap001","9/F9D",13
"MIA202008060",2,1,0,1,"FX","andeb006","4/L6MD",14
"MIA202008060",2,1,3,2,"CBFBFBB","brinl001","W",15
"MIA202008060",2,1,2,0,"B*BX","forsl001","D7/L7LD+.1-3",16
"MIA202008060",2,1,1,1,"B*SX","sierm002","9/SF/L9D.3-H;2-3",17
"MIA202008060",2,1,3,2,"FBFBBX","harrm003","13/G1",18
"MIA202008060",3,0,2,2,"BSCFFBX","albeh001","S8/G6M",19
"MIA202008060",3,0,1,0,"B>X","santa003","T7/L8XD+.1-H",20
"MIA202008060",3,0,0,2,".CCFX","iglej001","9/F89",21
"MIA202008060",3,0,0,0,"X","smitd007","8/SF/F8XD.3-H",22
"MIA202008060",3,0,1,1,"BCX","nuner001","8/F8D",23
"MIA202008060",3,1,1,2,"SSBX","villj001","63/G6M",24
"MIA202008060",3,1,2,1,"BBCX","bertj001","6/L6D",25
"MIA202008060",3,1,1,0,"BX","cervf001","D7/L7LS+",26
"MIA202008060",3,1,1,0,"BX","aguij001","S5/G5.2-3;B-2",27
"MIA202008060",3,1,0,0,"X","andeb006","S8/L89.3-H;2-H",28
"MIA202008060",3,1,1,0,"BX","brinl001","63/G6",29
"MIA202008060",4,0,2,0,"BB.X","siscc001","HR/F89XD",30
"MIA202008060",4,0,2,1,"CBBX","haysa001","63/G6D",31
"MIA202008060",4,0,1,0,"BX","davic003","9/F89XD+",32
"MIA202008060",4,0,1,1,"BCX","valap001","8/L8D",33
"MIA202008060",4,1,0,1,"CX","forsl001","S7/G6+",34
"MIA202008060",4,1,0,2,"111LSH","sierm002","HP.1-2",35
"MIA202008060",4,1,0,1,".CX","harrm003","9/L9D.2-3",36
"MIA202008060",4,1,0,0,"1X","villj001","S9/G34.3-H;1-H(E9/TH)(NR);B-2",37
"MIA202008060",4,1,0,0,"2","bertj001","BK.2-3",38
"MIA202008060",4,1,2,2,"2...BBFFF*S","bertj001","K",39
"MIA202008060",4,1,1,0,"BX","cervf001","7/L78XD",40
"MIA202008060",5,0,1,0,".BX","albeh001","9/L89D",41
"MIA202008060",5,0,0,0,"X","santa003","7/L7LD",42
"MIA202008060",5,0,1,1,"CBX","iglej001","63/G6",43
"MIA202008060",5,1,0,2,"CFX","aguij001","8/L89D",44
"MIA202008060",5,1,1,2,"CSBC","andeb006","K",45
"MIA202008060",5,1,3,2,"CBCBBX","brinl001","43/G6",46
"MIA202008060",6,0,1,0,"BX","smitd007","HR/L89XD",47
"MIA202008060",6,0,1,1,"BCX","nuner001","HR/L7D",48
"MIA202008060",6,0,3,2,".CFBBB*B","siscc001","W",49
"MIA202008060",6,0,0,1,".CH","haysa001","HP.1-2",50
"MIA202008060",6,0,0,0,"...X","davic003","7/F7LF/FL",51
"MIA202008060",6,0,0,2,"CFX","valap001","4/P34",52
"MIA202008060",6,0,1,2,"FB.FX","albeh001","7/F7",53
"MIA202008060",6,1,0,1,".CX","forsl001","8/L8XD+",54
"MIA202008060",6,1,1,0,"BX","sierm002","23/BG2",55
"MIA202008060",6,1,3,2,"CBFFBBX","harrm003","S4/G4",56
"MIA202008060",6,1,0,1,"C11>B","villj001","SB2",57
"MIA202008060",6,1,1,1,"C11>B.X","villj001","3/G3",58
"MIA202008060",7,0,0,1,"SX","santa003","8/L89XD",59
