"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"MIA202008052",0,0,"smitj004",1,17
"MIA202008052",0,0,"shars001",1,26
"MIA202008052",0,6,"stewd002",7,26
"MIA202008052",1,6,"haysa001",11,27
"MIA202008052",1,9,"mullc002",8,27
"MIA202008052",0,0,"morab001",1,33
"MIA202008052",0,0,"shafj001",1,44
"MIA202008052",1,0,"wojca001",1,46
"MIA202008052",0,6,"joycm001",9,49
"MIA202008052",0,9,"sierm002",8,49
"MIA202008052",0,9,"mullc002",7,50
"MIA202008060",1,0,"leblw001",1,38
"MIA202008060",0,0,"yamaj001",1,40
"MIA202008060",0,0,"guzmj006",1,50
"MIA202008060",1,0,"armss001",1,53
"MIA202008060",1,0,"phile001",1,63
"MIA202008060",1,6,"brinl001",9,65
"MIA202008060",0,6,"dickc002",11,67
"MIA202008060",0,8,"sierm002",7,67
"MIA202008060",0,0,"morim002",1,67
"MIA202008060",1,0,"givem001",1,70
"MIA202008060",0,0,"boxbb001",1,75
"MIA202008060",0,9,"valap001",5,76
"MIA202008060",0,9,"sevep001",11,77
"MIA202008140",1,0,"wrigk001",1,35
"MIA202008140",1,0,"daytg001",1,54
"MIA202008140",0,0,"lopep002",1,61
"MIA202008140",0,0,"vincn001",1,72
"MIA202008140",1,0,"jackl001",1,75
"MIA202008140",0,0,"tarps001",1,78
"MIA202008140",0,4,"joycm001",7,78
"MIA202008150",0,0,"castd003",1,46
"MIA202008150",0,7,"rilea001",7,48
"MIA202008150",1,5,"duvaa001",9,50
"MIA202008150",1,7,"markn001",11,50
"MIA202008150",1,0,"friem001",1,53
"MIA202008150",1,7,"bertj001",9,53
"MIA202008150",0,6,"brinl001",7,55
"MIA202008150",0,7,"joycm001",11,55
"MIA202008150",0,0,"hoytj001",1,55
"MIA202008150",1,0,"grees005",1,59
"MIA202008150",0,0,"boxbb001",1,63
"MIA202008150",1,0,"smitw002",1,68
"MIA202008150",1,6,"brinl001",9,70
"MIA202008150",1,6,"diazl001",11,71
"MIA202008160",1,0,"erlir001",1,32
"MIA202008160",0,0,"herne002",1,35
"MIA202008160",1,0,"odayd001",1,43
"MIA202008160",0,0,"vincn001",1,44
"MIA202008160",0,0,"shafj001",1,48
"MIA202008160",0,0,"morab001",1,51
"MIA202008160",1,0,"minta001",1,52
"MIA202008160",0,0,"hoytj001",1,55
"MIA202008160",1,5,"brinl001",7,58
"MIA202008160",0,5,"joycm001",11,61
"MIA202008160",1,0,"grees005",1,64
"MIA202008170",0,0,"yamaj001",1,16
"MIA202008170",1,0,"gselr001",1,23
"MIA202008170",0,0,"shars001",1,37
"MIA202008170",1,0,"shrec001",1,46
"MIA202008170",0,0,"smitj006",1,50
"MIA202008170",1,0,"famij001",1,58
"MIA202008170",0,0,"shafj001",1,64
"MIA202008170",0,6,"cervf001",2,64
"MIA202008170",1,0,"bracb001",1,67
"MIA202008170",1,5,"canor001",4,67
"MIA202008170",0,3,"joycm001",7,72
"MIA202008170",0,4,"andeb006",5,72
"MIA202008170",0,7,"alvae001",4,72
"MIA202008170",0,8,"bertj001",9,72
"MIA202008170",0,9,"sierm002",8,72
