"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"MIL202008030","20200803",0,710,"T","N","CHA","MIL","MIL06","iassd901","gibsh902","may-b901",0,"",0,1,65,0,0,0,1,5,223,"detwr001","pheld001","coloa001"
"MIL202008040","20200804",0,710,"T","N","CHA","MIL","MIL06","gibsh902","may-b901","fleta901",0,"",0,1,68,0,0,0,1,5,194,"gioll001","willd004","coloa001"
"MIL202008070","20200807",0,710,"T","N","CIN","MIL","MIL06","gibsh902","may-b901","bacce901",0,"",0,1,77,3,3,0,1,1,179,"bauet001","lauee001",""
"MIL202008080","20200808",0,610,"T","N","CIN","MIL","MIL06","may-b901","bacce901","fleta901",0,"",0,1,72,0,0,0,1,5,160,"desca001","andeb004","igler001"
"MIL202008090","20200809",0,110,"T","D","CIN","MIL","MIL06","bacce901","fleta901","gibsh902",0,"",0,1,86,1,4,0,1,2,194,"suteb001","grays001",""
"MIL202008100","20200810",0,710,"T","N","MIN","MIL","MIL06","hicke901","mealj901","bakej902",0,"",0,1,73,7,3,0,1,2,177,"dobnr001","housa001","roget001"
"MIL202008110","20200811",0,710,"T","N","MIN","MIL","MIL06","mealj901","bakej902","rackd901",0,"",0,1,78,0,4,0,1,1,176,"willd004","roget001","hadej001"
"MIL202008120","20200812",0,610,"T","N","MIN","MIL","MIL06","bakej902","rackd901","hicke901",0,"",0,1,81,6,7,0,1,1,188,"maedk001","lauee001",""
"MIL202008240","20200824",0,710,"T","N","CIN","MIL","MIL06","blakr901","lives901","reybd901",0,"",0,1,89,1,3,0,1,2,155,"andeb004","bauet001","hadej001"
"MIL202008250","20200825",0,710,"T","N","CIN","MIL","MIL06","lives901","reybd901","timmt901",0,"",0,1,78,0,0,0,1,5,167,"woodb005","castl003","hadej001"
"MIL202008271","20200827",1,410,"T","D","CIN","MIL","MIL06","reybd901","timmt901","blakr901",0,"",0,1,78,0,0,0,1,5,171,"grays001","housa001",""
"MIL202008272","20200827",2,745,"T","N","CIN","MIL","MIL06","bacoj901","blakr901","lives901",0,"",0,1,74,0,0,0,1,5,153,"simsl001","lindj004",""
"MIL202008280","20200828",0,710,"T","N","PIT","MIL","MIL06","tumpj901","navaj901","buckc901",0,"",0,1,77,0,0,0,1,5,175,"burnc002","holld003",""
"MIL202008290","20200829",0,610,"T","N","PIT","MIL","MIL06","navaj901","buckc901","bacce901",0,"",0,1,74,0,11,0,1,1,199,"willd004","rodrr008",""
"MIL202008300","20200830",0,110,"T","D","PIT","MIL","MIL06","buckc901","bacce901","tumpj901",0,"",0,1,71,0,3,0,1,1,193,"tropn001","woodb005",""
"MIL202008310","20200831",0,640,"T","N","PIT","MIL","MIL06","nelsj901","tumpj901","navaj901",0,"",0,1,72,0,0,0,1,5,205,"willd004","turln001","hadej001"
"MIL202009010","20200901",0,640,"T","N","DET","MIL","MIL06","tosia901","gonzm901","ticht901",0,"",0,1,68,0,0,0,1,5,214,"norrd002","lindj004",""
"MIL202009020","20200902",0,640,"T","N","DET","MIL","MIL06","gonzm901","ticht901","segac901",0,"",0,1,81,8,13,0,1,1,200,"yarde001","jimej003","hadej001"
"MIL202009110","20200911",0,710,"T","N","CHN","MIL","MIL06","gonzm901","ticht901","segac901",0,"",0,1,64,0,0,0,1,5,170,"hadej001","wickr001",""
"MIL202009120","20200912",0,610,"T","N","CHN","MIL","MIL06","ticht901","segac901","kulpr901",0,"",0,1,68,0,0,0,1,5,162,"adamj002","hadej001","kimbc001"
"MIL202009130","20200913",0,110,"T","D","CHN","MIL","MIL06","segac901","kulpr901","gonzm901",0,"",0,1,65,0,0,0,1,5,170,"milla003","housa001",""
"MIL202009141","20200914",1,410,"T","D","SLN","MIL","MIL06","kulpr901","bacce901","segac901",0,"",0,1,66,0,0,0,1,5,157,"peraf001","helsr001",""
"MIL202009142","20200914",2,733,"T","N","SLN","MIL","MIL06","gonzm901","segac901","bacoj901",0,"",0,1,63,0,0,0,1,5,222,"cabrg001","topaj001","webbt001"
"MIL202009150","20200915",0,640,"T","N","SLN","MIL","MIL06","bacoj901","bacce901","kulpr901",0,"",0,1,75,0,0,0,1,5,189,"andeb004","flahj002",""
"MIL202009161","20200916",1,410,"T","D","SLN","MIL","MIL06","segac901","kulpr901","gonzm901",0,"",0,1,75,0,11,0,1,5,121,"waina001","woodb005",""
"MIL202009162","20200916",2,658,"T","N","SLN","MIL","MIL06","bacce901","gonzm901","bacoj901",0,"",0,1,72,2,8,0,1,2,121,"peraf001","oviej001",""
"MIL202009180","20200918",0,710,"T","N","KCA","MIL","MIL06","ticht901","bacoj901","segac901",0,"",0,1,74,0,0,0,1,5,200,"rasmd002","duffd001",""
"MIL202009190","20200919",0,610,"T","N","KCA","MIL","MIL06","bacoj901","segac901","bacce901",0,"",0,1,71,0,0,0,1,5,175,"burnc002","bubik001",""
"MIL202009200","20200920",0,110,"T","D","KCA","MIL","MIL06","segac901","bacce901","ticht901",0,"",0,1,69,0,0,0,1,5,163,"lindj004","kellb003","hadej001"
"MIL202009252","20200925",2,715,"T","N","SLN","MIL","STL10","hoyej901","estam901","carlm901",0,"",0,1,73,2,8,0,1,1,156,"poncd001","lindj004",""
