"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"MIL202008030",1,0,0,0,"X","robel002","S16/G6",1
"MIL202008030",1,0,1,1,".CBX","moncy001","D8/L8XD+.1-3",2
"MIL202008030",1,0,1,2,"CBFX","abrej003","63/G6.3-H;2-3",3
"MIL202008030",1,0,3,2,"BBSFBX","grany001","9/SF/F9LD.3-H",4
"MIL202008030",1,0,3,2,"BBCCBFX","jimee001","23/G2",5
"MIL202008030",1,1,0,0,"X","healr001","3/P3F/FL",6
"MIL202008030",1,1,0,2,"CFS","hiurk001","K",7
"MIL202008030",1,1,0,2,"CCFX","yelic001","D8/L8XD+",8
"MIL202008030",1,1,1,1,"CBX","garca003","D7/L7L+.2-H",9
"MIL202008030",1,1,1,0,"BX","gyorj001","3/P34",10
"MIL202008030",2,0,1,1,"CBX","mccaj001","53/G56+",11
"MIL202008030",2,0,0,1,"CX","garcl004","S6/G6",12
"MIL202008030",2,0,1,2,"C*S*BH","engea001","HP.1-2",13
"MIL202008030",2,0,1,0,"BX","madrn001","46(1)/FO/P8S.2-3;B-1",14
"MIL202008030",2,0,1,0,"BX","robel002","13/G6MS",15
"MIL202008030",2,1,0,0,"X","smoaj001","63/G56D+",16
"MIL202008030",2,1,2,2,"CCBFBF.X","pinam001","S7/L7",17
"MIL202008030",2,1,0,2,"SFX","arcio002","7/F7L",18
"MIL202008030",2,1,0,1,"CX","gameb001","43/G34D",19
"MIL202008030",3,0,2,1,"CBBX","moncy001","S6/G6",20
"MIL202008030",3,0,0,0,"X","abrej003","S5/G25.1-2",21
"MIL202008030",3,0,3,2,"BBBCSS","grany001","K",22
"MIL202008030",3,0,1,0,"BX","jimee001","46(1)/FO/G4D.2-3;B-1",23
"MIL202008030",3,0,2,2,"F1CBBS","mccaj001","K",24
"MIL202008030",3,1,1,2,"..BCFS","morrl001","K",25
"MIL202008030",3,1,1,2,"CSBS","hiurk001","K",26
"MIL202008030",3,1,3,2,"SBSBFBB","yelic001","W",27
"MIL202008030",3,1,0,2,"C1ST","garca003","K",28
"MIL202008030",4,0,0,1,"..FX","garcl004","S7/L7LS",29
"MIL202008030",4,0,0,1,"1C1X","engea001","54(1)3/GDP/G5",30
"MIL202008030",4,0,3,2,"BBBCCS","madrn001","K",31
"MIL202008030",4,1,1,2,".BCSFX","sogae001","53/G56",32
"MIL202008030",4,1,1,2,"CCFBX","smoaj001","5/P6MS",33
"MIL202008030",4,1,2,2,"BCCBFX","pinam001","8/F8XD",34
"MIL202008030",5,0,3,2,".SBSBFBB","robel002","W",35
"MIL202008030",5,0,0,2,"CF1S","moncy001","K",36
"MIL202008030",5,0,1,1,"FB>*S","abrej003","SB2",37
"MIL202008030",5,0,3,2,"FB>*S.BFFFBF.FS","abrej003","K",38
"MIL202008030",5,0,2,2,"*BCCFBS","grany001","K",39
"MIL202008030",5,1,2,1,".CBBX","arcio002","S8/G6M",40
"MIL202008030",5,1,2,1,"BBSX","gameb001","D8/L8.1-3",41
"MIL202008030",5,1,2,2,"CFBBX","morrl001","7/F7S",42
"MIL202008030",5,1,3,0,".VVVV","hiurk001","IW",43
"MIL202008030",5,1,1,2,"C*B.CC","yelic001","K",44
"MIL202008030",5,1,2,1,"..BTBX","garca003","S7/G56.3-H;2-H;1-2",45
"MIL202008030",5,1,3,1,"CBBBX","sogae001","43/G4D",46
"MIL202008030",6,0,1,0,"BX","jimee001","9/F9D",47
"MIL202008030",6,0,2,1,"CBBX","mccaj001","3/P3F/FL",48
"MIL202008030",6,0,0,2,"CCX","garcl004","S8/L8",49
"MIL202008030",6,0,0,1,"..C11X","mazan001","7/F78D",50
"MIL202008030",6,1,2,0,".BBX","smoaj001","S9/L9L+",51
"MIL202008030",6,1,0,2,"CCH","pinam001","HP.1-2",52
"MIL202008030",6,1,0,1,"LX","arcio002","64(1)3/GDP/G6M.2-3",53
"MIL202008030",6,1,0,0,"X","gameb001","S9/G4.3-H",54
"MIL202008030",6,1,0,0,"..1","morrl001","POCS2(1363)",55
