"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"MIL202008030",1,0,"rodoc001",1,24
"MIL202008030",1,1,"healr001",10,24
"MIL202008030",0,0,"andeb004",1,28
"MIL202008030",1,5,"gyorj001",5,31
"MIL202008030",0,5,"sogae001",11,34
"MIL202008030",1,0,"fostm001",1,39
"MIL202008030",1,0,"fry-j001",1,44
"MIL202008030",0,8,"engea001",9,49
"MIL202008030",1,8,"mazan001",11,50
"MIL202008030",1,0,"cishs001",1,54
"MIL202008030",0,0,"burnc002",1,60
"MIL202008030",0,0,"pheld001",1,71
"MIL202008030",1,0,"detwr001",1,72
"MIL202008030",1,7,"pinam001",2,73
"MIL202008030",1,8,"arcio002",6,74
"MIL202008030",0,5,"sogae001",5,75
"MIL202008030",0,7,"narvo001",11,75
"MIL202008030",0,8,"holtb002",11,75
"MIL202008030",0,0,"knebc001",1,77
"MIL202008030",0,4,"grany001",10,78
"MIL202008030",1,0,"marse001",1,81
"MIL202008040",1,9,"madrn001",4,19
"MIL202008040",0,6,"encae001",10,43
"MIL202008040",0,0,"woodb005",1,50
"MIL202008040",1,0,"gioll001",1,57
"MIL202008040",1,6,"morrl001",10,57
"MIL202008040",0,0,"willd004",1,60
"MIL202008040",1,0,"bumma001",1,63
"MIL202008040",1,0,"cordj001",1,71
"MIL202008040",1,6,"healr001",10,74
"MIL202008040",1,7,"narvo001",2,75
"MIL202008070",0,0,"lauee001",1,28
"MIL202008070",1,1,"senzn001",8,32
"MIL202008070",0,0,"grimj002",1,43
"MIL202008070",0,0,"knebc001",1,54
"MIL202008070",1,0,"bauet001",1,58
"MIL202008070",0,0,"yarde001",1,62
"MIL202008070",1,0,"reedc002",1,65
"MIL202008070",1,0,"strop001",1,66
"MIL202008080",0,0,"andeb004",1,30
"MIL202008080",1,1,"ervip001",8,37
"MIL202008080",1,7,"winkj002",7,37
"MIL202008080",0,1,"ervip001",7,48
"MIL202008080",1,1,"akiys001",11,51
"MIL202008080",1,0,"desca001",1,51
"MIL202008080",1,0,"garra001",1,58
"MIL202008080",1,0,"lorem002",1,68
"MIL202008090",0,0,"woodb005",1,37
"MIL202008090",1,0,"grays001",1,54
"MIL202008090",1,0,"lorem002",1,58
"MIL202008090",1,7,"holtb002",5,60
"MIL202008090",0,7,"gyorj001",11,62
"MIL202008090",0,0,"suteb001",1,62
"MIL202008090",1,0,"reedc002",1,65
"MIL202008090",0,0,"willd004",1,70
"MIL202008090",1,0,"kuhnj001",1,73
"MIL202008090",0,0,"knebc001",1,76
"MIL202008090",0,9,"jankt001",8,80
"MIL202008100",0,0,"housa001",1,45
"MIL202008100",1,0,"dobnr001",1,48
"MIL202008100",1,0,"may-t001",1,56
"MIL202008100",1,9,"arcio002",6,58
"MIL202008100",0,1,"sogae001",5,60
"MIL202008100",0,7,"urial001",4,60
"MIL202008100",0,9,"holtb002",11,60
"MIL202008100",1,0,"dufft001",1,63
"MIL202008100",1,0,"romos001",1,71
"MIL202008100",1,6,"gameb001",9,71
"MIL202008100",1,8,"narvo001",2,73
"MIL202008100",1,9,"holtb002",5,74
"MIL202008110",1,0,"clipt001",1,16
"MIL202008110",1,0,"stasc001",1,24
"MIL202008110",0,0,"lindj004",1,36
"MIL202008110",1,0,"wislm001",1,44
"MIL202008110",0,0,"claua001",1,46
"MIL202008110",0,0,"yarde001",1,55
"MIL202008110",1,0,"may-t001",1,58
"MIL202008110",1,8,"urial001",5,58
"MIL202008110",1,9,"arcio002",6,59
"MIL202008110",0,8,"sogae001",11,61
"MIL202008110",0,9,"holtb002",11,61
"MIL202008110",0,0,"pheld001",1,61
"MIL202008110",1,0,"dufft001",1,65
"MIL202008110",0,0,"willd004",1,70
"MIL202008120",0,0,"lauee001",1,33
"MIL202008120",0,0,"grimj002",1,45
"MIL202008120",0,1,"sogae001",6,51
"MIL202008120",0,3,"yelic001",7,51
"MIL202008120",0,4,"garca003",8,51
"MIL202008120",0,9,"holtb002",5,51
"MIL202008120",1,2,"polaj001",6,55
"MIL202008120",0,0,"yarde001",1,61
"MIL202008120",1,0,"maedk001",1,69
"MIL202008120",0,0,"knebc001",1,70
"MIL202008120",1,0,"thiec001",1,73
"MIL202008120",0,0,"suteb001",1,77
"MIL202008120",0,3,"cruzn002",10,79
"MIL202008240",0,0,"andeb004",1,48
"MIL202008240",1,0,"bauet001",1,55
"MIL202008240",0,0,"willd004",1,58
"MIL202008240",1,0,"antot001",1,61
"MIL202008240",0,0,"pheld001",1,64
"MIL202008240",0,5,"braur002",9,64
"MIL202008250",0,0,"woodb005",1,52
"MIL202008250",0,8,"paytm001",7,53
"MIL202008250",0,9,"barnt001",2,54
"MIL202008250",1,8,"ervip001",11,55
"MIL202008250",1,9,"casac001",11,55
"MIL202008250",1,0,"castl003",1,55
"MIL202008250",1,9,"petej002",7,55
"MIL202008250",0,9,"mathm002",11,58
"MIL202008250",0,0,"suteb001",1,58
"MIL202008250",1,0,"garra001",1,61
"MIL202008250",1,1,"vottj001",3,61
"MIL202008250",0,0,"willd004",1,64
"MIL202008250",0,6,"akiys001",8,66
"MIL202008271",0,0,"housa001",1,38
"MIL202008271",0,7,"paytm001",7,42
"MIL202008271",1,7,"ervip001",11,43
"MIL202008271",0,0,"claua001",1,47
"MIL202008271",1,0,"grays001",1,53
"MIL202008271",1,0,"jonen001",1,57
"MIL202008271",1,8,"petej002",4,57
"MIL202008271",1,9,"sogae001",5,58
"MIL202008271",1,8,"gyorj001",11,58
"MIL202008271",0,8,"urial001",12,59
"MIL202008271",0,9,"braur002",11,59
"MIL202008271",1,0,"biddj001",1,64
"MIL202008272",1,6,"pinam001",2,17
"MIL202008272",0,6,"narvo001",12,18
"MIL202008272",0,0,"lindj004",1,33
"MIL202008272",1,0,"milew001",1,40
"MIL202008272",0,0,"peraf001",1,44
"MIL202008272",1,4,"gyorj001",3,52
"MIL202008272",0,4,"smoaj001",11,53
"MIL202008272",0,0,"yarde001",1,53
"MIL202008272",1,0,"simsl001",1,59
"MIL202008280",1,0,"holld003",1,48
"MIL202008280",0,0,"burnc002",1,51
"MIL202008280",1,7,"riddj001",5,55
"MIL202008280",1,1,"gonze004",6,55
"MIL202008280",1,0,"mearn001",1,60
"MIL202008280",1,4,"braur002",9,60
"MIL202008280",0,4,"petej002",12,61
"MIL202008280",0,6,"mathm002",7,61
"MIL202008280",0,0,"pheld001",1,61
"MIL202008280",1,0,"howas002",1,65
"MIL202008280",1,4,"bellj005",3,65
"MIL202008290",0,0,"andeb004",1,45
"MIL202008290",1,0,"brubj001",1,49
"MIL202008290",0,0,"peraf001",1,52
"MIL202008290",1,0,"howas002",1,57
"MIL202008290",0,0,"yarde001",1,61
"MIL202008290",1,0,"strac001",1,65
"MIL202008290",1,4,"smoaj001",3,67
"MIL202008290",1,5,"narvo001",2,68
"MIL202008290",1,6,"gameb001",8,69
"MIL202008290",0,4,"gyorj001",11,71
"MIL202008290",0,5,"braur002",11,71
"MIL202008290",0,6,"garca003",11,71
"MIL202008290",0,0,"claua001",1,71
"MIL202008290",0,0,"hadej001",1,78
"MIL202008290",0,8,"osunj001",10,79
"MIL202008290",1,0,"turln001",1,80
"MIL202008300",1,0,"braus002",1,32
"MIL202008300",1,0,"crick001",1,41
"MIL202008300",0,0,"woodb005",1,45
"MIL202008300",0,0,"claua001",1,55
"MIL202008300",1,0,"tropn001",1,62
"MIL202008300",1,6,"mathm002",9,63
"MIL202008300",0,3,"gyorj001",3,64
"MIL202008300",0,6,"smoaj001",11,64
"MIL202008300",0,0,"yarde001",1,64
"MIL202008300",1,9,"nottj001",2,69
"MIL202008300",0,9,"narvo001",11,72
"MIL202008300",1,0,"hartg001",1,75
"MIL202008310",0,0,"suteb001",1,26
"MIL202008310",1,0,"willt002",1,42
"MIL202008310",0,0,"rasmd002",1,46
"MIL202008310",0,0,"peraf001",1,58
"MIL202008310",1,0,"howas002",1,61
"MIL202008310",1,0,"basht001",1,67
"MIL202008310",1,7,"narvo001",2,69
"MIL202008310",1,8,"petej002",9,70
"MIL202008310",1,9,"sogae001",5,71
"MIL202008310",1,8,"garca003",11,71
"MIL202008310",1,0,"turln001",1,71
"MIL202008310",0,1,"urial001",6,73
"MIL202008310",0,7,"mathm002",11,73
