"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"MIN202007280","20200728",0,710,"T","N","SLN","MIN","MIN04","rehaj901","mealj901","hicke901",0,"",0,1,82,3,9,0,1,1,162,"bailh001","martc006","romos001"
"MIN202007290","20200729",0,710,"T","N","SLN","MIN","MIN04","mealj901","hicke901","bakej902",0,"",0,1,80,4,9,0,1,2,173,"hillr001","poncd001","roget001"
"MIN202007300","20200730",0,607,"T","N","CLE","MIN","MIN04","hicke901","bakej902","rehaj901",0,"",0,1,80,4,8,0,1,2,172,"biebs001","berrj001","karij001"
"MIN202007310","20200731",0,710,"T","N","CLE","MIN","MIN04","bakej902","rehaj901","mealj901",0,"",0,1,82,7,5,0,1,1,186,"dobnr001","clevm001","roget001"
"MIN202008010","20200801",0,610,"T","N","CLE","MIN","MIN04","rehaj901","mealj901","hicke901",0,"",0,1,76,3,10,0,1,3,160,"maedk001","carrc003","roget001"
"MIN202008020","20200802",0,110,"T","D","CLE","MIN","MIN04","mealj901","hicke901","bakej902",0,"",0,1,69,5,13,0,1,2,174,"smeld001","civaa001","romos001"
"MIN202008030","20200803",0,710,"T","N","PIT","MIN","MIN04","tumpj901","navaj901","nelsj901",0,"",0,1,71,5,10,0,1,1,193,"roget001","burdn001",""
"MIN202008040","20200804",0,110,"T","D","PIT","MIN","MIN04","navaj901","nelsj901","buckc901",0,"",0,1,73,4,6,0,1,1,210,"berrj001","musgj001","may-t001"
"MIN202008151","20200815",1,1235,"T","D","KCA","MIN","MIN04","tumpj901","bacce901","bacoj901",0,"",0,1,73,3,4,0,1,1,150,"dufft001","speig001","roget001"
"MIN202008152","20200815",2,342,"T","D","KCA","MIN","MIN04","navaj901","bacoj901","nelsj901",0,"",0,1,76,1,6,0,1,2,162,"duffd001","berrj001","roset001"
"MIN202008160","20200816",0,110,"T","D","KCA","MIN","MIN04","bacoj901","nelsj901","tumpj901",0,"",0,1,79,8,7,0,1,1,157,"dobnr001","singb001","romos001"
"MIN202008170","20200817",0,710,"T","N","KCA","MIN","MIN04","nelsj901","tumpj901","navaj901",0,"",0,1,76,4,9,0,1,2,186,"smeld001","bubik001",""
"MIN202008180","20200818",0,710,"T","N","MIL","MIN","MIN04","rehaj901","hicke901","mealj901",0,"",0,1,78,0,5,0,1,1,268,"alcaj001","pheld001",""
"MIN202008190","20200819",0,710,"T","N","MIL","MIN","MIN04","hicke901","mealj901","bakej902",0,"",0,1,79,6,7,0,1,3,179,"andeb004","hillr001",""
"MIN202008200","20200820",0,610,"T","N","MIL","MIN","MIN04","mealj901","bakej902","rehaj901",0,"",0,1,82,8,14,0,1,2,178,"berrj001","woodb005",""
"MIN202008310","20200831",0,710,"T","N","CHA","MIN","MIN04","reybd901","diazl901","blakr901",0,"",0,1,69,2,7,0,1,2,223,"fostm001","roget001","coloa001"
"MIN202009010","20200901",0,710,"T","N","CHA","MIN","MIN04","diazl901","blakr901","lives901",0,"",0,1,70,8,12,0,1,2,192,"thiec001","cordj001","wislm001"
"MIN202009020","20200902",0,710,"T","N","CHA","MIN","MIN04","blakr901","lives901","reybd901",0,"",0,1,79,1,8,0,1,1,203,"berrj001","loper003",""
"MIN202009041","20200904",1,110,"T","D","DET","MIN","MIN04","ticht901","kulpr901","tosia901",0,"",0,1,68,6,10,0,1,2,105,"dobnr001","boydm001","roget001"
"MIN202009050","20200905",0,610,"T","N","DET","MIN","MIN04","tosia901","kulpr901","ticht901",0,"",0,1,77,3,6,0,1,2,172,"alcaj001","cisnj001",""
"MIN202009060","20200906",0,110,"T","D","DET","MIN","MIN04","kulpr901","gonzm901","ticht901",0,"",0,1,77,8,15,0,1,3,223,"funkk001","romos001","garcb001"
"MIN202009070","20200907",0,110,"T","D","DET","MIN","MIN04","gonzm901","ticht901","segac901",0,"",0,1,58,4,10,0,1,3,164,"pinem001","fulmm001",""
"MIN202009110","20200911",0,710,"T","N","CLE","MIN","MIN04","whitc901","carlm901","hoyej901",0,"",0,1,55,4,9,0,4,3,163,"maedk001","biebs001","roget001"
"MIN202009120","20200912",0,707,"T","N","CLE","MIN","MIN04","carlm901","hoyej901","estam901",0,"",0,1,63,2,7,0,1,3,176,"hillr001","plesz001",""
"MIN202009130","20200913",0,110,"T","D","CLE","MIN","MIN04","hoyej901","estam901","whitc901",0,"",0,1,72,0,2,0,1,2,223,"thiec001","mcket001","romos001"
"MIN202009220","20200922",0,640,"T","N","DET","MIN","MIN04","timmt901","diazl901","blakr901",0,"",0,1,81,1,8,0,1,1,223,"roget001","garcb001",""
"MIN202009230","20200923",0,640,"T","N","DET","MIN","MIN04","diazl901","blakr901","reybd901",0,"",0,1,79,0,4,0,1,2,196,"maedk001","mizec001","romos001"
"MIN202009250","20200925",0,710,"T","N","CIN","MIN","MIN04","blakr901","reybd901","timmt901",0,"",0,1,75,4,8,0,1,2,218,"lorem002","berrj001",""
"MIN202009260","20200926",0,610,"T","N","CIN","MIN","MIN04","reybd901","timmt901","diazl901",0,"",0,1,69,6,5,0,1,2,186,"clipt001","castl003",""
"MIN202009270","20200927",0,210,"T","D","CIN","MIN","MIN04","timmt901","diazl901","blakr901",0,"",0,1,64,3,15,0,1,2,233,"igler001","thiec001",""
