"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"MIN202007280",1,0,1,2,"CTBX","wongk001","3/G34",1
"MIN202007280",1,0,3,2,"BFBCFBB","edmat001","W",2
"MIN202007280",1,0,0,0,"X","goldp001","7/F78D",3
"MIN202007280",1,0,1,1,"FBX","dejop001","9/F9D",4
"MIN202007280",1,1,1,2,"CFBFX","keplm001","5/P5F/FL",5
"MIN202007280",1,1,2,2,"BBCSX","donaj001","S14/G34",6
"MIN202007280",1,1,1,1,"C*BX","polaj001","S8/L8.1-2",7
"MIN202007280",1,1,0,0,"2","cruzn002","PO2(E1/TH).2-3;1-2",8
"MIN202007280",1,1,2,0,"2.BBX","cruzn002","3/P3F/FL",9
"MIN202007280",1,1,3,0,"VVVV","rosae001","IW",10
"MIN202007280",1,1,3,1,"CBB.BX","garvm001","53/G5",11
"MIN202007280",2,0,2,0,"BBX","carpm002","8/L89D",12
"MIN202007280",2,0,2,2,"BCFFFBS","moliy001","K",13
"MIN202007280",2,0,3,2,"CBBCBB","fowld001","W",14
"MIN202007280",2,0,1,0,"*BX","oneit001","13/L1S",15
"MIN202007280",2,1,3,2,"CBFBFFBX","arral001","S9/L89",16
"MIN202007280",2,1,2,1,"1BCBX","sanom001","D7/G5.1-3",17
"MIN202007280",2,1,1,1,"BCX","buxtb001","FC6/G6+.3-H;B-1",18
"MIN202007280",2,1,0,0,"X","keplm001","S8/L8D.2-H;1-3",19
"MIN202007280",2,1,0,2,".FSFX","donaj001","9/SF/L89XD.3-H",20
"MIN202007280",2,1,0,1,"CX","polaj001","HR/F9D.1-H",21
"MIN202007280",2,1,0,2,"FSX","cruzn002","43/G6MD",22
"MIN202007280",2,1,3,2,"BBBCFX","rosae001","8/F8XD",23
"MIN202007280",3,0,1,2,"CCBS","badeh001","K",24
"MIN202007280",3,0,1,2,"BFFT","wongk001","K",25
"MIN202007280",3,0,1,2,"CFBX","edmat001","D7/L7L",26
"MIN202007280",3,0,3,2,"CBSBBT","goldp001","K",27
"MIN202007280",3,1,1,2,"CFBS","garvm001","K",28
"MIN202007280",3,1,2,2,"CFFBBX","arral001","43/G2",29
"MIN202007280",3,1,1,2,"TBSX","sanom001","31/G34S-",30
"MIN202007280",4,0,1,0,"BX","dejop001","43/G6M+",31
"MIN202007280",4,0,2,2,"CCBBX","carpm002","S9/L9",32
"MIN202007280",4,0,0,0,"X","moliy001","64(1)3/GDP/G6S",33
"MIN202007280",4,1,1,2,"BFSS","buxtb001","K",34
"MIN202007280",4,1,0,0,"X","keplm001","13/G4S",35
"MIN202007280",4,1,1,0,"BX","donaj001","HR/F9D",36
"MIN202007280",4,1,1,0,"..BX","polaj001","7/L7D",37
"MIN202007280",5,0,3,1,"BBFBX","fowld001","S9/L9LD+",38
"MIN202007280",5,0,3,2,"BSBS*BFX","oneit001","HR/F8XD.1-H",39
"MIN202007280",5,0,0,0,"X","badeh001","3/P34S",40
"MIN202007280",5,0,1,0,".BX","wongk001","43/G4",41
"MIN202007280",5,0,3,2,"FBBBCX","edmat001","43/G4",42
"MIN202007280",5,1,2,0,"BBX","cruzn002","8/L8D",43
"MIN202007280",5,1,2,2,"CBBFX","rosae001","7/F78D",44
"MIN202007280",5,1,3,2,".CBCBBS","garvm001","K",45
"MIN202007280",6,0,3,2,".BCBSFBX","goldp001","8/F8XD",46
"MIN202007280",6,0,1,1,"BFX","dejop001","5/P5F/FL",47
"MIN202007280",6,0,2,2,"SBBCX","carpm002","S9/F9L",48
"MIN202007280",6,0,1,1,"CBX","moliy001","8/F78XD",49
"MIN202007280",6,1,1,1,"BCX","arral001","7/L7LD",50
"MIN202007280",6,1,1,2,"..CSBFX","sanom001","53/G5",51
"MIN202007280",6,1,0,0,"X","buxtb001","9/L9",52
"MIN202007280",7,0,1,2,".CFFBFS","fowld001","K",53
"MIN202007280",7,0,0,0,"X","oneit001","9/F89D+",54
"MIN202007280",7,0,2,1,"CBBX","badeh001","D7/G5",55
"MIN202007280",7,0,2,2,"BCSFBX","wongk001","53/G56",56
"MIN202007280",7,1,1,1,".FBX","keplm001","31/G3D+",57
"MIN202007280",7,1,2,2,"SBSBS","donaj001","K",58
"MIN202007280",7,1,0,0,"X","polaj001","9/F9L",59
"MIN202007280",8,0,1,2,".CTBX","edmat001","HR/L8XD",60
"MIN202007280",8,0,3,2,"BCSBFBS","goldp001","K",61
"MIN202007280",8,0,2,2,"CBTB*S","dejop001","K",62
