"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"MIN202007280",1,0,"martc006",1,36
"MIN202007280",0,0,"bailh001",1,45
"MIN202007280",1,0,"gomba001",1,50
"MIN202007280",0,0,"clipt001",1,52
"MIN202007280",1,0,"gallg001",1,56
"MIN202007280",0,0,"stasc001",1,59
"MIN202007280",1,0,"webbt001",1,63
"MIN202007280",0,0,"may-t001",1,66
"MIN202007290",1,0,"poncd001",1,32
"MIN202007290",1,0,"webbt001",1,37
"MIN202007290",0,0,"hillr001",1,40
"MIN202007290",1,0,"whitk001",1,45
"MIN202007290",0,0,"dufft001",1,46
"MIN202007290",0,6,"sanom001",3,46
"MIN202007290",0,7,"cavej001",8,46
"MIN202007290",0,8,"gonzm002",9,46
"MIN202007290",1,0,"milla002",1,52
"MIN202007290",0,0,"romos001",1,54
"MIN202007290",0,8,"raver001",10,55
"MIN202007290",0,9,"badeh001",8,56
"MIN202007290",1,9,"wietm001",11,57
"MIN202007290",0,0,"clipt001",1,60
"MIN202007300",0,0,"berrj001",1,38
"MIN202007300",0,7,"santd002",9,42
"MIN202007300",1,6,"zimmb001",7,43
"MIN202007300",1,7,"alleg002",12,43
"MIN202007300",0,0,"littz001",1,57
"MIN202007300",0,6,"zimmb001",9,59
"MIN202007300",1,6,"luplj001",11,60
"MIN202007300",1,0,"biebs001",1,67
"MIN202007310",1,2,"donaj001",5,16
"MIN202007310",0,2,"adrie001",11,19
"MIN202007310",1,0,"clevm001",1,40
"MIN202007310",0,0,"dobnr001",1,45
"MIN202007310",1,0,"matop002",1,51
"MIN202007310",0,0,"clipt001",1,56
"MIN202007310",1,0,"pereo002",1,59
"MIN202007310",0,6,"cavej001",8,62
"MIN202007310",0,0,"dufft001",1,62
"MIN202007310",1,0,"hillc001",1,66
"MIN202007310",0,0,"romos001",1,69
"MIN202008010",0,0,"maedk001",1,46
"MIN202008010",1,0,"carrc003",1,51
"MIN202008010",0,0,"may-t001",1,54
"MIN202008010",0,7,"sanom001",3,54
"MIN202008010",0,8,"gonzm002",5,54
"MIN202008010",1,0,"cimba001",1,58
"MIN202008010",0,0,"stasc001",1,62
"MIN202008020",0,0,"clipt001",1,15
"MIN202008020",0,0,"smeld001",1,34
"MIN202008020",0,0,"wislm001",1,45
"MIN202008020",1,0,"civaa001",1,48
"MIN202008020",0,7,"sanom001",3,51
"MIN202008020",0,8,"gonzm002",5,51
"MIN202008020",0,0,"dufft001",1,51
"MIN202008020",0,9,"taylb003",2,53
"MIN202008020",1,9,"reyef001",11,55
"MIN202008020",1,0,"wittn001",1,55
"MIN202008020",0,0,"may-t001",1,60
"MIN202008030",0,0,"thorl002",1,34
"MIN202008030",1,0,"holld003",1,51
"MIN202008030",1,0,"delpm001",1,55
"MIN202008030",0,0,"alcaj001",1,56
"MIN202008030",1,0,"strac001",1,66
"MIN202008030",0,0,"wislm001",1,71
"MIN202008030",1,0,"rodrr008",1,76
"MIN202008030",1,9,"adrie001",6,76
"MIN202008040",1,0,"musgj001",1,39
"MIN202008040",1,0,"howas002",1,46
"MIN202008040",1,0,"turln001",1,55
"MIN202008040",0,0,"berrj001",1,58
"MIN202008040",1,0,"neved001",1,63
"MIN202008040",0,0,"thiec001",1,78
"MIN202008151",1,0,"kenni001",1,17
"MIN202008151",1,0,"speig001",1,20
"MIN202008151",1,0,"zubet001",1,29
"MIN202008151",0,0,"odorj001",1,33
"MIN202008151",0,0,"dufft001",1,41
"MIN202008151",1,0,"hollg001",1,44
"MIN202008151",0,5,"gonzm002",5,48
"MIN202008151",0,6,"sanom001",3,48
"MIN202008151",0,0,"romos001",1,48
"MIN202008152",0,0,"berrj001",1,38
"MIN202008152",1,1,"merrw001",8,42
"MIN202008152",1,2,"solej001",9,42
"MIN202008152",1,0,"duffd001",1,51
"MIN202008152",0,0,"alcaj001",1,55
"MIN202008152",1,0,"stauj001",1,58
"MIN202008152",1,9,"adrie001",5,61
"MIN202008160",0,0,"dobnr001",1,44
"MIN202008160",1,0,"singb001",1,48
"MIN202008160",0,0,"clipt001",1,49
"MIN202008160",1,9,"avila001",2,54
"MIN202008160",0,5,"gonzm002",5,58
"MIN202008160",0,7,"sanom001",3,58
"MIN202008160",0,9,"vargi001",12,58
"MIN202008160",0,0,"may-t001",1,58
"MIN202008160",0,9,"vilom001",2,60
"MIN202008160",1,9,"mcbrr001",11,62
"MIN202008160",1,0,"hollg001",1,62
