"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"LAN202010120",1,0,0,0,"X","acunr001","4/P4D",1
"LAN202010120",1,0,1,2,"CCBX","freef001","HR/F9D",2
"LAN202010120",1,0,0,2,"FSX","ozunm001","53/G5D+",3
"LAN202010120",1,0,3,2,"BSBBSB","darnt001","W",4
"LAN202010120",1,0,0,2,"FFFX","albio001","53/G4",5
"LAN202010120",1,1,1,2,"CCFBFC","bettm001","K",6
"LAN202010120",1,1,2,2,"BCSBS","seagc001","K",7
"LAN202010120",1,1,3,2,"BBCBCX","turnj001","S8/G4+",8
"LAN202010120",1,1,3,2,"CBCBB>B","muncm001","W.1-2",9
"LAN202010120",1,1,0,2,"CCFFT","smitw003","K",10
"LAN202010120",2,0,1,2,"CBFS","swand001","K",11
"LAN202010120",2,0,3,2,"CBF.BBFFB","pachc001","W",12
"LAN202010120",2,0,0,2,"C1C*S","markn001","K",13
"LAN202010120",2,0,1,0,"BB","rilea001","WP.1-2",14
"LAN202010120",2,0,2,2,"BB.FSS","rilea001","K",15
"LAN202010120",2,1,1,1,"...BCX","bellc002","43/G9S+",16
"LAN202010120",2,1,2,0,"BBX","polla001","S8/G4M+",17
"LAN202010120",2,1,0,2,"CFFF*S","herne001","K",18
"LAN202010120",2,1,3,0,"BBBB","taylc001","W.1-2",19
"LAN202010120",2,1,0,1,"CX","bettm001","8/F8XD",20
"LAN202010120",3,0,1,2,"CBCFS","acunr001","K",21
"LAN202010120",3,0,3,2,"BCBCB*B","freef001","W",22
"LAN202010120",3,0,1,2,"CFF*BX","ozunm001","3/G3.1-2",23
"LAN202010120",3,0,1,1,"BCX","darnt001","9/F89S",24
"LAN202010120",3,1,1,2,"SSBC","seagc001","K",25
"LAN202010120",3,1,1,1,"CBX","turnj001","43/G4",26
"LAN202010120",3,1,2,2,".CBBSS","muncm001","K",27
"LAN202010120",4,0,3,2,"BBSBFFFFS","albio001","K",28
"LAN202010120",4,0,3,2,"CBBSB*B","swand001","W",29
"LAN202010120",4,0,2,1,"11SBB>B","pachc001","SB2",30
"LAN202010120",4,0,3,2,"11SBB>B.SB","pachc001","W",31
"LAN202010120",4,0,1,2,"CBFC","markn001","K",32
"LAN202010120",4,0,1,0,"BX","rilea001","8/F8D",33
"LAN202010120",4,1,0,0,"X","smitw003","9/F9LD",34
"LAN202010120",4,1,1,2,"CCFBFFFS","bellc002","K",35
"LAN202010120",4,1,2,0,"BBX","polla001","8/L8D",36
"LAN202010120",5,0,3,2,"SCBBBC","acunr001","K",37
"LAN202010120",5,0,0,1,"CX","freef001","63/G4",38
"LAN202010120",5,0,0,1,"SX","ozunm001","5/L56",39
"LAN202010120",5,1,0,2,"CFX","herne001","HR/F7LD",40
"LAN202010120",5,1,0,1,"SX","taylc001","63/G6D",41
"LAN202010120",5,1,2,1,"BBCX","bettm001","43/G4MD",42
"LAN202010120",5,1,0,1,"FX","seagc001","S56/G56+",43
"LAN202010120",5,1,0,0,"X","turnj001","64(1)/FO/G6MD.B-1",44
"LAN202010120",6,0,1,1,"BSX","darnt001","S9/L9LD+",45
"LAN202010120",6,0,0,2,"FSX","albio001","S7/L78.1-2",46
"LAN202010120",6,0,0,0,".X","swand001","4/P3D",47
"LAN202010120",6,0,0,2,"CSS","pachc001","K",48
"LAN202010120",6,0,1,0,"BX","markn001","13/G4MS+",49
"LAN202010120",6,1,3,2,"SBBBCS","muncm001","K",50
"LAN202010120",6,1,1,2,"CBCS","smitw003","K",51
"LAN202010120",6,1,2,2,"CBSBX","bellc002","6/P6M",52
"LAN202010120",7,0,1,2,".BSSC","rilea001","K",53
"LAN202010120",7,0,0,0,"X","acunr001","9/F89XD+",54
"LAN202010120",7,0,0,1,"CX","freef001","63/G6D",55
"LAN202010120",7,1,0,0,".X","polla001","8/F78XD",56
"LAN202010120",7,1,2,2,"BSFBFFFFX","herne001","7/F78XD",57
"LAN202010120",7,1,1,2,"FCBS","taylc001","K",58
"LAN202010120",8,0,1,2,"BFSX","ozunm001","D8/L8XD+",59
"LAN202010120",8,0,0,1,"SX","darnt001","53/G56+",60
"LAN202010120",8,0,3,2,"BFBFBS","albio001","K",61
"LAN202010120",8,0,3,0,"VVVV","swand001","IW",62
"LAN202010120",8,0,1,0,".BH","sandp001","HP.2-3;1-2",63
"LAN202010120",8,0,0,2,"..FFFS","culbc001","K",64
"LAN202010120",8,1,1,2,".....BFTX","bettm001","9/F9",65
"LAN202010120",8,1,0,0,"X","seagc001","43/G34",66
"LAN202010120",8,1,3,2,"BFBFFFBS","turnj001","K",67
"LAN202010120",9,0,1,2,".SFFBX","rilea001","HR/L8XD",68
"LAN202010120",9,0,2,2,"FCBFBX","acunr001","D6/G5+",69
"LAN202010120",9,0,0,1,"FX","freef001","8/F8XD+.2-3",70
"LAN202010120",9,0,3,2,"FF*BB*BFX","ozunm001","S9/L9.3-H",71
"LAN202010120",9,0,0,2,".FFX","darnt001","6/P6MD",72
"LAN202010120",9,0,0,2,"STX","albio001","HR/F78XD.1-H",73
"LAN202010120",9,0,2,2,"BBFFS","swand001","K",74
"LAN202010120",9,1,0,1,".CX","muncm001","63/G6MD+",75
"LAN202010120",9,1,1,1,"BCX","smitw003","53/G5",76
"LAN202010120",9,1,0,2,"CFFX","bellc002","63/G4M",77
"LAN202010130",1,0,0,2,"FC*S","acunr001","K",1
"LAN202010130",1,0,1,2,"BCFS","freef001","K",2
"LAN202010130",1,0,0,2,"SCX","ozunm001","43/G6MD",3
"LAN202010130",1,1,3,2,"CCBFBBFFB","bettm001","W",4
"LAN202010130",1,1,0,0,"B","seagc001","WP.1-2",5
"LAN202010130",1,1,2,2,"B.FCBFFS","seagc001","K",6
"LAN202010130",1,1,1,1,"BCX","turnj001","8/F89S",7
"LAN202010130",1,1,3,2,"*BCBSBFB","muncm001","W",8
"LAN202010130",1,1,1,1,"CBX","smitw003","53/G5D+",9
"LAN202010130",2,0,2,2,"SBCBS","darnt001","K",10
"LAN202010130",2,0,0,1,"CX","albio001","7/L78D",11
"LAN202010130",2,0,2,0,"BBX","swand001","4/P8S",12
"LAN202010130",2,1,1,2,"BFSS","bellc002","K",13
"LAN202010130",2,1,2,2,"CBBCX","polla001","7/F7L",14
"LAN202010130",2,1,1,2,"CCBX","pedej001","9/F9+",15
"LAN202010130",3,0,2,1,"CBBX","rilea001","8/F8XD+",16
"LAN202010130",3,0,0,2,"FFS","markn001","K",17
"LAN202010130",3,0,0,0,"X","pachc001","53/G56",18
