"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"ATL202010060",1,0,0,2,"CCS","bertj001","K",1
"ATL202010060",1,0,0,2,"CFFX","aguij001","9/L9D",2
"ATL202010060",1,0,0,0,"X","coopg002","E5/TH/G5+.B-1",3
"ATL202010060",1,0,0,2,"FSS","andeb006","K",4
"ATL202010060",1,1,0,1,"FX","acunr001","HR/F89XD",5
"ATL202010060",1,1,1,1,"SBX","freef001","3/G3S-",6
"ATL202010060",1,1,0,2,"SFS","ozunm001","K",7
"ATL202010060",1,1,3,1,"FBBBB","darnt001","W",8
"ATL202010060",1,1,1,2,"BFST","albio001","K",9
"ATL202010060",2,0,1,0,"BX","rojam002","HR/F7LD",10
"ATL202010060",2,0,0,1,"CX","dickc002","7/L7D",11
"ATL202010060",2,0,3,2,"BBFBSFS","brinl001","K",12
"ATL202010060",2,0,3,2,"BCBSBX","wallc001","53/G5",13
"ATL202010060",2,1,0,0,"X","swand001","43/G6M",14
"ATL202010060",2,1,2,1,"BFBX","duvaa001","63/G25+",15
"ATL202010060",2,1,1,2,"FTBS","markn001","K",16
"ATL202010060",3,0,2,2,"MSBBX","sierm002","S7/L7S",17
"ATL202010060",3,0,1,2,"BF11CFX","bertj001","S9/G34.1-3",18
"ATL202010060",3,0,1,2,"CFB1FS","aguij001","K",19
"ATL202010060",3,0,2,1,"BCBX","coopg002","D7/G5.3-H;1-H",20
"ATL202010060",3,0,3,1,"BBBCX","andeb006","S7/L8D+.2-H",21
"ATL202010060",3,0,1,1,"BCX","rojam002","64(1)/FO/G6.B-1",22
"ATL202010060",3,0,1,2,"BFSX","dickc002","7/F78",23
"ATL202010060",3,1,2,2,"BCFBX","rilea001","53/G56S",24
"ATL202010060",3,1,0,1,"CH","acunr001","HP",25
"ATL202010060",3,1,2,0,"*B*BX","freef001","8/F78",26
"ATL202010060",3,1,0,0,"X","ozunm001","D7/G56.1-H",27
"ATL202010060",3,1,2,1,"SBBX","darnt001","D7/L7LD+.2-H",28
"ATL202010060",3,1,1,2,"CF*BX","albio001","3/G3",29
"ATL202010060",4,0,0,0,"X","brinl001","43/G4",30
"ATL202010060",4,0,2,2,"BSTBX","wallc001","4/L8S+",31
"ATL202010060",4,0,1,2,"FBCX","sierm002","D8/L78D",32
"ATL202010060",4,0,0,0,"X","bertj001","53/G5",33
"ATL202010060",4,1,0,2,"CFC","swand001","K",34
"ATL202010060",4,1,0,2,"FSC","duvaa001","K",35
"ATL202010060",4,1,0,1,"CX","markn001","S7/L7",36
"ATL202010060",4,1,0,2,"CTFFFX","rilea001","S9/G3.1-3",37
"ATL202010060",4,1,1,2,"FF*BS","acunr001","K",38
"ATL202010060",5,0,0,0,".X","aguij001","4/P8S",39
"ATL202010060",5,0,1,2,"BCFC","coopg002","K",40
"ATL202010060",5,0,0,2,"FSX","andeb006","S9/L89D",41
"ATL202010060",5,0,0,0,"X","rojam002","31/G34",42
"ATL202010060",5,1,1,1,"CBX","freef001","8/L8XD+",43
"ATL202010060",5,1,3,2,"BSSBFFBS","ozunm001","K",44
"ATL202010060",5,1,0,0,"X","darnt001","S7/L78",45
"ATL202010060",5,1,0,2,"FC*S","albio001","K",46
"ATL202010060",6,0,1,2,".BCCS","dickc002","K",47
"ATL202010060",6,0,0,2,"SFS","brinl001","K",48
"ATL202010060",6,0,1,2,"BCSC","wallc001","K",49
"ATL202010060",6,1,2,1,"CBBX","swand001","63/G56D+",50
