"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"LAN202010060",1,0,"clevm001",1,17
"LAN202010060",1,0,"johnp001",1,25
"LAN202010060",1,8,"pedej001",10,37
"LAN202010060",1,0,"weatr001",1,37
"LAN202010060",0,0,"buehw001",1,40
"LAN202010060",1,0,"adama002",1,43
"LAN202010060",1,0,"hillt002",1,46
"LAN202010060",1,0,"richg002",1,56
"LAN202010060",1,0,"stram001",1,61
"LAN202010060",0,0,"may-d003",1,63
"LAN202010060",0,0,"gonzv001",1,70
"LAN202010060",1,0,"stamc001",1,73
"LAN202010060",0,0,"treib001",1,77
"LAN202010070",1,0,"daviz001",1,47
"LAN202010070",1,8,"polla001",7,49
"LAN202010070",0,7,"taylc001",4,50
"LAN202010070",0,8,"pedej001",11,50
"LAN202010070",0,0,"kersc001",1,50
"LAN202010070",0,0,"treib001",1,53
"LAN202010070",1,0,"pagae001",1,55
"LAN202010070",1,0,"johnp001",1,58
"LAN202010070",1,0,"pomed001",1,65
"LAN202010070",0,0,"gratb002",1,68
"LAN202010070",0,7,"profj001",7,70
"LAN202010070",0,0,"jansk001",1,73
"SDN202010080",1,0,"may-d003",1,13
"SDN202010080",1,0,"kolaa001",1,20
"SDN202010080",0,0,"morea001",1,24
"SDN202010080",0,0,"stamc001",1,31
"SDN202010080",0,0,"patil001",1,38
"SDN202010080",1,6,"morem001",10,41
"SDN202010080",0,0,"hillt002",1,44
"SDN202010080",0,9,"castj006",2,44
"SDN202010080",0,0,"altad001",1,53
"SDN202010080",0,8,"pedej001",10,57
"SDN202010080",0,0,"stram001",1,57
"SDN202010080",0,0,"adama002",1,64
"SDN202010080",1,0,"uriaj001",1,70
"SDN202010080",0,0,"pagae001",1,72
"SDN202010080",0,0,"pomed001",1,76
"SDN202010080",1,8,"herne001",10,78
"SDN202010080",1,9,"taylc001",4,78
"SDN202010080",1,7,"polla001",7,78
"SDN202010080",1,6,"profj001",10,80
"SDN202010080",0,5,"phamt001",7,81
"SDN202010080",0,0,"richg002",1,81
"SDN202010080",0,7,"baezp001",1,88
"SDN202010080",1,7,"lux-g001",11,89
