"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"LAN202009300",1,0,"suteb001",1,20
"LAN202009300",0,0,"buehw001",1,37
"LAN202009300",0,9,"narvo001",2,37
"LAN202009300",0,2,"braur002",9,39
"LAN202009300",1,2,"taylt002",11,41
"LAN202009300",1,9,"nottj001",11,41
"LAN202009300",1,0,"yarde001",1,41
"LAN202009300",1,0,"topaj001",1,56
"LAN202009300",0,0,"uriaj001",1,60
"LAN202009300",1,0,"peraf001",1,64
"LAN202009300",0,0,"treib001",1,68
"LAN202009300",0,7,"polla001",7,68
"LAN202009300",0,9,"taylc001",4,68
"LAN202009300",0,9,"nottj001",2,70
"LAN202010010",1,0,"woodb005",1,37
"LAN202010010",1,9,"nottj001",2,42
"LAN202010010",1,0,"hadej001",1,47
"LAN202010010",1,8,"polla001",7,49
"LAN202010010",0,7,"taylc001",4,50
"LAN202010010",0,8,"pedej001",11,50
"LAN202010010",0,9,"narvo001",2,52
"LAN202010010",1,9,"freid001",11,54
"LAN202010010",0,0,"kersc001",1,58
"LAN202010010",0,3,"gyorj001",3,60
"LAN202010010",0,4,"healr001",10,61
