"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"SDN202009300",1,0,0,1,"CX","wongk001","5/P56D",1
"SDN202009300",1,0,0,2,"CFX","edmat001","S4/G4M+",2
"SDN202009300",1,0,0,0,"X","goldp001","HR/F7LD.1-H",3
"SDN202009300",1,0,0,2,"CFX","carld002","D7/L7LD",4
"SDN202009300",1,0,0,0,"X","moliy001","S8/L8.2-H",5
"SDN202009300",1,0,1,0,"B1X","dejop001","D9/L9LD.1-3",6
"SDN202009300",1,0,0,0,"X","carpm002","7/SF/F7L.3-H",7
"SDN202009300",1,0,1,1,"BSX","fowld001","43/G34",8
"SDN202009300",1,1,3,1,"CBBBB","tatif002","W",9
"SDN202009300",1,1,1,2,"CCBX","machm001","S49/G4+.1-3",10
"SDN202009300",1,1,2,1,"BBSX","hosme001","8/SF/F8XD.3-H",11
"SDN202009300",1,1,1,2,"CBCFS","myerw001","K",12
"SDN202009300",1,1,2,2,"FBC1*BX","phamt001","8/F89D",13
"SDN202009300",2,0,2,2,"CBBCS","badeh001","K",14
"SDN202009300",2,0,2,2,"CBSBX","wongk001","43/G4",15
"SDN202009300",2,0,2,2,"CBSBX","edmat001","6/P6MD",16
"SDN202009300",2,1,2,0,"BBX","cronj001","T8/F8XD+",17
"SDN202009300",2,1,2,0,"BBX","nolaa002","9/SF/F9D.3-H",18
"SDN202009300",2,1,2,1,"BCBX","profj001","7/F78XD",19
"SDN202009300",2,1,2,1,"CBBX","grist001","163/G6MD+",20
"SDN202009300",3,0,0,0,"X","goldp001","9/F9L",21
"SDN202009300",3,0,2,2,"CBBFX","carld002","S7/L7",22
"SDN202009300",3,0,2,2,"BB1SFFX","moliy001","D7/L7LD+.1-3",23
"SDN202009300",3,0,1,1,"CBX","dejop001","S8/L8.3-H;2-3",24
"SDN202009300",3,0,1,2,".SBSFX","carpm002","S8/L78D.3-H;1-2",25
"SDN202009300",3,0,2,2,"FFBBX","fowld001","54(1)/FO/G5D.2-3;B-1",26
"SDN202009300",3,0,0,2,"SF1F*S","badeh001","K",27
"SDN202009300",3,1,3,2,"CBBCBFFFX","tatif002","S7/L7D+",28
"SDN202009300",3,1,1,0,"BX","machm001","2/P2F/FL",29
"SDN202009300",3,1,0,0,"X","hosme001","7/F7D",30
"SDN202009300",3,1,1,2,"SCBX","myerw001","S8/L78D.1-3",31
"SDN202009300",3,1,2,2,"BCBFFX","phamt001","S9/G34.3-H;1-2",32
"SDN202009300",3,1,2,1,"CB*BX","cronj001","7/F78",33
"SDN202009300",4,0,1,1,".CBX","wongk001","DGR/L89XD",34
"SDN202009300",4,0,0,2,"CFC","edmat001","K",35
"SDN202009300",4,0,2,2,"FBFFBX","goldp001","63/G6D.2-3",36
"SDN202009300",4,0,3,2,"C*BFF*BB*B","carld002","W",37
"SDN202009300",4,0,0,2,"SSF>*B","moliy001","SB2",38
"SDN202009300",4,0,2,2,"SSF>*B.*BFS","moliy001","K",39
"SDN202009300",4,1,0,2,"CCC","nolaa002","K",40
"SDN202009300",4,1,1,1,"FBX","profj001","53/G56S",41
"SDN202009300",4,1,3,2,"FBBBCFB","grist001","W",42
"SDN202009300",4,1,0,1,".CX","tatif002","9/L9D+",43
"SDN202009300",5,0,0,0,".H","dejop001","HP",44
"SDN202009300",5,0,1,2,"CBCS","carpm002","K",45
"SDN202009300",5,0,0,0,"X","fowld001","S8/G6M.1-2",46
"SDN202009300",5,0,0,2,"SCS","badeh001","K",47
"SDN202009300",5,0,0,1,"CX","wongk001","63/G6M",48
"SDN202009300",5,1,2,2,"BCFBX","machm001","6/P56D",49
"SDN202009300",5,1,2,1,"BBCX","hosme001","3/L3+",50
"SDN202009300",5,1,2,2,"SBBSFC","myerw001","K",51
"SDN202009300",6,0,1,2,".FBFX","edmat001","4/P89S",52
"SDN202009300",6,0,1,2,"SFBX","goldp001","8/F8D",53
"SDN202009300",6,0,3,2,"CBCBBB","carld002","W",54
"SDN202009300",6,0,1,1,"CBX","moliy001","S9/L9S.1-3",55
"SDN202009300",6,0,3,1,"BBBC*B","dejop001","W.1-2",56
"SDN202009300",6,0,3,2,"CBSF*BB>F>S","carpm002","K",57
"SDN202009300",6,1,2,1,"BCBX","phamt001","D8/L89XD+",58
"SDN202009300",6,1,0,0,".H","cronj001","HP",59
"SDN202009300",6,1,0,0,">B","nolaa002","SB3;SB2",60
"SDN202009300",6,1,1,0,">B.X","nolaa002","9/SF/DP/F89.3-H;2X3(935)",61
"SDN202009300",6,1,0,1,"SX","profj001","S5/G5S",62
"SDN202009300",6,1,3,2,"BCBBC>B","grist001","W.1-2",63
"SDN202009300",6,1,1,2,".S*BFS","tatif002","K",64
"SDN202009300",7,0,3,2,".FBBFBX","fowld001","8/F8D",65
"SDN202009300",7,0,2,2,"CBBCS","badeh001","K",66
"SDN202009300",7,0,1,2,"CFBX","wongk001","8/L1S",67
"SDN202009300",7,1,1,1,"CBX","machm001","7/L78D",68
"SDN202009300",7,1,0,2,"SFS","hosme001","K",69
"SDN202009300",7,1,3,1,"BBFBB","myerw001","W",70
"SDN202009300",7,1,3,2,"CBFBB>X","phamt001","63/G6D",71
"SDN202009300",8,0,1,1,".BSX","edmat001","13/G34S",72
"SDN202009300",8,0,1,2,"BCSX","goldp001","53/G56S",73
"SDN202009300",8,0,0,2,"CS*S","carld002","K.BX1(23)",74
"SDN202009300",8,1,0,2,".FSFH","cronj001","HP",75
"SDN202009300",8,1,1,0,"BX","nolaa002","9/F9",76
"SDN202009300",8,1,0,1,"CX","profj001","S8/L89D.1-3",77
"SDN202009300",8,1,1,1,"BS1X","grist001","FC/G3S.1X3(352);B-2",78
"SDN202009300",8,1,1,1,".CBX","tatif002","63/G6",79
"SDN202009300",9,0,1,0,".BX","moliy001","9/L89D+",80
"SDN202009300",9,0,3,2,"CSFBBBB","dejop001","W",81
"SDN202009300",9,0,3,0,"BBBB","carpm002","W.1-2",82
"SDN202009300",9,0,2,1,"FBBX","fowld001","S9/G34+.2-H;1-3",83
"SDN202009300",9,0,2,2,".BFSBT","badeh001","K",84
"SDN202009300",9,0,0,0,"X","wongk001","6/L6MD",85
"SDN202009300",9,1,3,1,".BCBBX","machm001","63/G6D+",86
"SDN202009300",9,1,1,0,"BX","hosme001","6/L6D",87
"SDN202009300",9,1,2,2,"BBSCFX","myerw001","8/F78XD+",88
"SDN202010010",1,0,2,2,"CBFBX","wongk001","31/G34",1
"SDN202010010",1,0,2,2,"CFBBX","edmat001","S8/G4M",2
"SDN202010010",1,0,3,2,"*BCBCB>F>F>X","goldp001","543/G25+.1-2",3
"SDN202010010",1,0,3,2,"C*B*BCBB","carld002","W",4
"SDN202010010",1,0,1,2,"CBSX","moliy001","S9/G3.2-H;1-3",5
"SDN202010010",1,0,1,0,"*BX","dejop001","54(1)/FO/G5.B-1",6
"SDN202010010",1,1,1,2,"CCBX","grist001","3/G3",7
"SDN202010010",1,1,2,2,"BBSFX","tatif002","S7/G56",8
"SDN202010010",1,1,0,1,"1CX","machm001","46(1)3/GDP/G34",9
"SDN202010010",2,0,3,2,"BBCCBX","carpm002","D9/L9LD+",10
"SDN202010010",2,0,1,2,"SBCS","fowld001","K",11
