"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"NYA202007310","20200731",0,705,"T","N","BOS","NYA","NYC21","whitc901","carlm901","hoyej901",0,"",0,1,79,0,4,0,1,2,188,"montj004","weber001",""
"NYA202008010","20200801",0,707,"T","N","BOS","NYA","NYC21","carlm901","hoyej901","estam901",0,"",0,1,83,0,10,0,1,2,187,"nelsn001","godlz001","haled001"
"NYA202008020","20200802",0,708,"T","N","BOS","NYA","NYC21","hoyej901","estam901","whitc901",0,"",0,1,88,8,15,0,1,2,192,"ottaa001","barnm001","britz001"
"NYA202008030","20200803",0,705,"T","N","PHI","NYA","NYC21","lentn901","herna901","belld901",0,"",0,1,86,3,8,0,1,2,180,"coleg001","arrij001","britz001"
"NYA202008051","20200805",1,405,"T","D","PHI","NYA","PHI13","herna901","littw901","lentn901",0,"",0,1,88,6,2,0,1,2,164,"wheez001","happj001","nerih001"
"NYA202008110","20200811",0,705,"T","N","ATL","NYA","NYC21","kulpr901","ticht901","gonzm901",0,"",0,1,87,4,7,0,1,2,198,"montj004","toust001","britz001"
"NYA202008120","20200812",0,705,"T","N","ATL","NYA","NYC21","ticht901","gonzm901","segac901",0,"",0,1,79,0,1,0,1,2,220,"loaij001","matzt001","britz001"
"NYA202008140","20200814",0,705,"T","N","BOS","NYA","NYC21","fairc901","viscj901","addir901",0,"",0,1,82,5,8,0,1,2,215,"coleg001","brewc002",""
"NYA202008150","20200815",0,707,"T","N","BOS","NYA","NYC21","viscj901","addir901","torrc901",0,"",0,1,76,1,14,0,1,2,185,"paxtj001","eovan001",""
"NYA202008160","20200816",0,708,"T","N","BOS","NYA","NYC21","addir901","torrc901","fairc901",0,"",0,1,70,5,12,0,1,2,186,"happj001","mazzc002","britz001"
"NYA202008170","20200817",0,705,"T","N","BOS","NYA","NYC21","torrc901","fairc901","viscj901",0,"",0,1,74,8,11,0,1,2,166,"kingm002","perem004",""
"NYA202008180","20200818",0,705,"T","N","TBA","NYA","NYC21","fairc901","viscj901","addir901",0,"",0,1,83,2,9,0,1,2,195,"snelb001","tanam001","roe-c001"
"NYA202008190","20200819",0,705,"T","N","TBA","NYA","NYC21","viscj901","addir901","torrc901",0,"",0,1,74,0,3,0,1,1,192,"fairp001","britz001","beekj001"
"NYA202008200","20200820",0,105,"T","D","TBA","NYA","NYC21","addir901","torrc901","fairc901",0,"",0,1,77,4,7,0,1,1,205,"castd002","ottaa001",""
"NYA202008281","20200828",1,405,"T","D","NYN","NYA","NYC21","barkl901","addir901","conrc901",0,"",0,1,86,2,7,0,1,2,150,"lockw001","greec003","diaze006"
"NYA202008290","20200829",0,105,"T","D","NYN","NYA","NYC21","addir901","vanol901","conrc901",0,"",0,1,75,1,11,0,1,2,180,"chapa001","betad001",""
"NYA202008301","20200830",1,105,"T","D","NYN","NYA","NYC21","conrc901","barkl901","rackd901",0,"",0,1,75,2,15,0,1,2,202,"greec003","diaze006",""
"NYA202008310","20200831",0,705,"T","N","TBA","NYA","NYC21","viscj901","ortir901","torrc901",0,"",0,1,73,4,6,0,1,2,201,"glast001","coleg001","castd002"
"NYA202009010","20200901",0,705,"T","N","TBA","NYA","NYC21","ortir901","torrc901","fairc901",0,"",0,1,75,4,11,0,1,2,159,"tanam001","thomr007","chapa001"
"NYA202009020","20200902",0,705,"T","N","TBA","NYA","NYC21","torrc901","fairc901","viscj901",0,"",0,1,79,1,9,0,1,2,225,"curtj003","montj004",""
"NYA202009111","20200911",1,405,"T","D","BAL","NYA","NYC21","dejer901","becka901","millb903",0,"",0,1,76,4,10,0,1,2,122,"coleg001","cobba001",""
"NYA202009112","20200911",2,657,"T","N","BAL","NYA","NYC21","hobep901","millb903","welkb901",0,"",0,1,72,5,9,0,1,1,160,"tanam001","akink001",""
"NYA202009120","20200912",0,105,"T","D","BAL","NYA","NYC21","millb903","welkb901","dejer901",0,"",0,1,70,5,10,0,1,2,191,"holdj002","harvh001",""
"NYA202009130","20200913",0,105,"T","D","BAL","NYA","NYC21","welkb901","dejer901","hobep901",0,"",0,1,75,1,12,0,1,2,164,"britz001","tated001","chapa001"
"NYA202009150","20200915",0,705,"T","N","TOR","NYA","NYC21","nelsj901","tumpj901","buckc901",0,"",0,1,64,1,5,0,1,3,192,"garcd003","walkt004",""
"NYA202009160","20200916",0,705,"T","N","TOR","NYA","NYC21","tumpj901","buckc901","barkl901",0,"",0,1,69,1,7,0,1,2,182,"coleg001","roart001",""
