"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"NYA202007310",1,0,3,2,"BBCSFB*S","pillk001","K",1
"NYA202007310",1,0,1,2,"BSFX","martj006","43/G4",2
"NYA202007310",1,0,0,0,"X","dever001","3/G3",3
"NYA202007310",1,1,1,2,"CBSX","lemad001","53/G56",4
"NYA202007310",1,1,3,2,"BBCFBFX","judga001","63/G6D",5
"NYA202007310",1,1,3,2,"BFBSBFX","torrg001","S7/L7",6
"NYA202007310",1,1,0,1,"CX","stanm004","64(1)/FO/G6+.B-1",7
"NYA202007310",2,0,3,1,"CBBBX","bogax001","4/P89S",8
"NYA202007310",2,0,3,1,"BSBBX","vazqc001","6/P56D",9
"NYA202007310",2,0,2,2,"CCFBFBFX","verda001","13/G1S",10
"NYA202007310",2,1,3,2,"SBSBFBB","hicka001","W",11
"NYA202007310",2,1,2,2,"*BCBFX","voitl001","9/F9S",12
"NYA202007310",2,1,0,1,"FX","urshg001","8/L89XD+",13
"NYA202007310",2,1,3,1,"CBBBB","gardb001","W.1-2",14
"NYA202007310",2,1,1,2,"SFBFFX","higak001","63/G2",15
"NYA202007310",3,0,1,0,"BX","chavm001","HR/F7D",16
"NYA202007310",3,0,0,2,"CC*S","bradj001","K",17
"NYA202007310",3,0,1,2,"BSSFX","peraj003","S4/L4MD",18
"NYA202007310",3,0,0,1,"FX","pillk001","S8/F8.1-2",19
"NYA202007310",3,0,0,0,"X","martj006","9/L89/DP.1X1(93)",20
"NYA202007310",3,1,0,1,"CX","lemad001","S8/G2",21
"NYA202007310",3,1,0,0,"X","judga001","HR/F89XD.1-H",22
"NYA202007310",3,1,0,1,"CX","torrg001","53/G56",23
"NYA202007310",3,1,2,0,"BBX","stanm004","7/F78XD+",24
"NYA202007310",3,1,3,1,"BBBCB","hicka001","W",25
"NYA202007310",3,1,3,2,"1CBS1BB>X","voitl001","13/G1S-",26
"NYA202007310",4,0,0,0,"H","dever001","HP",27
"NYA202007310",4,0,2,1,"C1B*BX","bogax001","S7/L78D+.1-2",28
"NYA202007310",4,0,0,2,"FSC","vazqc001","K",29
"NYA202007310",4,0,1,1,"CBX","verda001","FC1/G1-.2-3;1-2(E1);B-1",30
"NYA202007310",4,0,2,2,".CBBSX","chavm001","54(1)3/GDP/G56",31
"NYA202007310",4,1,0,1,"CX","urshg001","HR/L9D",32
"NYA202007310",4,1,3,2,"BCBBCB","gardb001","W",33
"NYA202007310",4,1,0,1,"1FX","higak001","64(1)/FO/G6.B-1",34
"NYA202007310",4,1,2,0,"..BBX","lemad001","54(1)/FO/G5.B-1",35
"NYA202007310",4,1,2,2,"BBSSS","judga001","K",36
