"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"NYN202007240","20200724",0,410,"T","D","ATL","NYN","NYC20","nauep901","fairc901","torrc901",0,"",0,1,81,3,10,0,1,2,145,"lugos001","martc007","diaze006"
"NYN202007250","20200725",0,410,"T","D","ATL","NYN","NYC20","fairc901","torrc901","addir901",0,"",0,1,89,2,10,0,1,2,201,"jackl001","strih001",""
"NYN202007260","20200726",0,708,"T","N","ATL","NYN","NYC20","torrc901","addir901","nauep901",0,"",0,1,91,3,12,0,1,2,200,"chacj001","porcr001",""
"NYN202007290","20200729",0,710,"T","N","BOS","NYN","NYC20","estam901","whitc901","carlm901",0,"",0,1,84,5,13,0,1,1,224,"hembh001","wilsj004","workb001"
"NYN202007300","20200730",0,707,"T","N","BOS","NYN","NYC20","barbs901","wegnm901","fostm901",0,"",0,1,86,4,6,0,1,2,229,"perem004","matzs001","workb001"
"NYN202008070","20200807",0,710,"T","N","MIA","NYN","NYC20","estam901","whitc901","carlm901",0,"",0,1,77,0,9,0,1,2,214,"tarps001","wachm001","vincn001"
"NYN202008080","20200808",0,710,"T","N","MIA","NYN","NYC20","whitc901","carlm901","hoyej901",0,"",0,1,80,7,9,0,1,1,183,"peted003","castd003",""
"NYN202008090","20200809",0,110,"T","D","MIA","NYN","NYC20","carlm901","hoyej901","estam901",0,"",0,1,85,0,6,0,1,2,189,"degrj001","lopep002","lugos001"
"NYN202008100","20200810",0,710,"T","N","WAS","NYN","NYC20","fairc901","viscj901","addir901",0,"",0,1,84,7,12,0,1,1,179,"corbp001","matzs001",""
"NYN202008110","20200811",0,710,"T","N","WAS","NYN","NYC20","viscj901","addir901","torrc901",0,"",0,1,83,3,7,0,1,2,175,"schem001","porcr001","hudsd001"
