"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"NYN202007240",1,0,2,2,"SSBFBS","acunr001","K",1
"NYN202007240",1,0,0,2,"FCFX","albio001","53/G",2
"NYN202007240",1,0,3,1,"BBCBB","freef001","W",3
"NYN202007240",1,0,2,2,"BSS*BX","ozunm001","53/G",4
"NYN202007240",1,1,3,1,"BCBBX","nimmb001","S8/L+",5
"NYN202007240",1,1,0,1,"FX","mcnej002","3/L+/DP.1X1(3)",6
"NYN202007240",1,1,3,2,"BCBBFX","alonp001","63/G",7
"NYN202007240",2,0,1,2,"FCBS","adamm002","K",8
"NYN202007240",2,0,3,2,"CCBBFBT","rilea001","K",9
"NYN202007240",2,0,0,0,"X","swand001","8/F+",10
"NYN202007240",2,1,1,2,"FSBH","confm001","HP",11
"NYN202007240",2,1,0,2,"CSX","cespy001","2/P/FL",12
"NYN202007240",2,1,1,0,"BX","canor001","46(1)3/GDP/G+",13
"NYN202007240",3,0,2,1,"SBBX","incie001","9/F",14
"NYN202007240",3,0,1,2,"BSCS","jacka002","K",15
"NYN202007240",3,0,0,2,"SCX","acunr001","S8/G",16
"NYN202007240",3,0,3,2,"11PBBCF>F>X","albio001","8/F",17
"NYN202007240",3,1,0,2,"CSS","davij006","K",18
"NYN202007240",3,1,2,2,"BBFFC","ramow001","K",19
"NYN202007240",3,1,0,2,"CFX","rosaa003","53/G",20
"NYN202007240",4,0,0,2,"CSFS","freef001","K",21
"NYN202007240",4,0,3,2,"BBBCFFC","ozunm001","K",22
"NYN202007240",4,0,0,0,"X","adamm002","3/L",23
"NYN202007240",4,1,2,2,"SBBFX","nimmb001","43/G",24
"NYN202007240",4,1,0,0,"X","mcnej002","D9/G",25
"NYN202007240",4,1,0,0,"X","alonp001","FC/G.2X3(65);B-1",26
"NYN202007240",4,1,2,2,"BCSFBX","confm001","63/G",27
"NYN202007240",5,0,2,2,"BSFBS","rilea001","K",28
"NYN202007240",5,0,1,2,"BCSS","swand001","K",29
"NYN202007240",5,0,0,0,"X","incie001","7/F",30
"NYN202007240",5,1,0,0,"X","cespy001","53/G",31
"NYN202007240",5,1,1,2,"BSFX","canor001","S7/L",32
"NYN202007240",5,1,0,2,"FFX","davij006","8/F+",33
"NYN202007240",5,1,0,0,"X","ramow001","54(1)/FO/G.B-1",34
"NYN202007240",6,0,2,2,".BSBSS","jacka002","K",35
"NYN202007240",6,0,2,2,"BSFBFS","acunr001","K",36
"NYN202007240",6,0,0,0,"X","albio001","9/L",37
"NYN202007240",6,1,0,0,"X","rosaa003","S8/L",38
"NYN202007240",6,1,2,1,"F1BB1X","nimmb001","7/F",39
"NYN202007240",6,1,0,1,"1CX","mcnej002","8/F",40
"NYN202007240",6,1,3,2,"CSB>FB1B>S","alonp001","K",41
"NYN202007240",7,0,2,2,"SBBSX","freef001","53/G+",42
"NYN202007240",7,0,1,1,"BSX","ozunm001","D7/L+",43
"NYN202007240",7,0,0,0,"B","adamm002","PB.2-3",44
"NYN202007240",7,0,1,1,"B.SX","adamm002","5/G",45
"NYN202007240",7,0,3,2,"FSB*BBFC","rilea001","K",46
"NYN202007240",7,1,0,0,".X","confm001","8/F",47
"NYN202007240",7,1,0,1,"CX","cespy001","HR/F7",48
"NYN202007240",7,1,1,2,"FFBFS","canor001","K",49
"NYN202007240",7,1,3,2,"FFBBFBX","davij006","53/G",50
"NYN202007240",8,0,0,2,"....FCX","swand001","S9/F",51
"NYN202007240",8,0,2,2,".CBFBFS","duvaa001","K",52
"NYN202007240",8,0,2,1,".BSB>X","camaj001","43/G.1-2",53
"NYN202007240",8,0,1,2,"BCSC","acunr001","K",54
"NYN202007240",8,1,0,0,"....X","ramow001","3/P/FL",55
"NYN202007240",8,1,0,1,"CX","rosaa003","9/F",56
"NYN202007240",8,1,0,0,"X","nimmb001","S8/L",57
"NYN202007240",8,1,3,1,"1FB1*BBX","mcnej002","3/G",58
"NYN202007240",9,0,0,0,".X","albio001","43/G",59
"NYN202007240",9,0,3,1,"BBBFB","freef001","W",60
"NYN202007240",9,0,0,2,"SFC","ozunm001","K",61
"NYN202007240",9,0,1,2,"BFFS","adamm002","K",62
"NYN202007250",1,0,2,2,"SCBBFX","acunr001","9/F",1
"NYN202007250",1,0,1,0,"BX","albio001","E5/G7S+.B-1",2
"NYN202007250",1,0,2,2,"B1FBSX","freef001","56(1)3/GDP/G",3
"NYN202007250",1,1,0,0,"X","mcnej002","7/F",4
"NYN202007250",1,1,2,0,"BBX","davij006","9/L",5
"NYN202007250",1,1,1,2,"BCCS","alonp001","K",6
"NYN202007250",2,0,2,2,"BBFFS","ozunm001","K",7
"NYN202007250",2,0,1,2,"CCBX","duvaa001","HR/L9",8
"NYN202007250",2,0,3,1,"BBBCX","swand001","53/G",9
"NYN202007250",2,0,1,2,"CSFBX","camaj001","7/F",10
"NYN202007250",2,1,3,2,"BBCBFS","cespy001","K",11
"NYN202007250",2,1,3,2,"BBFBSFX","canor001","9/F",12
"NYN202007250",2,1,3,0,"BBBB","ramow001","W",13
"NYN202007250",2,1,3,2,"CB*BF*B>B","confm001","W.1-2",14
"NYN202007250",2,1,1,2,"B.FS*S","rosaa003","K",15
"NYN202007250",3,0,0,1,"CX","rilea001","9/F",16
"NYN202007250",3,0,3,2,"FBBFBS","jacka002","K",17
"NYN202007250",3,0,2,2,"FFBBX","acunr001","6/L",18
"NYN202007250",3,1,0,1,"CX","nimmb001","7/L",19
"NYN202007250",3,1,1,1,"BSX","mcnej002","13/G",20
"NYN202007250",3,1,0,0,"X","davij006","43/G",21
"NYN202007250",4,0,0,0,"X","albio001","53/G",22
"NYN202007250",4,0,3,2,"BCBBFB","freef001","W",23
"NYN202007250",4,0,0,1,"FX","ozunm001","9/F",24
"NYN202007250",4,0,3,2,"*BCBBC>S","duvaa001","K",25
"NYN202007250",4,1,3,0,"BBBX","alonp001","13/G",26
"NYN202007250",4,1,1,2,"CBCS","cespy001","K",27
"NYN202007250",4,1,0,1,"FX","canor001","3/G-",28
"NYN202007250",5,0,1,2,"BSSS","swand001","K",29
"NYN202007250",5,0,2,2,"CBSFFBX","camaj001","S7/L+",30
"NYN202007250",5,0,3,2,"BCBFBX","rilea001","54(1)3/GDP/G",31
"NYN202007250",5,1,3,2,"BBCBSX","ramow001","9/F",32
"NYN202007250",5,1,0,0,"X","confm001","D7/L+",33
"NYN202007250",5,1,0,0,"X","rosaa003","T8/L.2-H",34
"NYN202007250",5,1,0,1,"FH","nimmb001","HP",35
"NYN202007250",5,1,0,0,"X","mcnej002","7/SF/F.3-H",36
"NYN202007250",5,1,1,2,"F1SFBS","davij006","K",37
"NYN202007250",6,0,0,2,"CSS","jacka002","K",38
"NYN202007250",6,0,3,2,"FBBFFBFS","acunr001","K",39
"NYN202007250",6,0,2,2,"BCFBS","albio001","K",40
"NYN202007250",6,1,1,2,".FBCFFS","alonp001","K",41
"NYN202007250",6,1,2,2,"CBBCS","cespy001","K",42
"NYN202007250",6,1,2,1,"BBFX","canor001","6/P",43
"NYN202007250",7,0,1,1,".BFX","freef001","53/G",44
"NYN202007250",7,0,1,1,"BCX","ozunm001","3/P/FL",45
"NYN202007250",7,0,0,2,"CFX","duvaa001","53/G",46
