"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"NYN202007240",0,0,"degrj001",1,34
"NYN202007240",1,0,"sorom001",1,46
"NYN202007240",0,0,"lugos001",1,50
"NYN202007240",0,1,"nimmb001",8,50
"NYN202007240",0,6,"canor001",4,50
"NYN202007240",0,7,"davij006",7,50
"NYN202007240",0,8,"incie001",8,51
"NYN202007240",0,9,"jacka002",2,52
"NYN202007240",1,1,"acunr001",9,54
"NYN202007240",1,8,"duvaa001",11,54
"NYN202007240",1,9,"camaj001",11,54
"NYN202007240",1,0,"martc007",1,54
"NYN202007240",0,0,"wilsj004",1,58
"NYN202007250",1,0,"friem001",1,40
"NYN202007250",0,0,"matzs001",1,43
"NYN202007250",1,0,"tomlj001",1,47
"NYN202007250",0,2,"davij006",7,51
"NYN202007250",0,5,"canor001",4,51
"NYN202007250",0,9,"nimmb001",8,51
"NYN202007250",0,0,"famij001",1,51
"NYN202007250",0,9,"jacka002",2,54
"NYN202007250",0,8,"rilea001",7,54
"NYN202007250",0,0,"betad001",1,54
"NYN202007250",0,9,"adamm002",11,55
"NYN202007250",1,1,"acunr001",8,56
"NYN202007250",1,5,"duvaa001",9,56
"NYN202007250",1,8,"incie001",12,56
"NYN202007250",1,9,"culbc001",12,56
"NYN202007250",1,0,"minta001",1,56
"NYN202007250",1,4,"cespy001",10,59
"NYN202007250",0,0,"wilsj004",1,61
"NYN202007250",1,0,"odayd001",1,65
"NYN202007250",0,0,"diaze006",1,70
"NYN202007250",0,0,"strih001",1,74
"NYN202007250",1,5,"gimea001",4,79
"NYN202007260",0,0,"porcr001",1,26
"NYN202007260",1,0,"newcs001",1,43
"NYN202007260",0,2,"mcnej002",5,63
"NYN202007260",0,7,"canor001",4,63
"NYN202007260",0,0,"oswac001",1,63
"NYN202007260",1,4,"ozunm001",7,69
"NYN202007260",0,5,"confm001",9,72
"NYN202007260",1,3,"freef001",3,75
"NYN202007260",1,6,"swand001",6,75
"NYN202007260",1,0,"chacj001",1,75
"NYN202007260",1,5,"nunee002",9,77
"NYN202007260",0,5,"marij002",12,79
"NYN202007260",0,9,"nimmb001",8,79
"NYN202007260",0,0,"sewap001",1,79
"NYN202007260",1,0,"matzt001",1,83
"NYN202007260",1,1,"rosaa003",6,85
"NYN202007290",1,0,"eovan001",1,47
"NYN202007290",0,0,"degrj001",1,52
"NYN202007290",1,0,"waldm002",1,56
"NYN202007290",1,5,"smitd008",7,60
"NYN202007290",1,0,"osicj001",1,60
"NYN202007290",0,5,"davij006",11,61
"NYN202007290",0,0,"lugos001",1,61
"NYN202007290",0,8,"bradj001",8,61
"NYN202007290",0,9,"lin-t001",6,62
"NYN202007290",0,9,"bogax001",11,63
"NYN202007290",0,0,"wilsj004",1,69
"NYN202007290",1,7,"peraj003",4,70
"NYN202007290",1,8,"pillk001",11,70
"NYN202007290",1,9,"arauj001",12,70
"NYN202007290",1,0,"hembh001",1,70
"NYN202007290",1,9,"river003",2,73
"NYN202007290",0,9,"ramow001",11,74
"NYN202007290",0,0,"betad001",1,74
"NYN202007290",1,0,"barnm001",1,78
"NYN202007300",0,0,"matzs001",1,47
"NYN202007300",1,0,"perem004",1,52
"NYN202007300",1,7,"dozib001",4,56
"NYN202007300",1,7,"canor001",11,57
"NYN202007300",0,3,"mcnej002",5,61
"NYN202007300",0,7,"gimea001",12,61
"NYN202007300",0,0,"smitd009",1,61
"NYN202007300",1,0,"hembh001",1,64
"NYN202007300",1,4,"davij006",7,67
"NYN202007300",0,4,"cordr001",12,71
"NYN202007300",0,9,"nimmb001",8,71
"NYN202007300",0,0,"famij001",1,71
"NYN202007300",0,9,"arauj001",4,74
"NYN202007300",0,0,"diaze006",1,76
"NYN202007300",1,1,"peraj003",5,78
"NYN202007300",1,9,"dever001",11,78
"NYN202007300",1,0,"barnm001",1,78
"NYN202008070",1,0,"mejih001",1,26
"NYN202008070",1,0,"shafj001",1,42
"NYN202008070",0,0,"wachm001",1,44
"NYN202008070",1,0,"tarps001",1,55
"NYN202008070",0,0,"shrec001",1,58
"NYN202008070",0,6,"joycm001",9,61
"NYN202008070",1,6,"brinl001",12,62
"NYN202008070",1,0,"hoytj001",1,63
"NYN202008070",1,1,"nimmb001",8,63
"NYN202008070",1,0,"bleir001",1,67
"NYN202008070",0,1,"dozib001",11,70
"NYN202008070",0,0,"hughj001",1,70
"NYN202008080",1,0,"castd003",1,41
"NYN202008080",0,0,"peted003",1,43
"NYN202008080",0,7,"brinl001",9,46
"NYN202008080",0,0,"famij001",1,48
"NYN202008080",1,7,"joycm001",11,50
"NYN202008080",1,0,"hoytj001",1,50
"NYN202008080",0,0,"smitd009",1,54
"NYN202008080",1,0,"morab001",1,61
"NYN202008080",0,2,"mcnej002",7,64
"NYN202008080",0,8,"dozib001",4,64
"NYN202008080",0,0,"gselr001",1,64
"NYN202008080",1,0,"smitj004",1,67
"NYN202008080",0,0,"lugos001",1,71
"NYN202008090",0,0,"degrj001",1,52
"NYN202008090",1,0,"lopep002",1,57
"NYN202008090",1,0,"tarps001",1,61
"NYN202008090",0,0,"hughj001",1,62
"NYN202008090",0,0,"betad001",1,70
"NYN202008090",1,0,"morim002",1,75
"NYN202008090",0,0,"diaze006",1,78
"NYN202008090",0,1,"nimmb001",8,78
"NYN202008090",0,2,"mcnej002",7,78
"NYN202008100",0,0,"matzs001",1,36
"NYN202008100",0,0,"sewap001",1,51
"NYN202008100",1,1,"turnt001",6,56
"NYN202008100",1,2,"harrj002",9,56
"NYN202008100",1,4,"sotoj001",7,56
"NYN202008100",0,5,"confm001",9,63
"NYN202008100",0,6,"ramow001",2,63
"NYN202008100",0,7,"nimmb001",8,63
"NYN202008100",1,0,"corbp001",1,68
"NYN202008100",0,0,"shrec001",1,71
"NYN202008100",0,0,"smitd009",1,79
"NYN202008100",1,0,"suerw002",1,82
"NYN202008110",0,0,"porcr001",1,48
"NYN202008110",1,0,"schem001",1,51
"NYN202008110",1,9,"hamib001",8,52
"NYN202008110",1,0,"guerj002",1,54
"NYN202008110",0,1,"nimmb001",7,55
"NYN202008110",0,5,"smitd008",3,55
"NYN202008110",0,9,"alonp001",11,55
"NYN202008110",0,0,"hughj001",1,61
"NYN202008110",1,0,"raint003",1,65
"NYN202008120",0,0,"gselr001",1,23
"NYN202008120",1,0,"sanca004",1,31
"NYN202008120",0,0,"shrec001",1,33
"NYN202008120",1,0,"frees001",1,37
"NYN202008120",0,0,"famij001",1,48
"NYN202008120",1,0,"finnk001",1,52
"NYN202008120",0,0,"wilsj004",1,60
"NYN202008120",0,9,"roblv001",8,61
"NYN202008120",1,9,"taylm002",11,63
"NYN202008120",1,0,"harpr001",1,63
"NYN202008120",0,0,"betad001",1,67
"NYN202008120",0,1,"nimmb001",8,67
"NYN202008120",0,0,"smitd009",1,77
"NYN202008130",1,3,"mcnej002",7,8
"NYN202008130",0,1,"nimmb001",8,11
"NYN202008130",0,3,"hamib001",11,11
"NYN202008130",1,0,"votha001",1,41
"NYN202008130",0,0,"peted003",1,48
"NYN202008130",1,0,"romes002",1,57
"NYN202008130",0,0,"hughj001",1,66
"NYN202008130",1,0,"suerw002",1,71
"NYN202008130",0,0,"diaze006",1,77
"NYN202008251",0,0,"porcr001",1,29
"NYN202008251",1,0,"castd003",1,46
"NYN202008251",1,0,"bleir001",1,50
"NYN202008251",1,0,"boxbb001",1,58
"NYN202008251",1,8,"brinl001",8,58
"NYN202008251",1,3,"dickc002",7,58
"NYN202008260",1,0,"herne002",1,40
"NYN202008260",1,0,"leibb001",1,47
"NYN202008260",0,1,"nimmb001",8,57
"NYN202008260",0,4,"smitd008",7,57
"NYN202008260",0,0,"degrj001",1,57
"NYN202008260",0,2,"joycm001",9,61
"NYN202008260",0,0,"wilsj004",1,61
"NYN202008260",0,2,"brinl001",11,61
"NYN202008260",0,0,"diaze006",1,64
"NYN202008260",1,2,"sancj003",11,66
"NYN202008260",1,0,"tinoj001",1,66
"NYN202008260",1,5,"canor001",10,67
"NYN202008282",1,0,"loaij001",1,29
