"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"OAK202007240","20200724",0,710,"T","N","ANA","OAK","OAK01","knigb901","muchm901","woodt901",0,"",0,1,63,0,13,0,1,2,226,"smitb005","roblh001",""
"OAK202007250","20200725",0,110,"T","D","ANA","OAK","OAK01","muchm901","woodt901","hamaa901",0,"",0,1,75,3,12,0,1,1,147,"bundd001","manas001","roblh001"
"OAK202007260","20200726",0,110,"T","D","ANA","OAK","OAK01","hudsm901","hamaa901","knigb901",0,"",0,1,73,3,7,0,1,2,182,"petiy001","ohtas001","hendl001"
"OAK202007270","20200727",0,1240,"T","D","ANA","OAK","OAK01","hamaa901","knigb901","muchm901",0,"",0,1,68,0,10,0,1,1,179,"smitb005","canng001","sorij001"
"OAK202007280","20200728",0,640,"T","N","COL","OAK","OAK01","libkj901","reynj901","wolfj901",0,"",0,1,67,0,9,0,1,1,178,"senza001","mengd001",""
"OAK202007290","20200729",0,1240,"T","D","COL","OAK","OAK01","reynj901","wolfj901","barrl901",0,"",0,1,70,4,9,0,1,2,175,"marqg001","montf001",""
"OAK202008040","20200804",0,610,"T","N","TEX","OAK","OAK01","drakr901","millb901","mosce901",0,"",0,1,63,4,12,0,1,2,172,"hendl001","volqe001",""
"OAK202008050","20200805",0,610,"T","N","TEX","OAK","OAK01","millb901","mosce901","eddid901",0,"",0,1,63,0,5,0,1,2,175,"mcfat001","gibai001","sorij001"
"OAK202008060","20200806",0,1240,"T","D","TEX","OAK","OAK01","mosce901","eddid901","drakr901",0,"",0,1,70,3,11,0,1,1,159,"fierm001","minom001","hendl001"
"OAK202008070","20200807",0,610,"T","N","HOU","OAK","OAK01","johna901","wolcq901","mahrn901",0,"",0,1,70,0,13,0,1,1,253,"wendj001","sneec001",""
"OAK202008080","20200808",0,110,"T","D","HOU","OAK","OAK01","wolcq901","mahrn901","barrt901",0,"",0,1,75,0,4,0,1,2,144,"montf001","valdf001","hendl001"
"OAK202008090","20200809",0,110,"T","D","HOU","OAK","OAK01","mahrn901","barrt901","johna901",0,"",0,1,79,4,12,0,1,1,178,"luzaj001","javic001","smitb005"
"OAK202008190","20200819",0,640,"T","N","ARI","OAK","OAK01","moorm901","hudsm901","knigb901",0,"",0,1,79,0,14,0,1,1,177,"luzaj001","kellm002","hendl001"
"OAK202008200","20200820",0,640,"T","N","ARI","OAK","OAK01","hudsm901","knigb901","muchm901",0,"",0,1,73,0,12,0,1,2,169,"manas001","youna002",""
"OAK202008210","20200821",0,640,"T","N","ANA","OAK","OAK01","morag901","libkj901","reynj901",0,"",0,1,77,4,14,0,1,1,187,"fierm001","heana001","hendl001"
"OAK202008220","20200822",0,110,"T","D","ANA","OAK","OAK01","libkj901","reynj901","barrl901",0,"",0,1,80,4,10,0,1,1,186,"andrm001","bassc001","buttt001"
