"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"OAK202007240",1,0,1,2,"CBFS","fletd002","K",1
"OAK202007240",1,0,1,0,"BH","troum001","HP",2
"OAK202007240",1,0,3,1,"SBBB1X","ohtas001","S8/L.1-2",3
"OAK202007240",1,0,3,2,"CBBBSFC","uptoj001","K",4
"OAK202007240",1,0,3,1,"BBBCB","lastt001","W.2-3;1-2",5
"OAK202007240",1,0,2,2,".BSFBS","pujoa001","K",6
"OAK202007240",1,1,0,1,"CX","semim001","4/P",7
"OAK202007240",1,1,3,2,"FBCBBC","laurr001","K",8
"OAK202007240",1,1,1,1,"CBX","chapm001","5/L+",9
"OAK202007240",2,0,2,2,"CBCBFS","castj006","K",10
"OAK202007240",2,0,3,2,"CBBFBX","simma001","7/L",11
"OAK202007240",2,0,2,2,"BBCSS","goodb001","K",12
"OAK202007240",2,1,1,2,"FBSX","davik003","8/F+",13
"OAK202007240",2,1,3,2,"BBFSBFS","olsom001","K",14
"OAK202007240",2,1,2,0,"BBX","pindc001","9/F",15
"OAK202007240",3,0,0,2,"CCX","fletd002","63/G",16
"OAK202007240",3,0,1,0,"BX","troum001","S9/L+",17
"OAK202007240",3,0,0,2,"C1CX","ohtas001","64(1)/FO/G.B-1",18
"OAK202007240",3,0,0,2,"FCX","uptoj001","64(1)/FO/G.B-1",19
"OAK202007240",3,1,1,0,"BX","canhm001","5/P+",20
"OAK202007240",3,1,3,2,"BBFFBFX","piscs001","9/F",21
"OAK202007240",3,1,3,2,"CBSBBFS","murps001","K",22
"OAK202007240",4,0,1,1,"CBX","lastt001","31/G",23
"OAK202007240",4,0,3,1,"BCBBB","pujoa001","W",24
"OAK202007240",4,0,3,1,"BBBCB","castj006","W.1-2",25
"OAK202007240",4,0,2,2,"CBBCFFX","simma001","8/F",26
"OAK202007240",4,0,3,1,"BBBSX","goodb001","S9/L.2-H;1XH(9362)",27
"OAK202007240",4,1,0,2,"FCS","semim001","K",28
"OAK202007240",4,1,1,2,"BSSFX","laurr001","HR/L7",29
"OAK202007240",4,1,0,0,"X","chapm001","7/L",30
"OAK202007240",4,1,1,2,"SSBS","davik003","K",31
"OAK202007240",5,0,0,2,".CFX","fletd002","S8/G",32
"OAK202007240",5,0,2,2,"B1CCB*S","troum001","K",33
"OAK202007240",5,0,0,0,"1X","ohtas001","64(1)/FO/G.B-1",34
"OAK202007240",5,0,0,1,"CX","uptoj001","64(1)/FO/G.B-1",35
"OAK202007240",5,1,2,2,"CSFBBX","olsom001","S9/G+",36
"OAK202007240",5,1,0,1,"CX","pindc001","9/L+",37
"OAK202007240",5,1,2,2,"BBFFT","canhm001","K",38
"OAK202007240",5,1,3,2,"..FBSBF*B>B","piscs001","W.1-2",39
"OAK202007240",5,1,3,1,"BBCBB","murps001","W.2-3;1-2",40
"OAK202007240",5,1,3,1,".*BBBCX","semim001","6/P",41
"OAK202007240",6,0,2,1,".BBCX","lastt001","31/G",42
"OAK202007240",6,0,3,2,"BBBCFX","pujoa001","53/G",43
"OAK202007240",6,0,1,1,"BFX","castj006","7/F",44
"OAK202007240",6,1,3,1,".BBSBB","laurr001","W",45
"OAK202007240",6,1,0,0,"X","chapm001","4/P",46
"OAK202007240",6,1,0,0,"X","davik003","54(1)3/GDP/G",47
"OAK202007240",7,0,0,2,".FCFFX","simma001","E5/TH/G.B-2",48
"OAK202007240",7,0,3,1,"BSBBX","goodb001","9/F.2-3",49
"OAK202007240",7,0,1,1,"BCX","fletd002","8/SF/L.3-H(UR)",50
"OAK202007240",7,0,1,0,"BX","troum001","13/G-/FL",51
"OAK202007240",7,1,2,2,".BCSBS","olsom001","K",52
"OAK202007240",7,1,1,0,"BX","pindc001","S7/L",53
"OAK202007240",7,1,2,2,".CFB1*B11FS","canhm001","K",54
"OAK202007240",7,1,0,1,"SX","piscs001","8/L",55
"OAK202007240",8,0,1,0,"..BX","ohtas001","7/L+",56
"OAK202007240",8,0,1,2,"FBTX","uptoj001","7/F",57
"OAK202007240",8,0,0,0,"X","lastt001","8/L",58
