"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"OAK202007240",0,0,"montf001",1,31
"OAK202007240",1,0,"heana001",1,38
"OAK202007240",0,0,"petiy001",1,41
"OAK202007240",1,0,"ramin002",1,44
"OAK202007240",0,0,"mcfat001",1,47
"OAK202007240",1,0,"mayem001",1,51
"OAK202007240",1,6,"pindc001",4,53
"OAK202007240",0,6,"kempt001",12,55
"OAK202007240",0,0,"sorij001",1,55
"OAK202007240",1,4,"uptoj001",7,58
"OAK202007240",1,0,"barnj002",1,58
"OAK202007240",1,9,"murps001",2,58
"OAK202007240",1,0,"buttt001",1,64
"OAK202007240",1,6,"kempt001",4,65
"OAK202007240",0,6,"barrf001",11,67
"OAK202007240",0,9,"grosr001",11,67
"OAK202007240",0,0,"diekj001",1,67
"OAK202007240",1,0,"buchr001",1,74
"OAK202007240",0,0,"hendl001",1,78
"OAK202007240",0,4,"hermm001",7,78
"OAK202007240",1,4,"walsj001",11,83
"OAK202007240",1,6,"pujoa001",3,83
"OAK202007240",1,0,"roblh001",1,87
"OAK202007250",0,0,"manas001",1,33
"OAK202007250",0,0,"wendj001",1,38
"OAK202007250",1,0,"bundd001",1,51
"OAK202007250",1,0,"middk001",1,58
"OAK202007250",0,0,"luzaj001",1,62
"OAK202007250",1,0,"buttt001",1,65
"OAK202007260",1,0,"ohtas001",1,11
"OAK202007260",0,0,"fierm001",1,38
"OAK202007260",0,0,"petiy001",1,46
"OAK202007260",1,0,"andrm001",1,51
"OAK202007260",0,8,"thaim001",10,53
"OAK202007260",0,0,"mcfat001",1,53
"OAK202007260",0,0,"sorij001",1,60
"OAK202007260",0,5,"walsj001",3,62
"OAK202007260",0,0,"diekj001",1,63
"OAK202007260",1,8,"wardt002",10,64
"OAK202007260",1,5,"hermm001",11,64
"OAK202007270",0,0,"bassc001",1,35
"OAK202007270",1,0,"canng001",1,41
"OAK202007270",0,0,"smitb005",1,50
"OAK202007270",0,7,"castj006",2,50
"OAK202007270",0,9,"goodb001",9,52
"OAK202007270",0,0,"mcfat001",1,53
"OAK202007270",1,7,"wardt002",11,54
"OAK202007270",1,9,"stasm001",11,54
"OAK202007270",0,0,"petiy001",1,57
"OAK202007270",1,0,"penaf002",1,62
"OAK202007270",0,0,"diekj001",1,67
"OAK202007270",0,8,"simma001",6,69
"OAK202007280",0,0,"mengd001",1,38
"OAK202007280",1,0,"senza001",1,53
"OAK202007280",1,0,"kinlt001",1,59
