"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"PHI202007240","20200724",0,705,"T","N","MIA","PHI","PHI13","timmt901","reybd901","blakr901",0,"",0,1,75,2,7,0,1,2,190,"alcas001","nolaa001","kintb001"
"PHI202007250","20200725",0,405,"T","D","MIA","PHI","PHI13","reybd901","blakr901","ortir901",0,"",0,1,86,2,6,0,1,2,174,"wheez001","vesia001",""
"PHI202007260","20200726",0,105,"T","D","MIA","PHI","PHI13","blakr901","ortir901","timmt901",0,"",0,1,90,2,9,0,1,2,224,"tarps001","irvic001",""
"PHI202008052","20200805",2,333,"T","D","NYA","PHI","PHI13","belld901","lentn901","becka901",0,"",0,1,82,0,7,0,1,1,158,"ottaa001","huntt002","britz001"
"PHI202008060","20200806",0,605,"T","N","NYA","PHI","PHI13","littw901","lentn901","herna901",0,"",0,1,81,7,7,0,1,3,202,"guerd001","montj004","nerih001"
"PHI202008080","20200808",0,605,"T","N","ATL","PHI","PHI13","kulpr901","ticht901","gonzm901",0,"",0,1,84,0,2,0,1,2,151,"arrij001","wrigk001",""
"PHI202008091","20200809",1,105,"T","D","ATL","PHI","PHI13","ticht901","barbs901","segac901",0,"",0,1,87,3,6,0,1,2,179,"matzt001","guerd001","melam001"
"PHI202008092","20200809",2,333,"T","D","ATL","PHI","PHI13","gonzm901","segac901","kulpr901",0,"",0,1,86,3,6,0,1,2,149,"friem001","howas003",""
"PHI202008100","20200810",0,605,"T","N","ATL","PHI","PHI13","segac901","kulpr901","ticht901",0,"",0,1,90,3,8,0,1,2,174,"nolaa001","newcs001",""
"PHI202008110","20200811",0,705,"T","N","BAL","PHI","PHI13","hobep901","dejer901","barbs901",0,"",0,1,88,3,10,0,1,2,240,"sulsc001","guerd001","lakit001"
"PHI202008120","20200812",0,705,"T","N","BAL","PHI","PHI13","dejer901","barbs901","welkb901",0,"",0,1,74,2,4,0,1,2,208,"armss001","efliz001","sulsc001"
"PHI202008130","20200813",0,405,"T","D","BAL","PHI","PHI13","barbs901","welkb901","hobep901",0,"",0,1,77,8,5,0,1,2,209,"eshet001","arrij001",""
"PHI202008140","20200814",0,705,"T","N","NYN","PHI","PHI13","wegnm901","fostm901","porta901",0,"",0,1,84,3,11,0,1,1,204,"nerih001","lugos001",""
"PHI202008150","20200815",0,605,"T","N","NYN","PHI","PHI13","fostm901","porta901","barbs901",0,"",0,1,79,8,4,0,1,3,165,"nolaa001","matzs001",""
"PHI202008160","20200816",0,105,"T","D","NYN","PHI","PHI13","porta901","barbs901","wegnm901",0,"",0,1,70,7,11,0,1,3,177,"wheez001","porcr001",""
"PHI202008280","20200828",0,705,"T","N","ATL","PHI","PHI13","welkb901","hobep901","dejer901",0,"",0,1,72,3,5,0,4,3,247,"parkb001","melam001",""
"PHI202008290","20200829",0,115,"T","D","ATL","PHI","PHI13","hobep901","dejer901","ortir901",0,"",0,1,75,3,9,0,1,3,153,"efliz001","tomlj001","workb001"
"PHI202008300","20200830",0,708,"T","N","ATL","PHI","PHI13","dejer901","ortir901","welkb901",0,"",0,1,77,3,10,0,1,2,253,"minta001","arrij001","melam001"
"PHI202008310","20200831",0,705,"T","N","WAS","PHI","PHI13","whitc901","carlm901","hoyej901",0,"",0,1,71,2,5,0,1,3,168,"howas003","fedde001",""
"PHI202009010","20200901",0,705,"T","N","WAS","PHI","PHI13","carlm901","hoyej901","estam901",0,"",0,1,76,1,4,0,1,2,194,"nolaa001","corbp001",""
"PHI202009020","20200902",0,705,"T","N","WAS","PHI","PHI13","hoyej901","estam901","whitc901",0,"",0,1,83,2,8,0,1,2,170,"wheez001","schem001","workb001"
"PHI202009030","20200903",0,405,"T","D","WAS","PHI","PHI13","estam901","whitc901","carlm901",0,"",0,1,90,3,9,0,1,2,230,"parkb001","dools001",""
"PHI202009081","20200908",1,405,"T","D","BOS","PHI","PHI13","may-b901","willr901","becka901",0,"",0,1,86,1,8,0,1,1,169,"nerih001","barnm001",""
"PHI202009082","20200908",2,744,"T","N","BOS","PHI","PHI13","fleta901","becka901","iassd901",0,"",0,1,82,1,7,0,1,1,156,"mazzc002","pheld001","waldm002"
"PHI202009150","20200915",0,705,"T","N","NYN","PHI","PHI13","barbs901","porta901","wegnm901",0,"",0,1,64,0,2,0,1,1,178,"arrij001","porcr001","nerih001"
"PHI202009160","20200916",0,705,"T","N","NYN","PHI","PHI13","porta901","wegnm901","becka901",0,"",0,1,70,2,7,0,1,2,197,"castm002","nerih001","diaze006"
"PHI202009170","20200917",0,705,"T","N","NYN","PHI","PHI13","wegnm901","becka901","barbs901",0,"",0,1,73,7,3,0,1,2,252,"wilsj004","workb001",""
"PHI202009182","20200918",2,732,"T","N","TOR","PHI","PHI13","dejer901","conrc901","millb903",0,"",0,1,68,6,13,0,1,2,194,"brogc001","dolir001","nerih001"
"PHI202009190","20200919",0,605,"T","N","TOR","PHI","PHI13","conrc901","millb903","hobep901",0,"",0,1,63,8,9,0,1,1,196,"velav001","ryu-h001","huntt002"
"PHI202009200","20200920",0,305,"T","D","TOR","PHI","PHI13","millb903","hobep901","dejer901",0,"",0,1,65,7,12,0,1,1,208,"walkt004","media001","bassa001"
