"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"PHI202007240",1,0,3,2,"BBSCFBFX","villj001","3/G",1
"PHI202007240",1,0,0,2,"CSX","aguij001","3/P/FL",2
"PHI202007240",1,0,1,1,"BSX","dickc002","53/G",3
"PHI202007240",1,1,2,1,"BBCX","mccua001","43/G+",4
"PHI202007240",1,1,2,2,"BCSFBS","hoskr001","K",5
"PHI202007240",1,1,1,2,"FFBS","harpb003","K",6
"PHI202007240",2,0,0,2,"FCS","ramih004","K",7
"PHI202007240",2,0,0,0,"X","andeb006","53/G",8
"PHI202007240",2,0,0,2,"CCFFX","coopg002","9/F",9
"PHI202007240",2,1,2,2,"BCSBC","realj001","K",10
"PHI202007240",2,1,3,1,"BBBCX","gregd001","63/G",11
"PHI202007240",2,1,1,1,"CBX","seguj002","63/G",12
"PHI202007240",3,0,0,2,"SCS","diazi001","K",13
"PHI202007240",3,0,0,1,"CX","cervf001","S7/L",14
"PHI202007240",3,0,1,1,">FBX","rojam002","S49/G.1-3",15
"PHI202007240",3,0,3,0,"B1BBX","villj001","8/SF/F.3-H",16
"PHI202007240",3,0,0,0,">C","aguij001","SB2",17
"PHI202007240",3,0,0,2,">C.FFC","aguij001","K",18
"PHI202007240",3,1,0,2,"CFX","brucj001","7/F",19
"PHI202007240",3,1,0,1,"FX","kings001","S8/L",20
"PHI202007240",3,1,2,2,"BFSBS","quinr003","K",21
"PHI202007240",3,1,1,2,"1SCBB","mccua001","PB.1-2",22
"PHI202007240",3,1,2,2,"1SCBB.S","mccua001","K",23
"PHI202007240",4,0,2,1,"BBSX","dickc002","63/G",24
"PHI202007240",4,0,0,2,"CSFX","ramih004","S8/L",25
"PHI202007240",4,0,3,2,"CBBFB>S","andeb006","K+CS2(24)/DP",26
"PHI202007240",4,1,1,2,"BCSX","hoskr001","5/P",27
"PHI202007240",4,1,1,2,"SBSS","harpb003","K",28
"PHI202007240",4,1,0,0,"X","realj001","13/G-",29
"PHI202007240",5,0,1,2,"BCFS","coopg002","K",30
"PHI202007240",5,0,3,2,"BBCFBS","diazi001","K",31
"PHI202007240",5,0,0,2,"FFX","cervf001","63/G",32
"PHI202007240",5,1,2,2,"CBFBX","gregd001","HR/L9",33
"PHI202007240",5,1,1,2,"CBCS","seguj002","K",34
"PHI202007240",5,1,1,1,"CBX","brucj001","7/L",35
"PHI202007240",5,1,0,1,"CX","kings001","63/G",36
"PHI202007240",6,0,3,1,"BBCBB","rojam002","W",37
"PHI202007240",6,0,0,2,"T1SL","villj001","K",38
"PHI202007240",6,0,0,2,"1CFX","aguij001","HR/F78.1-H",39
"PHI202007240",6,0,1,1,"BFX","dickc002","D9/L",40
"PHI202007240",6,0,3,1,"..B.BSBB","ramih004","W",41
"PHI202007240",6,0,2,2,"BFBTFB","andeb006","WP.2-3;1-2",42
"PHI202007240",6,0,3,2,"BFBTFB.S","andeb006","K",43
"PHI202007240",6,0,0,0,"B","coopg002","WP.3-H(NR);2-3",44
"PHI202007240",6,0,2,2,"B.BCSFFX","coopg002","D8/L+.3-H",45
"PHI202007240",6,0,1,0,"..BX","diazi001","13/G",46
"PHI202007240",6,1,1,1,"CBX","quinr003","S4/G",47
"PHI202007240",6,1,0,2,"CFX","mccua001","64(1)3/GDP/G",48
"PHI202007240",6,1,3,1,"FBBBB","hoskr001","W",49
"PHI202007240",6,1,0,0,"X","harpb003","7/L",50
"PHI202007240",7,0,3,2,"BTCBFBX","cervf001","6/P",51
"PHI202007240",7,0,1,1,"BCX","rojam002","63/G",52
"PHI202007240",7,0,1,2,"..CBSFX","villj001","43/G",53
"PHI202007240",7,1,1,1,"BCX","realj001","53/G",54
"PHI202007240",7,1,3,2,"CBBBFB","gregd001","W",55
"PHI202007240",7,1,0,0,".X","seguj002","8/L",56
"PHI202007240",7,1,2,1,"..SBBX","brucj001","E8/F.1-H(NR)(UR);B-2",57
"PHI202007240",7,1,2,1,"BBF2X","kings001","43/G",58
"PHI202007240",8,0,0,1,"CX","aguij001","63/G",59
"PHI202007240",8,0,3,2,"CFBFFBBFX","dickc002","S9/G",60
"PHI202007240",8,0,1,2,"BCSX","ramih004","9/F",61
"PHI202007240",8,0,0,2,"1SCX","andeb006","S7/L.1-2",62
"PHI202007240",8,0,2,2,"..CCBBX","coopg002","9/L",63
"PHI202007240",8,1,2,1,".BFBX","quinr003","53/G",64
"PHI202007240",8,1,0,2,"CFC","mccua001","K",65
"PHI202007240",8,1,1,2,"CFBFX","hoskr001","S3/L-",66
"PHI202007240",8,1,3,0,"BBBB","harpb003","W.1-2",67
"PHI202007240",8,1,3,2,".BBBCS>X","realj001","13/G",68
"PHI202007240",9,0,2,2,"CBBTS","diazi001","K",69
"PHI202007240",9,0,3,2,"BCCBBFB","cervf001","W",70
"PHI202007240",9,0,3,2,"1CBBFBX","rojam002","S7/G.1-2",71
"PHI202007240",9,0,0,0,"X","villj001","3/G.2-3;1-2",72
"PHI202007240",9,0,0,1,"CX","aguij001","9/F",73
"PHI202007240",9,1,0,1,"..CX","gregd001","S9/L",74
"PHI202007240",9,1,0,1,"CX","seguj002","9/F",75
"PHI202007240",9,1,1,1,"SBX","brucj001","46(1)3/GDP/G",76
"PHI202007250",1,0,2,2,"CSFBFFBX","villj001","S1/G",1
"PHI202007250",1,0,1,2,"C1BFT","aguij001","K",2
"PHI202007250",1,0,1,1,"SB1X","dickc002","6(1)3/GDP/G",3
