"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"PHI202007240",0,0,"nolaa001",1,40
"PHI202007240",0,0,"rossr003",1,45
"PHI202007240",0,0,"mcclr001",1,52
"PHI202007240",1,0,"alcas001",1,56
"PHI202007240",0,0,"davia003",1,62
"PHI202007240",1,0,"boxbb001",1,63
"PHI202007240",1,1,"villj001",8,73
"PHI202007240",1,0,"garcy001",1,73
"PHI202007250",1,0,"smitc006",1,28
"PHI202007250",1,0,"neidn001",1,44
"PHI202007250",1,0,"vesia001",1,52
"PHI202007250",0,0,"wheez001",1,59
"PHI202007250",1,0,"stanr002",1,64
"PHI202007250",0,1,"mccua001",7,68
"PHI202007250",0,0,"huntt002",1,68
"PHI202007260",0,0,"velav001",1,32
"PHI202007260",1,0,"duggr001",1,40
"PHI202007260",1,9,"walkn001",10,40
"PHI202007260",0,0,"irvic001",1,44
"PHI202007260",1,0,"tarps001",1,50
"PHI202007260",1,0,"hollj002",1,54
"PHI202007260",0,0,"mcclr001",1,56
"PHI202007260",1,0,"brigj002",1,63
"PHI202007260",1,0,"garcy001",1,81
"PHI202007260",0,0,"piven001",1,88
"PHI202007260",1,0,"boxbb001",1,90
"PHI202008052",1,0,"loaij001",1,22
"PHI202008052",1,0,"avill001",1,30
"PHI202008052",1,9,"andum001",7,36
"PHI202008052",1,0,"greec003",1,44
"PHI202008052",0,0,"nolaa001",1,45
"PHI202008052",0,5,"voitl001",3,47
"PHI202008052",0,0,"huntt002",1,50
"PHI202008052",1,1,"lemad001",4,52
"PHI202008052",1,5,"wadet002",12,52
"PHI202008052",1,0,"ottaa001",1,52
"PHI202008052",1,6,"brucj001",7,52
"PHI202008060",0,0,"efliz001",1,36
"PHI202008060",1,0,"montj004",1,40
"PHI202008060",1,5,"gossp001",10,43
"PHI202008060",0,0,"guerd001",1,44
"PHI202008060",1,0,"haled001",1,58
"PHI202008060",0,0,"piven001",1,61
"PHI202008060",0,6,"gardb001",7,64
"PHI202008060",0,0,"alvaj003",1,64
"PHI202008060",1,1,"taucm001",9,65
"PHI202008060",1,6,"judga001",11,65
"PHI202008060",0,9,"wadet002",4,71
"PHI202008080",0,0,"arrij001",1,49
"PHI202008080",0,0,"alvaj003",1,52
"PHI202008080",1,0,"wrigk001",1,53
"PHI202008080",1,0,"daytg001",1,60
"PHI202008080",0,7,"brucj001",7,65
"PHI202008080",0,9,"hasea001",8,65
"PHI202008080",0,0,"huntt002",1,65
"PHI202008091",1,0,"ynoah001",1,23
"PHI202008091",1,1,"hasea001",7,23
"PHI202008091",0,1,"mccua001",11,27
"PHI202008091",0,0,"velav001",1,36
"PHI202008091",0,0,"guerd001",1,39
"PHI202008091",0,5,"markn001",10,41
"PHI202008091",0,0,"morga001",1,43
"PHI202008091",1,0,"matzt001",1,44
"PHI202008091",1,0,"jackl001",1,48
"PHI202008091",1,0,"smitw002",1,54
"PHI202008091",0,0,"rossr003",1,58
"PHI202008091",1,9,"knapa001",2,62
"PHI202008091",1,5,"duvaa001",10,62
"PHI202008091",1,4,"ozunm001",7,62
"PHI202008092",0,0,"howas003",1,37
"PHI202008092",0,0,"kellt002",1,50
"PHI202008092",1,0,"friem001",1,53
"PHI202008092",0,7,"gossp001",10,56
"PHI202008092",0,5,"seguj002",5,56
"PHI202008092",0,4,"realj001",2,56
"PHI202008092",0,3,"harpb003",9,56
"PHI202008092",0,2,"hoskr001",3,56
"PHI202008092",0,1,"mccua001",7,56
"PHI202008092",1,0,"odayd001",1,60
"PHI202008100",1,0,"newcs001",1,20
"PHI202008100",1,0,"erlir001",1,42
"PHI202008100",1,3,"freef001",3,42
"PHI202008100",1,2,"swand001",6,42
