"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"PIT202007270","20200727",0,705,"T","N","MIL","PIT","PIT08","navaj901","nelsj901","buckc901",0,"",0,1,91,2,13,0,4,3,234,"pheld001","neved001",""
"PIT202007280","20200728",0,705,"T","N","MIL","PIT","PIT08","nelsj901","buckc901","tumpj901",0,"",0,1,84,0,4,0,1,1,202,"hartg001","wahlb001","burdn001"
"PIT202007290","20200729",0,705,"T","N","MIL","PIT","PIT08","buckc901","tumpj901","navaj901",0,"",0,1,89,2,10,0,1,1,182,"woodb005","musgj001","hadej001"
"PIT202008050","20200805",0,705,"T","N","MIN","PIT","PIT08","nelsj901","buckc901","tumpj901",0,"",0,1,79,2,5,0,1,2,172,"dobnr001","willt002",""
"PIT202008060","20200806",0,135,"T","D","MIN","PIT","PIT08","buckc901","tumpj901","navaj901",0,"",0,1,82,4,3,0,1,2,187,"howas002","roget001",""
"PIT202008070","20200807",0,705,"T","N","DET","PIT","PIT08","dejer901","viscj901","welkb901",0,"",0,1,82,2,8,0,1,2,273,"garcb001","neved001",""
"PIT202008080","20200808",0,405,"T","D","DET","PIT","PIT08","viscj901","welkb901","hobep901",0,"",0,1,85,3,6,0,1,2,202,"novai001","holld003",""
"PIT202008090","20200809",0,135,"T","D","DET","PIT","PIT08","welkb901","hobep901","dejer901",0,"",0,1,87,0,5,0,1,2,165,"turns003","rodrr008","jimej003"
"PIT202008180","20200818",0,705,"T","N","CLE","PIT","PIT08","fleta901","gibsh902","may-b901",0,"",0,1,79,2,11,0,1,2,242,"wittn001","howas002","handb001"
"PIT202008190","20200819",0,705,"T","N","CLE","PIT","PIT08","gibsh902","may-b901","iassd901",0,"",0,1,76,3,8,0,1,1,176,"civaa001","neved001",""
"PIT202008200","20200820",0,705,"T","N","CLE","PIT","PIT08","may-b901","iassd901","fleta901",0,"",0,1,83,8,4,0,1,1,204,"biebs001","willt002","handb001"
"PIT202008210","20200821",0,705,"T","N","MIL","PIT","PIT08","lentn901","herna901","belld901",0,"",0,1,80,8,7,0,1,2,173,"kuhlc001","housa001",""
"PIT202008220","20200822",0,405,"T","D","MIL","PIT","PIT08","herna901","belld901","littw901",0,"",0,1,90,7,3,0,1,2,210,"holld003","lindj004",""
"PIT202008230","20200823",0,135,"T","D","MIL","PIT","PIT08","belld901","littw901","lentn901",0,"",0,1,80,0,5,0,1,2,191,"strac001","pheld001","rodrr008"
"PIT202009010","20200901",0,705,"T","N","CHN","PIT","PIT08","tumpj901","navaj901","buckc901",0,"",0,1,82,7,4,0,1,2,250,"jeffj001","crick001",""
"PIT202009020","20200902",0,705,"T","N","CHN","PIT","PIT08","navaj901","buckc901","nelsj901",0,"",0,1,75,0,9,0,1,2,195,"hendk001","musgj001",""
"PIT202009030","20200903",0,135,"T","D","CHN","PIT","PIT08","buckc901","nelsj901","tumpj901",0,"",0,1,70,1,4,0,1,2,196,"brubj001","milla003",""
"PIT202009041","20200904",1,405,"T","D","CIN","PIT","PIT08","whitc901","ramoc901","hoyej901",0,"",0,1,77,1,9,0,1,2,151,"castl003","braus002","igler001"
"PIT202009050","20200905",0,705,"T","N","CIN","PIT","PIT08","hoyej901","estam901","whitc901",0,"",0,1,76,1,11,0,1,2,203,"garra001","willt002",""
"PIT202009060","20200906",0,135,"T","D","CIN","PIT","PIT08","estam901","whitc901","carlm901",0,"",0,1,76,8,5,0,1,2,182,"rodrr008","igler001",""
"PIT202009080","20200908",0,705,"T","N","CHA","PIT","PIT08","rehaj901","mealj901","bakej902",0,"",0,1,85,8,6,0,1,1,199,"rodrr008","detwr001",""
"PIT202009090","20200909",0,705,"T","N","CHA","PIT","PIT08","mealj901","bakej902","riggj901",0,"",0,1,84,6,5,0,1,1,188,"dunnd001","brubj001",""
"PIT202009170","20200917",0,705,"T","N","SLN","PIT","PIT08","ortir901","bakej902","mealj901",0,"",0,1,70,0,8,0,1,1,145,"braus002","gomba001",""
"PIT202009181","20200918",1,405,"T","D","SLN","PIT","PIT08","bakej902","ortir901","mealj901",0,"",0,1,65,3,11,0,1,2,188,"reyea004","willt002","helsr001"
