"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"PIT202007270",1,0,1,0,"BX","cainl001","53/G5",1
"PIT202007270",1,0,1,1,"BCX","hiurk001","S8/G6M",2
"PIT202007270",1,0,1,2,"CCBC","yelic001","K",3
"PIT202007270",1,0,0,2,"SSX","braur002","13/G1S-",4
"PIT202007270",1,1,1,1,"CBX","fraza001","31/G3",5
"PIT202007270",1,1,3,1,"BBBCB","newmk001","W",6
"PIT202007270",1,1,0,1,"F>B","bellj005","CS2(26)",7
"PIT202007270",1,1,2,2,"F>B.SBX","bellj005","23/G2-",8
"PIT202007270",2,0,3,2,"BCBFBB","gyorj001","W",9
"PIT202007270",2,0,3,2,"FBFBBB","garca003","W.1-2",10
"PIT202007270",2,0,3,1,"SBBBX","smoaj001","5(2)3/GDP/G5.1-2",11
"PIT202007270",2,0,3,2,"CSFBBFBX","pinam001","7/F78XD",12
"PIT202007270",2,1,1,2,"CFBX","morac001","HR/L9LD",13
"PIT202007270",2,1,3,2,"CFBBBB","reynb001","W",14
"PIT202007270",2,1,0,1,"CX","osunj001","4/P89S/DP.1X1(43)",15
"PIT202007270",2,1,0,0,"X","polag001","7/F7LSF",16
"PIT202007270",3,0,2,1,".BBFX","arcio002","4/P8S",17
"PIT202007270",3,0,0,1,"CX","cainl001","8/F8XD",18
"PIT202007270",3,0,0,2,"CFX","hiurk001","7/F7D",19
"PIT202007270",3,1,1,1,"CBX","stalj001","53/G56",20
"PIT202007270",3,1,2,2,"BBCFS","dysoj001","K",21
"PIT202007270",3,1,0,2,"CCS","fraza001","K",22
"PIT202007270",4,0,1,0,"BX","yelic001","9/L89XD",23
"PIT202007270",4,0,1,2,"BFC*S","braur002","K.BX1(23)",24
"PIT202007270",4,0,0,2,"CCX","gyorj001","S7/L7",25
"PIT202007270",4,0,0,0,"X","garca003","S8/F89S.1-3",26
"PIT202007270",4,0,2,2,"BSS1BS","smoaj001","K",27
"PIT202007270",4,1,3,2,"BFBBCX","newmk001","63/G6+",28
"PIT202007270",4,1,1,2,"CBCX","bellj005","63/G6D",29
"PIT202007270",4,1,2,0,"BBX","morac001","53/G4",30
"PIT202007270",5,0,2,1,"BCBX","pinam001","S8/L8",31
