"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"SDN202007240","20200724",0,610,"T","N","ARI","SDN","SAN02","barrt901","johna901","rippm901",0,"",0,1,73,0,7,0,1,1,185,"paddc001","bumgm001",""
"SDN202007250","20200725",0,610,"T","N","ARI","SDN","SAN02","johna901","rippm901","wolcq901",0,"",0,1,73,0,5,0,1,1,198,"lamed001","ray-r002",""
"SDN202007260","20200726",0,110,"T","D","ARI","SDN","SAN02","rippm901","wolcq901","barrt901",0,"",0,1,75,4,12,0,1,1,224,"brada001","yatek001",""
"SDN202007270","20200727",0,110,"T","D","ARI","SDN","SAN02","wolcq901","barrt901","johna901",0,"",0,1,75,0,1,0,1,1,183,"quanc001","weavl001",""
"SDN202008030","20200803",0,610,"T","N","LAN","SDN","SAN02","woodt901","muchm901","rippm901",0,"",0,1,72,3,6,0,1,1,164,"paddc001","gratb002","yatek001"
"SDN202008040","20200804",0,610,"T","N","LAN","SDN","SAN02","muchm901","rippm901","knigb901",0,"",0,1,72,4,7,0,1,2,184,"may-d003","stamc001","jansk001"
"SDN202008050","20200805",0,610,"T","N","LAN","SDN","SAN02","rippm901","knigb901","woodt901",0,"",0,1,72,4,8,0,1,2,191,"strir001","richg002","jansk001"
"SDN202008070","20200807",0,610,"T","N","ARI","SDN","SAN02","hudsm901","woodt901","muchm901",0,"",0,1,73,0,9,0,1,1,147,"daviz001","weavl001","yatek001"
"SDN202008080","20200808",0,610,"T","N","ARI","SDN","SAN02","woodt901","muchm901","rippm901",0,"",0,1,72,0,11,0,1,1,171,"kellm002","paddc001","brada001"
"SDN202008090","20200809",0,110,"T","D","ARI","SDN","SAN02","muchm901","rippm901","hudsm901",0,"",0,1,75,0,11,0,1,2,179,"lamed001","bumgm001",""
"SDN202008190","20200819",0,610,"T","N","TEX","SDN","SAN02","marqa901","guccc901","woodt901",0,"",0,1,79,3,8,0,1,1,203,"hillt002","montr004",""
"SDN202008200","20200820",0,510,"T","N","TEX","SDN","SAN02","guccc901","woodt901","cejan901",0,"",0,1,77,4,5,0,1,1,239,"johnp001","garcl005",""
"SDN202008210","20200821",0,610,"T","N","HOU","SDN","SAN02","woodt901","cejan901","blasc901",0,"",0,1,81,4,6,0,1,2,221,"guerj004","mccul002","pagae001"
"SDN202008220","20200822",0,610,"T","N","HOU","SDN","SAN02","cejan901","blasc901","marqa901",0,"",0,1,81,7,7,0,1,1,161,"daviz001","bielb001",""
"SDN202008230","20200823",0,110,"T","D","HOU","SDN","SAN02","blasc901","marqa901","guccc901",0,"",0,1,84,0,7,0,1,2,184,"stamc001","paree003","pagae001"
"SDN202008250","20200825",0,610,"T","N","SEA","SDN","SAN02","barrt901","woodt901","mahrn901",0,"",0,1,79,4,10,0,1,1,188,"gonzm005","paddc001",""
"SDN202008271","20200827",1,1210,"T","D","SEA","SDN","SAN02","woodt901","arrid901","rippm901",0,"",0,1,81,1,12,0,1,1,169,"johnp001","willt003",""
"SDN202008272","20200827",2,336,"T","D","SEA","SDN","SAN02","mahrn901","rippm901","barrt901",0,"",0,1,79,4,12,0,1,1,159,"kikuy001","richg002",""
"SDN202009070","20200907",0,610,"T","N","COL","SDN","SAN02","hamaa901","morag901","marqa901",0,"",0,1,73,4,7,0,1,2,182,"pomed001","estec001",""
"SDN202009080","20200908",0,610,"T","N","COL","SDN","SAN02","morag901","marqa901","blasc901",0,"",0,1,75,0,7,0,1,1,196,"clevm001","gonzc002",""
"SDN202009090","20200909",0,510,"T","N","COL","SDN","SAN02","marqa901","blasc901","hamaa901",0,"",0,1,81,4,8,0,1,2,174,"daviz001","senza001","roset001"
"SDN202009100","20200910",0,610,"T","N","SFN","SDN","SAN02","reynj901","mccrk901","libkj901",0,"",0,1,75,7,10,0,1,1,168,"morea001","cahit001",""
"SDN202009131","20200913",1,110,"T","D","SFN","SDN","SAN02","mccrk901","moorm901","barrl901",0,"",0,1,78,4,10,0,1,2,128,"clevm001","cuetj001",""
