"GAME_ID","INN_CT","BAT_HOME_ID","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","EVENT_TX","EVENT_ID"
"SDN202007240",1,0,1,2,"CFFBX","martk001","S7/L",1
"SDN202007240",1,0,0,0,"X","perad001","36(1)3/GDP/G",2
"SDN202007240",1,0,3,2,"SBSBFBX","marts002","4/P",3
"SDN202007240",1,1,2,1,"CBBX","tatif002","9/F",4
"SDN202007240",1,1,3,2,"BFSFBBFFS","machm001","K",5
"SDN202007240",1,1,3,2,"BBFCBFC","phamt001","K",6
"SDN202007240",2,0,2,2,"BCFFFBF*S","escoe001","K",7
"SDN202007240",2,0,0,2,"FCX","walkc002","S3/G+",8
"SDN202007240",2,0,0,2,"FSFFF1X","calhk001","S39/L.1-3",9
"SDN202007240",2,0,1,2,"CFB1X","kellc002","64(1)3/GDP/G",10
"SDN202007240",2,1,1,1,"CBX","profj001","3/L",11
"SDN202007240",2,1,1,0,"BX","hosme001","S7/L",12
"SDN202007240",2,1,1,2,"CBFC","myerw001","K",13
"SDN202007240",2,1,0,0,"X","frant002","8/F+",14
"SDN202007240",3,0,1,2,"CSBX","lambj001","D8/L",15
"SDN202007240",3,0,0,2,"TSS","ahmen001","K",16
"SDN202007240",3,0,1,2,"CCFBX","martk001","13/G",17
"SDN202007240",3,0,2,0,".BBX","perad001","43/G+",18
"SDN202007240",3,1,2,2,"BBFFX","mejif001","5/L",19
"SDN202007240",3,1,0,2,"CCFS","grist001","K",20
"SDN202007240",3,1,3,1,"CBBBX","tatif002","53",21
"SDN202007240",4,0,1,2,"CCBS","marts002","K",22
"SDN202007240",4,0,0,0,"X","escoe001","3/L",23
"SDN202007240",4,0,1,1,"BCX","walkc002","9/F",24
"SDN202007240",4,1,2,2,"BBCSFX","machm001","S8/L",25
"SDN202007240",4,1,2,0,"BB1X","phamt001","8/F+",26
"SDN202007240",4,1,1,1,"1BFX","profj001","2/P/FL",27
"SDN202007240",4,1,2,2,"11BCBCFX","hosme001","9/F",28
