"GAME_ID","BAT_HOME_ID","SUB_LINEUP_ID","REMOVED_ID","REMOVED_FLD_CD","EVENT_ID"
"SDN202007240",1,0,"bumgm001",1,45
"SDN202007240",0,0,"paddc001",1,47
"SDN202007240",1,0,"guerj003",1,51
"SDN202007240",1,8,"mejif001",2,51
"SDN202007240",1,0,"ginkk001",1,59
"SDN202007240",0,8,"garcg002",11,60
"SDN202007240",0,0,"pagae001",1,60
"SDN202007240",0,8,"lambj001",3,60
"SDN202007240",1,8,"vargi001",11,63
"SDN202007240",1,0,"crics001",1,63
"SDN202007240",0,0,"pomed001",1,67
"SDN202007240",0,5,"walkc002",10,72
"SDN202007250",1,0,"ray-r002",1,37
"SDN202007250",0,0,"lamed001",1,48
"SDN202007250",1,0,"crics001",1,51
"SDN202007250",0,7,"vogts001",2,56
"SDN202007250",0,0,"stram001",1,56
"SDN202007250",1,7,"cronk001",11,58
"SDN202007250",1,0,"chafa001",1,58
"SDN202007250",1,0,"rondh001",1,62
"SDN202007250",0,0,"stamc001",1,71
"SDN202007260",1,0,"gallz001",1,39
"SDN202007260",0,0,"richg002",1,43
"SDN202007260",0,0,"guerj004",1,47
"SDN202007260",0,0,"hillt002",1,51
"SDN202007260",0,7,"lambj001",3,52
"SDN202007260",1,7,"vargi001",11,56
"SDN202007260",1,0,"youna002",1,57
"SDN202007260",0,0,"pomed001",1,64
"SDN202007260",1,0,"ginkk001",1,69
"SDN202007260",1,5,"hosme001",3,71
"SDN202007260",1,0,"chafa001",1,72
"SDN202007260",1,8,"hedga001",2,72
"SDN202007260",0,5,"cronj001",12,75
"SDN202007260",0,8,"garcg002",11,75
"SDN202007260",0,0,"pagae001",1,75
"SDN202007260",0,8,"cronk001",10,79
"SDN202007260",0,0,"yatek001",1,81
"SDN202007270",0,0,"luccj001",1,30
"SDN202007270",1,0,"weavl001",1,38
"SDN202007270",0,0,"quanc001",1,49
"SDN202007270",0,0,"hillt002",1,55
"SDN202007270",0,7,"kellc002",2,65
"SDN202007270",1,7,"rojaj001",11,66
"SDN202007270",1,0,"clart003",1,66
"SDN202007270",0,0,"perdl002",1,69
"SDN202008030",1,0,"buehw001",1,45
"SDN202008030",1,0,"gratb002",1,49
"SDN202008030",0,0,"paddc001",1,53
"SDN202008030",1,0,"fergc001",1,57
"SDN202008030",0,0,"pagae001",1,60
"SDN202008030",0,1,"pedej001",9,61
"SDN202008030",1,1,"herne001",11,64
"SDN202008030",1,0,"kellj001",1,64
"SDN202008030",0,0,"pomed001",1,68
"SDN202008040",0,0,"lamed001",1,42
"SDN202008040",1,7,"riose001",3,43
"SDN202008040",1,6,"beatm001",7,43
"SDN202008040",0,0,"stamc001",1,49
"SDN202008040",0,1,"pedej001",9,49
"SDN202008040",1,1,"polla001",11,53
"SDN202008040",1,4,"bellc002",8,53
"SDN202008040",1,7,"taylc001",7,53
"SDN202008040",1,0,"may-d003",1,53
"SDN202008040",0,0,"hillt002",1,61
"SDN202008040",1,0,"baezp001",1,64
"SDN202008040",1,4,"bellc002",9,64
"SDN202008040",1,6,"beatm001",3,64
"SDN202008040",0,0,"johnp001",1,71
"SDN202008040",1,0,"treib001",1,73
"SDN202008040",1,8,"herne001",6,73
"SDN202008040",1,7,"taylc001",8,73
"SDN202008040",1,4,"bellc002",3,73
"SDN202008040",1,2,"muncm001",4,73
"SDN202008050",0,0,"richg002",1,42
"SDN202008050",1,0,"strir001",1,53
"SDN202008050",1,8,"hedga001",2,53
"SDN202008050",0,8,"frant002",11,54
"SDN202008050",1,0,"mcgej001",1,57
"SDN202008050",0,0,"patil001",1,64
"SDN202008050",1,0,"treib001",1,67
"SDN202008050",1,7,"garcg002",10,69
"SDN202008050",0,0,"stram001",1,71
"SDN202008050",1,7,"pedej001",9,74
"SDN202008050",1,0,"fergc001",1,74
"SDN202008070",1,0,"weavl001",1,24
"SDN202008070",1,7,"almoa001",7,33
"SDN202008070",0,7,"olive001",11,38
"SDN202008070",0,0,"daviz001",1,41
"SDN202008070",1,0,"youna002",1,42
"SDN202008070",0,0,"stamc001",1,45
"SDN202008070",0,7,"vogts001",2,48
"SDN202008070",1,7,"youna003",11,49
"SDN202008070",0,8,"mejif001",2,52
"SDN202008070",0,0,"pomed001",1,52
"SDN202008070",0,0,"pagae001",1,58
"SDN202008080",0,7,"lambj001",3,42
"SDN202008080",0,0,"paddc001",1,42
"SDN202008080",1,7,"walkc002",11,44
"SDN202008080",1,0,"kellm002",1,51
"SDN202008080",1,7,"cronj001",4,53
"SDN202008080",0,7,"profj001",11,54
"SDN202008080",0,0,"stram001",1,54
"SDN202008080",1,0,"chafa001",1,57
"SDN202008080",1,8,"hedga001",2,57
"SDN202008080",0,8,"mejif001",11,61
"SDN202008080",0,0,"johnp001",1,61
"SDN202008080",1,0,"rondh001",1,64
"SDN202008090",1,0,"bumgm001",1,21
"SDN202008090",1,5,"perad001",7,45
