"GAME_ID","GAME_DT","GAME_CT","START_GAME_TM","DH_FL","DAYNIGHT_PARK_CD","AWAY_TEAM_ID","HOME_TEAM_ID","PARK_ID","BASE4_UMP_ID","BASE1_UMP_ID","BASE2_UMP_ID","ATTEND_PARK_CT","SCORER_RECORD_ID","METHOD_RECORD_CD","PITCHES_RECORD_CD","TEMP_PARK_CT","WIND_DIRECTION_PARK_CD","WIND_SPEED_PARK_CT","FIELD_PARK_CD","PRECIP_PARK_CD","SKY_PARK_CD","MINUTES_GAME_CT","WIN_PIT_ID","LOSE_PIT_ID","SAVE_PIT_ID"
"SEA202007310","20200731",0,640,"T","N","OAK","SEA","SEA03","drakr901","millb901","mosce901",0,"",0,1,79,0,0,0,1,1,154,"walkt004","manas001","willt003"
"SEA202008010","20200801",0,610,"T","N","OAK","SEA","SEA03","millb901","mosce901","eddid901",0,"",0,1,79,0,3,0,1,1,191,"sorij001","altad001","hendl001"
"SEA202008020","20200802",0,110,"T","D","OAK","SEA","SEA03","mosce901","eddid901","drakr901",0,"",0,1,77,0,5,0,1,5,200,"bassc001","gravk001","hendl001"
"SEA202008030","20200803",0,610,"T","N","OAK","SEA","SEA03","eddid901","drakr901","millb901",0,"",0,1,77,2,6,0,1,2,184,"montf001","shefj001",""
"SEA202008040","20200804",0,710,"T","N","ANA","SEA","SEA03","guccc901","blasc901","morag901",0,"",0,1,78,5,4,0,1,1,175,"heana001","dunnj002","buttt001"
"SEA202008050","20200805",0,640,"T","N","ANA","SEA","SEA03","blasc901","morag901","marqa901",0,"",0,1,79,3,4,0,1,1,189,"gonzm005","tehej001","edwac001"
"SEA202008060","20200806",0,110,"T","D","ANA","SEA","SEA03","morag901","marqa901","guccc901",0,"",0,1,60,3,7,0,1,5,143,"bundd001","walkt004",""
"SEA202008070","20200807",0,640,"T","N","COL","SEA","SEA03","marqa901","guccc901","blasc901",0,"",0,1,70,0,1,0,1,2,193,"senza001","kikuy001",""
"SEA202008080","20200808",0,610,"T","N","COL","SEA","SEA03","guccc901","blasc901","morag901",0,"",0,1,65,4,8,0,1,2,169,"hoffj003","misia001",""
"SEA202008090","20200809",0,110,"T","D","COL","SEA","SEA03","blasc901","morag901","marqa901",0,"",0,1,70,0,0,0,1,5,165,"shefj001","marqg001","willt003"
"SEA202008190","20200819",0,640,"T","N","LAN","SEA","SEA03","rippm901","johna901","wolcq901",0,"",0,1,79,0,0,0,1,2,195,"walkt004","santd003","willt003"
"SEA202008200","20200820",0,410,"T","D","LAN","SEA","SEA03","johna901","wolcq901","mahrn901",0,"",0,1,75,3,7,0,1,5,162,"kersc001","kikuy001",""
"SEA202008210","20200821",0,610,"T","N","TEX","SEA","SEA03","wolcq901","mahrn901","rippm901",0,"",0,1,68,0,0,0,1,2,161,"margn001","allak001","willt003"
"SEA202008220","20200822",0,610,"T","N","TEX","SEA","SEA03","mahrn901","rippm901","barrt901",0,"",0,1,71,4,9,0,1,1,171,"shefj001","lylej001",""
"SEA202008230","20200823",0,110,"T","D","TEX","SEA","SEA03","rippm901","barrt901","wolcq901",0,"",0,1,68,0,6,0,1,5,134,"dunnj002","minom001","willt003"
"SEA202009040","20200904",0,610,"T","N","TEX","SEA","SEA03","libkj901","gibsh902","barrl901",0,"",0,1,80,0,0,0,1,1,176,"kikuy001","codyk001",""
